File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
v2_readme_SSS_ER.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information. ,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package
v2_SSS_ER_dd.csv,"Data dictionary that defines column and row headers across all tabular data files (files ending in "".csv"" or "".tsv"") in the data package.",ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package
v2_SSS_ER_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package
v2_SSS_ER_d50_TotalOxygenConsumed.csv,"Modeled median grain size (d50; Gomez-Velez et al.; 2015) and annual amount of oxygen respiration in the HZ via vertical and lateral hyporheic exchange between the stream and the HZ, respectively (Son et al.; 2022).",ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package
v2_SSS_Water_Sediment_Total_Respiration_GPP.csv,"Water column respiration, sediment respiration, total ecosystem respiration, and gross primary production for sites across the Yakima River Basin. Total ecosystem and gross primary production can also be found in the model outputs; they are duplicated here for streamlined use of the respiration data. ",ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package
v2_SSS_ER_Installation_Methods.csv,Description of methods associated with installation/deployment of sensors. Required by ESS-DIVE Reporting Format for Hydrologic Monitoring (Goldman et al. 2021).,ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package
Figure*.pdf,Figure from the manucript in pdf format. The asterisk (*) indicates the figure number and a short descriptor of the figure.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures
Figure*.png,Figure from the manucript in png format. The asterisk (*) indicates the figure number and a short descriptor of the figure.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures
*.pdf,Intermediate file used to create a final figure using Illustrator. The asterisk (*) indicates a short descriptor of the figure.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures/Intermediate_Files
Figure6-Cluster_Map.qgz,Q-GIS project used to create figure 6. ,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures/Map_Layers
cb_2018_us_state_20m.*,Shapefile of the United States downloaded from the Census (https://www.census.gov/geographies/mapping-files/time-series/geo/carto-boundary-file.html). The asterisk refers to the file extension.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures/Map_Layers/cb_2018_us_state_20m
