# HeaderRows_10
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; Pipe_Kit_02; Eureka Manta+ 35B real time clock..
# Temperature; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Specific_Conductance; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Turbidity; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# pH; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# Chlorophyll_A; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Battery; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.
DateTime,Parent_ID,Site_ID,Temperature,Specific_Conductance,Turbidity,pH,Chlorophyll_A,Battery,Outlier
 2022-08-10 10:50:00,SSS019,S03,12.5,133.4,4.45,7.98,0.91,8.16,Turbidity; pH; Chlorophyll_A
 2022-08-10 10:51:00,SSS019,S03,12.49,133.3,1.14,8.03,0.6,8.26,N/A
 2022-08-10 10:52:00,SSS019,S03,12.49,133.3,1.06,8.03,0.6,8.26,N/A
 2022-08-10 10:53:00,SSS019,S03,12.5,133.3,1.19,8.02,0.58,8.19,N/A
 2022-08-10 10:54:00,SSS019,S03,12.51,133.3,1.19,7.99,0.61,8.24,N/A
 2022-08-10 10:55:00,SSS019,S03,12.52,133.3,1.17,7.98,0.6,8.23,pH
 2022-08-10 10:56:00,SSS019,S03,12.53,133.3,1.11,7.99,0.61,8.24,N/A
 2022-08-10 10:57:00,SSS019,S03,12.53,133.3,1.27,7.99,0.62,8.23,N/A
 2022-08-10 10:58:00,SSS019,S03,12.54,133.2,1.13,7.99,0.64,8.21,N/A
 2022-08-10 10:59:00,SSS019,S03,12.55,133.3,1.14,8,0.63,8.21,N/A
 2022-08-10 11:00:00,SSS019,S03,12.56,133.3,1.2,8.01,0.62,8.19,N/A
 2022-08-10 11:01:00,SSS019,S03,12.57,133.2,1.22,8.01,0.62,8.28,N/A
 2022-08-10 11:02:00,SSS019,S03,12.58,133.2,1.13,8.01,0.6,8.18,N/A
 2022-08-10 11:03:00,SSS019,S03,12.59,133.2,1.39,8.01,0.66,8.21,N/A
 2022-08-10 11:04:00,SSS019,S03,12.6,133.2,1.2,8.01,0.63,8.19,N/A
 2022-08-10 11:05:00,SSS019,S03,12.61,133.2,1.21,8.01,0.6,8.23,N/A
 2022-08-10 11:06:00,SSS019,S03,12.62,133.2,1.2,8.01,0.61,8.16,N/A
 2022-08-10 11:07:00,SSS019,S03,12.62,133.2,1.35,8.01,0.62,8.23,N/A
 2022-08-10 11:08:00,SSS019,S03,12.63,133.2,1.34,8.02,0.7,8.19,Chlorophyll_A
 2022-08-10 11:09:00,SSS019,S03,12.64,133.2,1.3,8.02,0.63,8.26,N/A
 2022-08-10 11:10:00,SSS019,S03,12.65,133.2,1.32,8.02,0.61,8.16,N/A
 2022-08-10 11:11:00,SSS019,S03,12.66,133.2,1.87,8.02,0.61,8.23,Turbidity
 2022-08-10 11:12:00,SSS019,S03,12.67,133.2,1.37,8.02,0.59,8.21,N/A
 2022-08-10 11:13:00,SSS019,S03,12.68,133.2,1.62,8.02,0.6,8.26,Turbidity
 2022-08-10 11:14:00,SSS019,S03,12.69,133.2,1.2,8.02,0.6,8.11,N/A
 2022-08-10 11:15:00,SSS019,S03,12.7,133.2,1.23,8.02,0.59,8.26,N/A
 2022-08-10 11:16:00,SSS019,S03,12.71,133.2,1.26,8.02,0.61,8.26,N/A
 2022-08-10 11:17:00,SSS019,S03,12.72,133.2,1.29,8.03,0.63,8.24,N/A
 2022-08-10 11:18:00,SSS019,S03,12.72,133.2,1.61,8.03,0.66,8.21,Turbidity
 2022-08-10 11:19:00,SSS019,S03,12.73,133.2,1.24,8.03,0.61,8.21,N/A
 2022-08-10 11:20:00,SSS019,S03,12.75,133.2,1.39,8.03,0.61,8.21,N/A
 2022-08-10 11:21:00,SSS019,S03,12.76,133.2,1.3,8.03,0.6,8.19,N/A
 2022-08-10 11:22:00,SSS019,S03,12.77,133.2,1.38,8.03,0.62,8.26,N/A
 2022-08-10 11:23:00,SSS019,S03,12.78,133.2,1.35,8.03,0.6,8.19,N/A
 2022-08-10 11:24:00,SSS019,S03,12.79,133.2,1.21,8.03,0.62,8.23,N/A
 2022-08-10 11:25:00,SSS019,S03,12.8,133.2,1.26,8.03,0.6,8.23,N/A
 2022-08-10 11:26:00,SSS019,S03,12.81,133.2,1.33,8.03,0.62,8.19,N/A
 2022-08-10 11:27:00,SSS019,S03,12.82,133.2,1.26,8.03,0.61,8.18,N/A
 2022-08-10 11:28:00,SSS019,S03,12.83,133.2,1.38,8.03,0.62,8.19,N/A
 2022-08-10 11:29:00,SSS019,S03,12.84,133.1,1.31,8.03,0.62,8.19,N/A
 2022-08-10 11:30:00,SSS019,S03,12.85,133.1,1.66,8.03,0.6,8.19,Turbidity
 2022-08-10 11:31:00,SSS019,S03,12.86,133.2,1.35,8.03,0.6,8.19,N/A
 2022-08-10 11:32:00,SSS019,S03,12.87,133.1,1.38,8.03,0.61,8.19,N/A
 2022-08-10 11:33:00,SSS019,S03,12.88,133.2,1.26,8.03,0.62,8.19,N/A
 2022-08-10 11:34:00,SSS019,S03,12.9,133.1,1.31,8.04,0.61,8.19,N/A
 2022-08-10 11:35:00,SSS019,S03,12.9,133.1,1.36,8.04,0.61,8.16,N/A
 2022-08-10 11:36:00,SSS019,S03,12.9,133.1,1.42,8.04,0.61,8.19,N/A
