# HeaderRows_25
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime_Start; YYYY-MM-DD; Pipe_Kit_02; Eureka Manta+ 35B real time clock..
# DateTime_End; YYYY-MM-DD; Pipe_Kit_02; Eureka Manta+ 35B real time clock..
# Chlorophyll_A_Max; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Chlorophyll_A_Mean; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Chlorophyll_A_Median; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Chlorophyll_A_Min; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Specific_Conductance_Max; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Specific_Conductance_Mean; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Specific_Conductance_Median; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Specific_Conductance_Min; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Temperature_Max; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Temperature_Mean; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Temperature_Median; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Temperature_Min; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Turbidity_Max; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Turbidity_Mean; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Turbidity_Median; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Turbidity_Min; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# pH_Max; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# pH_Mean; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# pH_Median; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# pH_Min; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
DateTime_Start,DateTime_End,Parent_ID,Site_ID,Chlorophyll_A_Max,Chlorophyll_A_Mean,Chlorophyll_A_Median,Chlorophyll_A_Min,Specific_Conductance_Max,Specific_Conductance_Mean,Specific_Conductance_Median,Specific_Conductance_Min,Temperature_Max,Temperature_Mean,Temperature_Median,Temperature_Min,Turbidity_Max,Turbidity_Mean,Turbidity_Median,Turbidity_Min,pH_Max,pH_Mean,pH_Median,pH_Min
 2022-08-08 08:24:00, 2022-08-08 10:00:00,SSS001,S63,1.04,0.919,0.92,0.82,83.3,83.006,83,82.7,17.1,15.928,15.91,14.84,1.54,0.868,0.87,0.25,8.36,8.243,8.25,8
 2022-08-08 10:56:00, 2022-08-08 12:25:00,SSS002,S30R,0.89,0.82,0.82,0.73,95.3,95.126,95.1,95,22,21.052,21.06,20.08,0.21,0.042,0.01,0,8.59,8.496,8.5,8.39
 2022-08-08 13:11:00, 2022-08-08 14:19:00,SSS003,S31,0.79,0.723,0.72,0.67,88.3,87.946,87.9,87.6,20.87,20.568,20.57,20.24,1.64,1.281,1.285,0.92,7.92,7.855,7.86,7.78
 2022-08-09 08:37:00, 2022-08-09 09:53:00,SSS004,S55N,1.46,1.368,1.37,1.29,105.7,105.569,105.6,105.5,17.93,17.914,17.91,17.9,2.76,2.196,2.18,1.66,7.93,7.856,7.86,7.77
 2022-08-09 11:24:00, 2022-08-09 12:48:00,SSS005,S57,4.47,1.537,1.29,0.56,76.4,76.226,76.2,76.1,17.96,17.757,17.75,17.55,3.44,2.704,2.635,2.26,7.92,7.803,7.83,7.63
 2022-08-09 13:47:00, 2022-08-09 15:11:00,SSS006,S56N,6.14,4.242,4.215,2.72,303.9,301.492,301.1,299.4,19.73,19.595,19.61,19.45,2.47,1.559,1.49,1.02,8.67,8.62,8.63,8.56
 2022-08-10 07:16:00, 2022-08-10 08:42:00,SSS007,S53,2.93,1.073,0.35,0.26,117.8,117.8,117.8,117.8,13.96,13.727,13.69,13.57,0,0,0,0,8.05,8.025,8.04,7.95
 2022-08-10 09:25:00, 2022-08-10 10:48:00,SSS008,S52,1.44,1.141,1.105,1.03,140.5,140.364,140.3,140.3,13.73,13.417,13.425,13.17,18.59,16.891,16.745,15.66,7.79,7.774,7.78,7.72
 2022-08-10 11:22:00, 2022-08-10 12:47:00,SSS009,S45,10.12,8.529,8.5,6.73,65.9,65.843,65.8,65.7,16.17,15.336,15.33,14.56,1.3,0.941,0.92,0.64,7.91,7.872,7.88,7.79
 2022-08-11 07:12:00, 2022-08-11 08:41:00,SSS010,S10,1.16,0.74,0.7,0.4,100.8,100.609,100.6,100.5,13.87,13.708,13.7,13.6,0,0,0,0,8.03,8.018,8.02,8
 2022-08-11 08:54:00, 2022-08-11 10:25:00,SSS011,S04,2.32,1.892,1.9,1.49,61,61,61,61,14.48,13.675,13.655,12.95,0,0,0,0,7.83,7.781,7.79,7.67
 2022-08-11 11:21:00, 2022-08-11 12:46:00,SSS012,S50P,1.41,0.978,0.96,0.68,60.8,60.759,60.8,60.7,20.31,19.737,19.745,19.15,1,0.633,0.63,0.32,8.27,8.246,8.25,8.21
 2022-08-08 07:20:00, 2022-08-08 10:04:00,SSS013,T07,1.26,1.103,1.09,1,230.2,228.587,228.55,227.4,23.47,22.755,22.71,22.24,1.96,1.554,1.52,1.16,8.47,8.309,8.32,8.14
 2022-08-08 11:11:00, 2022-08-08 12:51:00,SSS014,T02,2.08,1.45,1.36,1.07,213.1,211.822,211.7,210.9,22.76,22.462,22.45,22.12,4.73,3.031,2.92,1.95,8.37,8.28,8.29,8.17
 2022-08-08 14:30:00, 2022-08-08 16:03:00,SSS015,T03,0.82,0.759,0.76,0.69,84.1,83.824,83.8,83.6,19.4,19.266,19.28,19.07,3.95,3.167,3.14,2.5,8.21,8.199,8.2,8.18
 2022-08-09 09:35:00, 2022-08-09 11:18:00,SSS016,T42,0.67,0.604,0.6,0.56,65.4,65.269,65.3,65.1,16.61,16.393,16.4,16.24,3.43,2.946,2.91,2.46,7.95,7.864,7.9,7.73
 2022-08-09 12:17:00, 2022-08-09 13:56:00,SSS017,S58,0.77,0.645,0.63,0.56,69.3,69.3,69.3,69.3,18.14,17.92,17.99,17.58,3.07,2.694,2.69,2.36,7.85,7.826,7.84,7.78
 2022-08-10 07:51:00, 2022-08-10 09:54:00,SSS018,S08,0.61,0.513,0.5,0.46,73.2,73.073,73.1,73,14.69,13.838,13.72,13.45,3.68,2.272,2.3,1.1,7.23,7.206,7.21,7.18
 2022-08-10 10:50:00, 2022-08-10 12:35:00,SSS019,S03,0.66,0.605,0.6,0.57,133.4,133.077,133.1,132.8,13.74,13.031,12.965,12.49,1.58,1.299,1.3,1.06,8.08,8.042,8.04,7.99
 2022-08-10 13:15:00, 2022-08-10 14:45:00,SSS020,T05P,1.78,1.028,0.9,0.73,78.8,78.688,78.7,78.5,19.67,19.357,19.46,18.83,3.59,1.552,1.31,0.93,8.32,8.275,8.27,8.23
 2022-08-11 07:35:00, 2022-08-11 09:43:00,SSS021,S24,0.35,0.334,0.33,0.32,41.1,41.067,41.1,41,16.08,15.379,15.33,14.95,0.99,0.868,0.87,0.73,7.72,7.691,7.69,7.66
 2022-08-11 10:14:00, 2022-08-11 11:55:00,SSS022,S15,0.65,0.59,0.585,0.51,85.1,85.1,85.1,85.1,15.44,15.183,15.2,14.92,0.8,0.72,0.72,0.64,7.87,7.859,7.86,7.82
 2022-08-12 07:31:00, 2022-08-12 09:01:00,SSS023,U20,7.36,5.072,5.22,2.16,227.3,208.679,206.9,196.6,14.36,14.103,14.08,13.86,176.2,59.282,59.315,0.6,-9999,-9999,-9999,-9999
