Sample_Name,Calibration_Points,Calibration_Threshold,Calibration_RMSE,Calibration_Order
CM_001_ICR-1,29,0.600000000000016,0.16262836425822,1
CM_001_ICR-2,144,0.600000000000016,0.196783261036824,1
CM_001_ICR-3,14,0.600000000000016,0.275953506956242,1
CM_002_ICR-1,246,0.600000000000016,0.18488482786783,1
CM_002_ICR-2,55,0.600000000000016,0.344176809832667,1
CM_002_ICR-3,88,0.600000000000016,0.340412592708,1
CM_003_ICR-1,24,0.600000000000016,0.311511974415484,1
CM_003_ICR-2,518,0.600000000000016,0.117740387745608,1
CM_003_ICR-3,76,0.600000000000016,0.361131933169736,1
CM_004_ICR-1,52,0.600000000000016,0.367150873106048,1
CM_004_ICR-2,34,0.600000000000016,0.150472443615911,1
CM_004_ICR-3,19,0.600000000000016,0.28167659334159,1
CM_005_ICR-1,13,0.600000000000016,0.155669948047008,1
CM_005_ICR-2,261,0.600000000000016,0.135792132175677,1
CM_005_ICR-3,25,0.600000000000016,0.215288961929116,1
CM_006_ICR-2,32,0.600000000000016,0.262384944671734,1
CM_006_ICR-3,173,0.600000000000016,0.116084109564366,1
CM_007_ICR-1,374,0.600000000000016,0.0787380117286151,1
CM_007_ICR-2,140,0.600000000000016,0.350605510299084,1
CM_007_ICR-3,44,0.600000000000016,0.219117187986721,1
CM_008_ICR-1,6,1.00000000000001,0.597311123504043,1
CM_008_ICR-2,7,0.600000000000016,0.22968300936926,1
CM_008_ICR-3,315,0.600000000000016,0.114208157694601,1
CM_009_ICR-1,20,0.600000000000016,0.231851570583206,1
CM_009_ICR-2,32,0.600000000000016,0.197840626768883,1
CM_009_ICR-3,100,0.600000000000016,0.225308879655623,1
CM_010_ICR-1,427,0.600000000000016,0.132984044559044,1
CM_010_ICR-2,6,0.600000000000016,0.224568072484789,1
CM_010_ICR-3,138,0.600000000000016,0.316684021485053,1
CM_011_ICR-1,30,0.600000000000016,0.299100046032638,1
CM_011_ICR-2,294,0.600000000000016,0.0805946905191189,1
CM_011_ICR-3,80,0.600000000000016,0.17204939071137,1
CM_012_ICR-1,31,0.600000000000016,0.321119153820227,1
CM_012_ICR-2,26,0.600000000000016,0.318803250539403,1
CM_012_ICR-3,42,0.600000000000016,0.291506455251096,1
CM_013_ICR-1,38,0.600000000000016,0.208312023778871,1
CM_013_ICR-2,67,0.600000000000016,0.325494245884928,1
CM_013_ICR-3,245,0.600000000000016,0.0953296779629093,1
CM_014_ICR-1,24,0.600000000000016,0.23049802442125,1
CM_014_ICR-2,425,0.600000000000016,0.0896764200480631,1
CM_014_ICR-3,161,0.600000000000016,0.325128900335694,1
CM_015_ICR-1,59,0.600000000000016,0.3539483210777,1
CM_015_ICR-2,83,0.600000000000016,0.319638632278805,1
CM_015_ICR-3,32,0.600000000000016,0.281770191322669,1
CM_016_ICR-1,274,0.600000000000016,0.293449693367692,1
CM_016_ICR-2,112,0.600000000000016,0.359691587379792,1
CM_016_ICR-3,314,0.600000000000016,0.0958065109333606,1
