Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
2,227.092242,227.0923553935123,227.09249716120908,1132445.9,-9999,619158.3,18.55,-1,-0.6242729220963045,0.9317287197941666,0,0.5590372318764999,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999,-9999
3,227.128762,227.12887536661793,227.12888267055905,1034340,-9999,641543.7,16.78,-1,-0.03215769404497926,0.9998123783800484,0,0.5998874270280291,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999,-9999
4,229.155518,229.15562987405823,229.15576612430908,924437.6,-9999,892741.3,14.72,-1,-0.5945748306990395,0.937868436186382,0,0.5627210617118291,2,2,0.2727272727272727,N2 O3,de-protonated,0,-9999,C11 H22 O3 N2,11,22,3,2,-9999,-9999,-9999,-9999,-9999
6,239.092453,239.09255755622192,239.09249716120908,793170.6,-9999,485994.1,12.18,-1,0.2526010374855979,0.9884890163307928,0,0.5930934097984756,5,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H16 O5,12,16,5,-9999,-9999,-9999,-9999,-9999,-9999
8,239.128793,239.12889752946012,239.12888267055905,2687032.8,-9999,433966.1,46.02,-1,0.06213762596069629,0.9992996566338218,0,0.599579793980293,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,-9999
9,241.10804,241.10814307188735,241.1081472256691,1163883.6,-9999,383921.5,18.73,-1,-0.01722787782326775,0.9999461475209536,0,0.5999676885125722,4,1.5,0.4166666666666667,O5,de-protonated,0,-9999,C12 H18 O5,12,18,5,-9999,-9999,-9999,-9999,-9999,-9999
10,241.144341,241.1444440451543,241.14453273501908,1136337.8,-9999,842799.3,18.24,-1,-0.3677871680363204,0.975754664793069,0,0.5854527988758415,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,-9999,-9999
11,242.176084,242.17618628535,242.1761672165691,934337.9,-9999,420797.7,14.64,-1,0.07873929588497708,0.9988756730442144,0,0.5993254038265285,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,-9999,-9999
12,243.087114,243.08721561444207,243.0874117807791,935005,-9999,686502,14.59,-1,-0.8069785908802349,0.8885520903977543,0,0.5331312542386526,4,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,-9999,C11 H16 O6,11,16,6,-9999,-9999,-9999,-9999,-9999,-9999
13,243.123575,243.12367658759115,243.12379729012903,1192419.1,-9999,639406.6,19.15,-1,-0.49646533683017663,0.9562622546715688,0,0.5737573528029412,3,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,-9999,C12 H20 O5,12,20,5,-9999,-9999,-9999,-9999,-9999,-9999
14,243.159921,243.16002256082493,243.16018279947903,834153.4,-9999,728949.1,12.8,-1,-0.6589839351466196,0.924228563266249,0,0.5545371379597493,2,1.8461538461538465,0.3076923076923077,O4,de-protonated,0,-9999,C13 H24 O4,13,24,4,-9999,-9999,-9999,-9999,-9999,-9999
15,243.16019,243.16029156062683,243.16018279947903,807145.4,-9999,747068.6,12.32,-1,0.4472818967288073,0.9643501512398872,0,0.5786100907439323,2,1.8461538461538465,0.3076923076923077,O4,de-protonated,0,-9999,C13 H24 O4,13,24,4,-9999,-9999,-9999,-9999,-9999,-9999
16,243.171144,243.17124555256,243.1714161887691,1041963.3,-9999,838719.4,16.48,-1,-0.7017116228197656,0.9145298341103912,0,0.5487179004662348,2,2,0.25,N2 O3,de-protonated,0,-9999,C12 H24 O3 N2,12,24,3,2,-9999,-9999,-9999,-9999,-9999
17,243.171382,243.17148355238473,243.1714161887691,1205547.3,-9999,725340.3,19.38,-1,0.277021110037813,0.9861719990473043,0,0.5917031994283827,2,2,0.25,N2 O3,de-protonated,0,-9999,C12 H24 O3 N2,12,24,3,2,-9999,-9999,-9999,-9999,-9999
18,245.048677,245.0487771698923,245.0489182711491,820841.2,-9999,806268.2,12.56,-1,-0.575808527467132,0.9416135782754742,0,0.5649681469652845,4,1.4,0.5,S1 O5,de-protonated,0,-9999,C10 H14 O5 S1,10,14,5,-9999,-9999,1,-9999,-9999,-9999
18,245.048677,245.0487771698923,245.0485381486291,820841.2,-9999,806268.2,12.56,-1,0.9754037506936966,0.8414467526446422,0,0.5048680515867853,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,-9999,-9999
19,245.139213,245.13931310321908,245.13944735458907,882488.5,-9999,690901.5,13.65,-1,-0.5476530661797488,0.9470335164515692,0,0.5682201098709415,2,1.8333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H22 O5,12,22,5,-9999,-9999,-9999,-9999,-9999,-9999
20,249.149387,249.14948415001496,249.14961811544907,1219541.1,-9999,737567.6,19.53,-1,-0.5376907060964953,0.9488933532161788,0,0.5693360119297073,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,-9999,-9999
21,249.149623,249.1497201498412,249.14961811544907,1110933.3,-9999,809082.3,17.62,-1,0.4095305980634179,0.9700266605008944,0,0.5820159963005367,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,-9999,-9999
22,249.185833,249.18593012317513,249.18600362479907,1201563.1,-9999,451182.4,19.22,-1,-0.2949669037401711,0.984336932940907,0,0.5906021597645441,4,1.625,0.125,O2,de-protonated,0,-9999,C16 H26 O2,16,26,2,-9999,-9999,-9999,-9999,-9999,-9999
23,251.078332,251.07842772948604,251.07857843043905,1184336.3,-9999,841333.6,18.83,-1,-0.6002142992702371,0.9367225018432342,0,0.5620335011059405,7,1.2,0.4,N4 O4,de-protonated,0,-9999,C10 H12 O4 N4,10,12,4,4,-9999,-9999,-9999,-9999,-9999
24,251.078547,251.0786427293277,251.07857843043905,1166352.4,-9999,735056,18.51,-1,0.2560906989652528,0.9881706744945176,0,0.5929024046967106,7,1.2,0.4,N4 O4,de-protonated,0,-9999,C10 H12 O4 N4,10,12,4,4,-9999,-9999,-9999,-9999,-9999
25,251.128777,251.12887269233696,251.12888267055905,1133464.5,-9999,562787.2,17.93,-1,-0.03973347067683408,0.9997135791501014,0,0.5998281474900609,5,1.4285714285714286,0.2857142857142857,O4,de-protonated,0,-9999,C14 H20 O4,14,20,4,-9999,-9999,-9999,-9999,-9999,-9999
26,251.201584,251.2016796387198,251.20165368925908,814212.3,-9999,495201.6,12.32,-1,0.10330131332242026,0.9980656051524815,0,0.5988393630914889,3,1.75,0.125,O2,de-protonated,0,-9999,C16 H28 O2,16,28,2,-9999,-9999,-9999,-9999,-9999,-9999
27,253.107934,253.10802823483047,253.1081472256691,1037206.2,-9999,530153.3,16.24,-1,-0.47011856362382154,0.9606912132748784,0,0.5764147279649271,5,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,-9999,C13 H18 O5,13,18,5,-9999,-9999,-9999,-9999,-9999,-9999
29,253.144376,253.14447020799355,253.14453273501908,5987484,-9999,436298,103.25,-1,-0.24700128759865375,0.9221354705320688,0.995389606462425,0.9514371249042112,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999,-9999
31,253.217117,253.21721115442503,253.21730375371908,2756007.5,-9999,483887.1,46.45,-1,-0.365691019722408,0.9760269125157204,0,0.58561614750943225,2,1.875,0.125,O2,de-protonated,0,-9999,C16 H30 O2,16,30,2,-9999,-9999,-9999,-9999,-9999,-9999
32,253.21732,253.21741415427556,253.21730375371908,3058215.5,-9999,606740.4,51.76,-1,0.4359913593708964,0.9660967424327171,0,0.5796580454596303,2,1.875,0.125,O2,de-protonated,0,-9999,C16 H30 O2,16,30,2,-9999,-9999,-9999,-9999,-9999,-9999
33,254.14803,254.14812346887476,254.14788757008907,943418.7,-9999,751328.7,14.52,-1,0.9281949495817008,0.8552800111007987,0.995389606462425,0.9113238492454492,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,29,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,-9999,-9999
34,255.08715,255.08724277728055,255.08741178077904,1254989.6,-9999,685418.3,19.97,-1,-0.6625317074836279,0.923442646508024,0,0.5540655879048144,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,-9999,-9999
35,255.087479,255.08757177703828,255.08741178077904,1145741.6,-9999,589619.8,18.05,-1,0.6272213046377715,0.9311051133206586,0,0.5586630679923952,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,-9999,-9999
36,255.12363,255.12372275041565,255.12379729012903,1383523.3,-9999,409218.6,22.21,-1,-0.29217075867243397,0.9846301990888652,0,0.5907781194533192,4,1.5384615384615383,0.38461538461538464,O5,de-protonated,0,-9999,C13 H20 O5,13,20,5,-9999,-9999,-9999,-9999,-9999,-9999
37,255.159984,255.1600767236436,255.16018279947903,876632.9,-9999,675904.2,13.35,-1,-0.4157225250099284,0.9691276822622054,0,0.5814766093573231,3,1.7142857142857142,0.2857142857142857,O4,de-protonated,0,-9999,C14 H24 O4,14,24,4,-9999,-9999,-9999,-9999,-9999,-9999
39,255.232944,255.2330366699138,255.2329538181791,2960100.3,-9999,440503.4,49.8,-1,0.324612215763197,0.9810618152977268,0,0.5886370891786361,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999,-9999
40,257.102879,257.10297029284146,257.1030618452391,1510979.3,-9999,505416.5,24.44,-1,-0.3560922105614433,0.97725467052383,0,0.586352802314298,4,1.5,0.5,O6,de-protonated,0,-9999,C12 H18 O6,12,18,6,-9999,-9999,-9999,-9999,-9999,-9999
41,257.103185,257.10327629261616,257.1030618452391,1167811.4,-9999,1134503.4,18.43,-1,0.8340911054198872,0.8814074293280237,0,0.5288444575968142,4,1.5,0.5,O6,de-protonated,0,-9999,C12 H18 O6,12,18,6,-9999,-9999,-9999,-9999,-9999,-9999
42,257.139187,257.13927826610325,257.1394473545891,899144.8,-9999,728293.3,13.64,-1,-0.65757505348627,0.9245396784012938,0,0.5547238070407763,3,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,-9999,C13 H22 O5,13,22,5,-9999,-9999,-9999,-9999,-9999,-9999
43,257.139439,257.13953026591764,257.1394473545891,945864.8,-9999,592945.9,14.45,-1,0.3224372199622863,0.9813123694116258,0,0.5887874216469755,3,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,-9999,C13 H22 O5,13,22,5,-9999,-9999,-9999,-9999,-9999,-9999
44,257.17568,257.1757712392288,257.1758328639391,1545742.4,-9999,554029.3,24.87,-1,-0.23962092232215432,0.9896356296144958,0,0.5937813777686974,2,1.8571428571428572,0.2857142857142857,O4,de-protonated,0,-9999,C14 H26 O4,14,26,4,-9999,-9999,-9999,-9999,-9999,-9999
45,259.118485,259.118574808493,259.1187119096991,1091568.6,-9999,645773.5,16.97,-1,-0.5291057718450313,0.9504715119361982,0,0.5702829071617189,3,1.6666666666666667,0.5,O6,de-protonated,0,-9999,C12 H20 O6,12,20,6,-9999,-9999,-9999,-9999,-9999,-9999
46,259.118747,259.1188368083,259.1187119096991,1154864.8,-9999,526047.2,18.07,-1,0.4820130510661027,0.9587190892707034,0,0.575231453562422,3,1.6666666666666667,0.5,O6,de-protonated,0,-9999,C12 H20 O6,12,20,6,-9999,-9999,-9999,-9999,-9999,-9999
47,259.12982,259.1299098001455,259.12994529898907,1137586.4,-9999,546701.9,17.77,-1,-0.1369924402358901,0.9966005566804068,0,0.5979603340082441,3,1.818181818181818,0.4545454545454546,N2 O5,de-protonated,0,-9999,C11 H20 O5 N2,11,20,5,2,-9999,-9999,-9999,-9999,-9999
48,259.154913,259.1550027816664,259.15509741904907,863862,-9999,788725.6,13.02,-1,-0.36517662060396194,0.9760934964393668,0,0.58565609786362,2,1.8461538461538465,0.38461538461538464,O5,de-protonated,0,-9999,C13 H24 O5,13,24,5,-9999,-9999,-9999,-9999,-9999,-9999
50,262.975772,262.97585896787916,262.9759678045391,1538393.3,-9999,711608.2,24.55,-1,-0.41386542215989014,0.9693986352356504,0,0.5816391811413901,9,0.75,0.08333333333333333,S2 P1 O1,de-protonated,0,-9999,C12 H9 O1 P1 S2,12,9,1,-9999,1,2,-9999,-9999,-9999
51,262.97608,262.9761669676523,262.9759678045391,1290201.4,-9999,740281.5,20.27,-1,0.7573433986591418,0.901159198735285,0,0.540695519241171,9,0.75,0.08333333333333333,S2 P1 O1,de-protonated,0,-9999,C12 H9 O1 P1 S2,12,9,1,-9999,1,2,-9999,-9999,-9999
52,263.12879,263.1288768551924,263.12888267055905,888686.6,-9999,574169,13.34,-1,-0.02210082978977609,0.999911375919399,0,0.5999468255516394,6,1.3333333333333333,0.26666666666666666,O4,de-protonated,0,-9999,C15 H20 O4,15,20,4,-9999,-9999,-9999,-9999,-9999,-9999
53,263.201668,263.201754801523,263.2016536892591,841208.8,-9999,881637.2,12.52,-1,0.384162722719854,0.9735769835725426,0,0.5841461901435255,4,1.6470588235294117,0.1176470588235294,O2,de-protonated,0,-9999,C17 H28 O2,17,28,2,-9999,-9999,-9999,-9999,-9999,-9999
54,265.144366,265.14445137086597,265.1445327350191,883203.1,-9999,725888.3,13.14,-1,-0.3068671727031834,0.9830585852225232,0,0.5898351511335139,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,-9999,-9999
56,265.147757,265.14784236836874,265.14790403833905,4266883.5,-9999,487312,71.06,-1,-0.23258705563217932,0.990232235425932,0,0.5941393412555591,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,-9999
57,266.088852,266.0889366753201,266.0890094364491,901890.1,-9999,844627.6,13.46,-1,-0.27344657768636055,0.9865241550446616,0,0.591914493026797,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,-9999,-9999
60,267.073205,267.0732889504151,267.0730250193591,873156.8,-9999,541458.5,12.97,-1,0.9882355433610696,0.8376084686629294,0,0.5025650811977576,1,2,0.4,S2 O4,de-protonated,0,-9999,C10 H20 O4 S2,10,20,4,-9999,-9999,2,-9999,-9999,-9999
60,267.073205,267.0732889504151,267.07349305000906,873156.8,-9999,541458.5,12.97,-1,-0.7642076031419072,0.8994530353169234,0,0.539671821190154,7,1.2,0.5,N4 O5,de-protonated,0,-9999,C10 H12 O5 N4,10,12,5,4,-9999,-9999,-9999,-9999,-9999
61,267.087214,267.0872979400985,267.08741178077906,1143686.6,-9999,888702.8,17.6,-1,-0.42623004884576465,0.9675732410152708,0,0.5805439446091625,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,-9999,-9999
62,267.08739,267.0874739399689,267.08741178077906,1030118.7,-9999,587963.3,15.65,-1,0.23272976222856948,0.9902203043098956,0,0.5941321825859373,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,-9999,-9999
65,267.123645,267.1237289132697,267.12379729012906,1498251.5,-9999,599642,23.67,-1,-0.25597442105121077,0.9881813505436092,0,0.5929088103261656,5,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,-9999,C14 H20 O5,14,20,5,-9999,-9999,-9999,-9999,-9999,-9999
66,267.12395,267.124033913045,267.12379729012906,1284107.5,-9999,787493.4,20,-1,0.8858174313327052,0.8672935326140434,0,0.520376119568426,5,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,-9999,C14 H20 O5,14,20,5,-9999,-9999,-9999,-9999,-9999,-9999
67,267.196429,267.19651285966955,267.19656830882906,886549.1,-9999,691090.6,13.2,-1,-0.207521974757782,0.9922162963261054,0,0.5953297777956632,3,1.75,0.1875,O3,de-protonated,0,-9999,C16 H28 O3,16,28,3,-9999,-9999,-9999,-9999,-9999,-9999
