Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
16,251.095329,251.0953492366435,251.09548834200908,2031167.6,-9999,453088,34.16,-1,-0.5539938869276947,0.945833929066011,0,0.5675003574396066,6,1.4166666666666667,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H17 O2 N2 P1,12,17,2,2,1,-9999,-9999,-9999
34,263.043596,263.04361444308717,263.0438466913691,1621741.5,-9999,440962.6,26.41,-1,-0.8829261160807318,0.8680986918226745,0,0.5208592150936047,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,-9999
36,265.132056,265.13207412958815,265.1322677745291,856049.3,-9999,820557.6,12.91,-1,-0.7303710807797814,0.9077444934884852,0,0.544646696093091,1,2.3,0.4,N2 P1 O4,de-protonated,0,-9999,C10 H23 O4 N2 P1,10,23,4,2,1,-9999,-9999,-9999
37,265.147614,265.14763212725273,265.1475239158191,1487987.1,-9999,440987.5,23.92,-1,0.40811783590264766,0.9702299985615886,0,0.5821379991369532,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999
39,266.089143,266.08916098591965,266.0890094364491,2324965.8,-9999,532551.7,38.49,-1,0.5695442697148141,0.9428402212212904,0,0.5657041327327742,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,-9999
40,267.073312,267.0733298381859,267.07349305000906,858780,-9999,605052.9,12.96,-1,-0.6111120250622666,0.9344815021638077,0,0.5606889012982845,7,1.2,0.5,N4 O5,de-protonated,0,-9999,C10 H12 O5 N4,10,12,5,4,-9999,-9999,-9999,-9999
47,271.118491,271.1185082309634,271.1187119096991,1575986.5,-9999,502077,25.27,-1,-0.7512529630436571,0.9026628212798224,0,0.5415976927678934,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,-9999
50,271.227672,271.22768921457424,271.2278684377491,1094590.9,-9999,598199,16.94,-1,-0.6607845127220615,0.9238301358952848,0,0.5542980815371709,1,2,0.1875,O3,de-protonated,0,-9999,C16 H32 O3,16,32,3,-9999,-9999,-9999,-9999,-9999
51,273.097701,273.09771793386386,273.0979764648091,1695120.5,-9999,601969,27.15,-1,-0.946660054359474,0.8499242859004601,0,0.509954571540276,4,1.5,0.5833333333333334,O7,de-protonated,0,-9999,C12 H18 O7,12,18,7,-9999,-9999,-9999,-9999,-9999
53,275.14974,275.14975662583197,275.1500120386191,975345.6,-9999,694566.3,14.78,-1,-0.9282674030060184,0.8552591372817983,0,0.5131554823690789,2,1.8461538461538465,0.4615384615384616,O6,de-protonated,0,-9999,C13 H24 O6,13,24,6,-9999,-9999,-9999,-9999,-9999
