Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,33S,34S
1,166.993709,166.99373929545047,166.99372586927907,880135.1,-9999,1059548.9,14.78,-1,0.08039925645439346,0.99882779592275,0,0.5992966775536499,1,2.25,0.75,S1 P1 O3,de-protonated,0,-9999,C4 H9 O3 P1 S1,4,9,3,-9999,1,1,-9999,-9999,-9999,-9999,-9999
48,233.030911,233.03093163893777,233.03116020640908,860548.3,-9999,978537.4,13.58,-1,-0.9808450987271056,0.839823105217732,0,0.5038938631306391,3,1.5555555555555556,0.3333333333333333,S2 O3,de-protonated,0,-9999,C9 H14 O3 S2,9,14,3,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
56,241.136051,241.1360704537363,241.13629052652908,963211.4,-9999,571176.2,15.25,-1,-0.9126489932525288,0.8597327232657013,0,0.5158396339594208,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
67,249.149388,249.14940628195905,249.14961811544907,1590557.5,-9999,753410.5,26.26,-1,-0.8502260273553555,0.8770718121003851,0,0.5262430872602311,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
70,251.092266,251.09228399785513,251.09249716120908,822348.2,-9999,750936.4,12.55,-1,-0.8489435421515732,0.8774186798565181,0,0.5264512079139109,6,1.2307692307692308,0.38461538461538464,O5,de-protonated,0,-9999,C13 H16 O5,13,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
74,253.144305,253.1443226977888,253.14453273501908,14087045,-9999,620463.4,247.32,-1,-0.8297126862327052,0.9057424553590356,0.991198334636841,0.9399248070701578,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
75,254.147708,254.1477255510628,254.14788757008907,1970331,-9999,583075.5,32.72,-1,-0.6374990081469412,0.9289116465092786,0.991198334636841,0.9538263217603036,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,74,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
76,255.050809,255.05082641900384,255.05102627142907,816672.3,-9999,547970.9,12.39,-1,-0.7835782045162738,0.8945731960839649,0,0.5367439176503789,6,1.0909090909090908,0.6363636363636364,O7,de-protonated,0,-9999,C11 H12 O7,11,12,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77,255.061449,255.06146641744797,255.0614115075491,1308705.8,-9999,970395.2,21.06,-1,0.21528109069774948,0.991625848808882,0,0.5949755092853292,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,-9999,-9999,-9999,-9999
78,255.062056,255.0620734173592,255.06225966071912,4131490,-9999,614318.2,70.8,-1,-0.7301878378774695,0.9077885768028766,0,0.5446731460817259,6,1.2,0.6,N2 O6,de-protonated,0,-9999,C10 H12 O6 N2,10,12,6,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79,255.087281,255.0872984136706,255.08741178077904,1446821.6,-9999,542089.3,23.49,-1,-0.44442455108757783,0.964796088397084,0,0.5788776530382503,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
80,255.123604,255.12362140835916,255.12379729012903,2146987,-9999,571004.5,35.83,-1,-0.689397742483263,0.917376804976188,0,0.5504260829857128,4,1.5384615384615383,0.38461538461538464,O5,de-protonated,0,-9999,C13 H20 O5,13,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
