Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
13,187.097542,187.0975592962321,187.0975825416391,791197.9,-9999,979705.5,13.1,-1,-0.12424215576319436,0.9972030562814556,0,0.5983218337688733,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
16,190.957463,190.9574801173626,190.95734035992908,1110026.5,-9999,1021686.1,19.09,-1,0.7318777756978226,0.9073816851490678,0,0.5444290110894406,4,1,0.8,S1 P1 O4,de-protonated,0,-9999,C5 H5 O4 P1 S1,5,5,4,-9999,1,1,-9999,N/A,N/A,N/A,-9999
19,199.097533,199.09754974015013,199.0975825416391,977530.7,-9999,1021335.2,16.43,-1,-0.16475081490994667,0.9950870770494392,0,0.5970522462296636,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
21,201.113197,201.11321364674387,201.11323260609907,786200.3,-9999,998499.3,12.79,-1,-0.0942720424536928,0.9983887254699352,0,0.5990332352819612,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
25,209.154659,209.1546752741009,209.15470349587903,954140.1,-9999,821683.6,15.74,-1,-0.1349325532453402,0.996701852038798,0,0.5980211112232788,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
28,213.076855,213.07687109234556,213.07684709674908,767034.9,-9999,927995.9,12.22,-1,0.11261475287271952,0.9977014983885272,0,0.5986208990331163,4,1.4,0.5,O5,de-protonated,0,-9999,C10 H14 O5,10,14,5,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
30,215.092465,215.0924809989418,215.09249716120908,938896.8,-9999,922341.9,15.35,-1,-0.07514100909887633,0.9989760342553646,0,0.5993856205532188,3,1.6,0.5,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
31,215.128818,215.12883399725715,215.12888267055905,815893.9,-9999,894517.5,13.08,-1,-0.2262518229624024,0.99075466554344,0,0.594452799326064,2,1.818181818181818,0.3636363636363637,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
32,217.108158,217.10817390553416,217.1081472256691,876271.9,-9999,879729.5,14.15,-1,0.1228874430264158,0.9972636353509728,0,0.5983581812105837,2,1.8,0.5,O5,de-protonated,0,-9999,C10 H18 O5,10,18,5,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
34,227.092457,227.09247244285976,227.09249716120908,1024458.3,-9999,919999.1,16.68,-1,-0.1088470540944004,0.997852562862553,0,0.5987115377175317,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
35,227.12885,227.1288654411733,227.12888267055905,979536.1,-9999,830402.2,15.86,-1,-0.07585730861200946,0.9989564290497742,0,0.5993738574298645,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
