Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S
12,225.047086,225.04769804242707,225.0474755201991,830479.8,-9999,907587.4,13.11,-1,0.988779045210616,0.837445177210474,0,0.5024671063262843,10,0.7857142857142857,0.07142857142857142,P1 O1,de-protonated,0,-9999,C14 H11 O1 P1,14,11,1,-9999,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
29,242.993168,242.9937270012108,242.9935113940191,1144691.5,-9999,803715.3,18.33,-1,0.8872960865035046,0.8668810362881265,0,0.5201286217728759,11,0.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H4 O6,12,4,6,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
55,257.056137,257.0566544368749,257.05678035711907,2258942,-9999,568900.8,37.57,-1,-0.4898538135577274,0.9573944120495684,0,0.5744366472297411,10,0.7692307692307693,0.3076923076923077,N2 O4,de-protonated,0,-9999,C13 H10 O4 N2,13,10,4,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
67,263.063485,263.06398468163206,263.06419166901907,1160423.8,-9999,691692,18.06,-1,-0.7868322392702594,0.8937441021440765,0,0.5362464612864459,3,2,0.25,N4 S2 O2,de-protonated,0,-9999,C8 H16 O2 N4 S2,8,16,2,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
72,265.042734,265.0432278317884,265.0434562241291,1579126.5,-9999,700046.4,25.11,-1,-0.8617165802543676,0.8739468534539684,0,0.524368112072381,3,2,0.42857142857142855,N4 S2 O3,de-protonated,0,-9999,C7 H14 O3 N4 S2,7,14,3,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
74,265.115525,265.1160186166482,265.11622724282904,1306176.3,-9999,538249.6,20.43,-1,-0.7869234675127901,0.8937208197311866,0,0.5362324918387119,1,2.4444444444444446,0.1111111111111111,N4 S2 O1,de-protonated,0,-9999,C9 H22 O1 N4 S2,9,22,1,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
76,265.155278,265.15577149915475,265.1557661243091,2337669.8,-9999,510981.6,38.12,-1,0.0202705215478447,0.9999254465947786,0,0.5999552679568672,5,1.5714285714285714,0.21428571428571427,N2 O3,de-protonated,0,-9999,C14 H22 O3 N2,14,22,3,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
80,267.058373,267.05886087439086,267.0591062885891,1802754.4,-9999,650153.6,28.94,-1,-0.9189508705733548,0.8579340050855332,0,0.5147604030513199,2,2.2857142857142856,0.42857142857142855,N4 S2 O3,de-protonated,0,-9999,C7 H16 O3 N4 S2,7,16,3,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
81,267.080918,267.0814058077571,267.08153855400906,2184069.3,-9999,536942.9,35.48,-1,-0.4970251881448085,0.956165750661763,0,0.5736994503970578,15,0.6,0.05,O1,de-protonated,0,-9999,C20 H12 O1,20,12,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
82,267.094779,267.09526676678973,267.0954917979391,2707207.3,-9999,636818.9,44.45,-1,-0.8425119713794607,0.8791523522792358,0,0.5274914113675415,1,2.5,0.25,N4 S2 O2,de-protonated,0,-9999,C8 H20 O2 N4 S2,8,20,2,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
87,269.056316,269.0567979692954,269.05678035711907,1314308.9,-9999,626782.5,20.41,-1,0.065458957498992415,0.999222817202156,0,0.5995336903212936,11,0.7142857142857143,0.2857142857142857,N2 O4,de-protonated,0,-9999,C14 H10 O4 N2,14,10,4,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
94,271.071955,271.07243101189795,271.0724304215791,7362051,-9999,626918,123.39,-1,0.00217771629194452,0.9970906478139704,0.9861829469281516,0.992727567459643,10,0.8571428571428571,0.2857142857142857,N2 O4,de-protonated,0,-9999,C14 H12 O4 N2,14,12,4,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
105,272.075361,272.07583404624364,272.0757852566491,982015.5,-9999,694377.6,14.74,-1,0.1793235457678991,0.9941821561385754,0.9861829469281516,0.9909824724544058,10,0.9230769230769232,0.3076923076923077,13C1 N2 O4,de-protonated,1,94,C13 H12 O4 N2 13C1,13,12,4,2,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
109,275.027228,275.02769232174234,275.02780615966907,999013.6,-9999,501002,14.91,-1,-0.4139142449729279,0.9693915265028076,0,0.5816349159016845,5,1.5,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H12 O3 N4 S2,8,12,3,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
110,275.063551,275.0640152143866,275.06419166901907,1029737.9,-9999,519844.7,15.43,-1,-0.6415034665546449,0.9280487839537732,0,0.5568292703722639,4,1.7777777777777777,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H16 O2 N4 S2,9,16,2,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
112,275.099916,275.1003801069066,275.10057717836906,854190.3,-9999,568761.7,12.46,-1,-0.7163615013159486,0.9110889814964122,0,0.5466533888978473,3,2,0.1,N4 S2 O1,de-protonated,0,-9999,C10 H20 O1 N4 S2,10,20,1,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
114,277.042894,277.04335236426505,277.0434562241291,1621332.3,-9999,488275.9,25.43,-1,-0.374886544769311,0.9748216145870916,0,0.5848929687522548,4,1.75,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H14 O3 N4 S2,8,14,3,4,-9999,2,-9999,-9999,-9999,N/A,-9999,-9999
115,277.067207,277.0676652924058,277.06773896431906,6067927,-9999,572230.2,100.58,-1,-0.26589856154783653,0.9872531450128614,0,0.5923518870077168,4,1.5555555555555556,0.8888888888888888,N2 O8,de-protonated,0,-9999,C9 H14 O8 N2,9,14,8,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
