Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S
14,251.077276,251.0772412822807,251.0772410199191,5414652,-9999,633531.7,93.85,-1,0.00104494398352309,0.9999998018747605,0,0.5999998811248561,2,1.7777777777777777,0.8888888888888888,O8,de-protonated,0,-9999,C9 H16 O8,9,16,8,-9999,-9999,-9999,-9999,N/A,-9999,-9999
23,256.064521,256.0644871873596,256.0645225657191,962016.3,-9999,888326.7,14.95,-1,-0.13816189423725891,0.9965423702415716,0,0.5979254221449429,10,0.9230769230769232,0.07692307692307693,N3 P1 O1,de-protonated,0,-9999,C13 H12 O1 N3 P1,13,12,1,3,1,-9999,-9999,N/A,-9999,-9999
28,259.128967,259.1289337434913,259.1290971458191,2088075,-9999,565015.5,34.57,-1,-0.6305827080559749,0.9303910781950816,0,0.558234646917049,2,1.9230769230769231,0.07692307692307693,S1 P1 O1,de-protonated,0,-9999,C13 H25 O1 P1 S1,13,25,1,-9999,1,1,-9999,N/A,-9999,-9999
30,264.046569,264.04653663593143,264.04648971888906,2118022.8,-9999,485569.2,34.85,-1,0.17768477974627273,0.9942877012539458,0,0.5965726207523675,3,1.7777777777777777,0.4444444444444444,N1 S1 P1 O4,de-protonated,0,-9999,C9 H16 O4 N1 P1 S1,9,16,4,1,1,1,-9999,N/A,-9999,-9999
31,265.04033,265.0402978162779,265.0400849208091,7143552.5,-9999,475791.7,121.48,-1,0.8032576238886244,0.8895186268255527,0,0.5337111760953316,8,1,0.3,N4 S1 O3,de-protonated,0,-9999,C10 H10 O3 N4 S1,10,10,3,4,-9999,1,-9999,N/A,-9999,-9999
32,265.057192,265.057159819338,265.0573749548991,1092994.8,-9999,834715.4,16.9,-1,-0.811656574947261,0.8873321289066367,0,0.532399277343982,2,1.8,0.4,S2 O4,de-protonated,0,-9999,C10 H18 O4 S2,10,18,4,-9999,-9999,2,-9999,N/A,-9999,-9999
32,265.057192,265.057159819338,265.0569948323791,1092994.8,-9999,834715.4,16.9,-1,0.6224584226183413,0.9321112468630298,0,0.5592667481178178,7,1.25,0.08333333333333333,N2 S1 P1 O1,de-protonated,0,-9999,C12 H15 O1 N2 P1 S1,12,15,1,2,1,1,-9999,N/A,-9999,-9999
36,266.088211,266.088179006446,266.0881400565791,2134014.8,-9999,957401.8,34.89,-1,0.14637956767570162,0.996119651106822,0,0.5976717906640933,2,1.8888888888888888,0.8888888888888888,N1 O8,de-protonated,0,-9999,C9 H17 O8 N1,9,17,8,1,-9999,-9999,-9999,N/A,-9999,-9999
37,266.088812,266.0887800065551,266.0890094364491,8652287,-9999,592891.1,147.55,-1,-0.8622298773754326,0.8907726654504898,0.9949168962582224,0.9324303577735829,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,N/A,-9999,-9999
40,267.07276,267.07272818512075,267.0726448968391,1822195.4,-9999,517416.6,29.5,-1,0.3118562804367945,0.9825081185013108,0,0.5895048711007865,6,1.4166666666666667,0.08333333333333333,N2 S1 P1 O1,de-protonated,0,-9999,C12 H17 O1 N2 P1 S1,12,17,1,2,1,1,-9999,N/A,-9999,-9999
41,267.092201,267.0921691886488,267.09236427151905,882101.8,-9999,574813.8,13.25,-1,-0.7303947859112692,0.9077387900197148,0.9949168962582224,0.942610032515118,1,2.3333333333333335,0.3333333333333333,13C1 N1 S2 O3,de-protonated,1,37,C9 H21 O3 N1 S2 13C1,9,21,3,1,-9999,2,1,N/A,-9999,-9999
41,267.092201,267.0921691886488,267.0921204946191,882101.8,-9999,574813.8,13.25,-1,0.18231174182489793,0.9939872358236176,0,0.5963923414941706,6,1.4545454545454546,0.18181818181818185,N4 S1 O2,de-protonated,0,-9999,C11 H16 O2 N4 S1,11,16,2,4,-9999,1,-9999,N/A,-9999,-9999
52,271.001077,271.0010458980267,271.0013131731591,2304563,-9999,605952.2,37.57,-1,-0.9862503220282712,0.8382044220653524,0,0.5029226532392114,7,0.9,0.7,P1 O7,de-protonated,0,-9999,C10 H9 O7 P1,10,9,7,-9999,1,-9999,-9999,N/A,-9999,-9999
63,277.049025,277.04899499560054,277.0491327464091,1001271,-9999,501919.8,15.08,-1,-0.4972071458840262,0.9561343644934844,0,0.5736806186960907,3,1.7272727272727273,0.18181818181818185,S2 P1 O2,de-protonated,0,-9999,C11 H19 O2 P1 S2,11,19,2,-9999,1,2,-9999,N/A,-9999,-9999
65,277.053111,277.0530809963421,277.0529720803791,3683511.5,-9999,488259.4,60.8,-1,0.3931232434178433,0.9723473837121508,0,0.5834084302272904,4,1.875,0.375,N4 S1 P1 O3,de-protonated,0,-9999,C8 H15 O3 N4 P1 S1,8,15,3,4,1,1,-9999,N/A,-9999,-9999
67,277.059572,277.0595419975146,277.0594967558291,144262848,-9999,441460.2,2457.06,-1,0.16329231090755325,0.9905921026633512,0.9743514846166192,0.9840958554446584,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,N/A,-9999,-9999
68,277.119285,277.1192550083512,277.1193806149591,976702.3,-9999,512206.4,14.66,-1,-0.4532581142034241,0.9634088991464378,0,0.5780453394878626,7,1.2857142857142858,0.2857142857142857,N2 O4,de-protonated,0,-9999,C14 H18 O4 N2,14,18,4,2,-9999,-9999,-9999,N/A,-9999,-9999
69,277.155552,277.1555220149329,277.1557661243091,949249.9,-9999,584317.2,14.2,-1,-0.8807660024422704,0.8686989974590728,0,0.5212193984754436,6,1.4666666666666666,0.2,N2 O3,de-protonated,0,-9999,C15 H22 O3 N2,15,22,3,2,-9999,-9999,-9999,N/A,-9999,-9999
70,277.180823,277.18079301951906,277.1809182443691,1029828.6,-9999,727005.2,15.57,-1,-0.45178019762976906,0.9636427473662548,0,0.578185648419753,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
71,277.184165,277.18413502012555,277.18428954768905,2046148.9,-9999,675705,32.89,-1,-0.5574903388192757,0.9451672044891998,0,0.5671003226935198,0,2.142857142857143,0.21428571428571427,S1 O3,de-protonated,0,-9999,C14 H30 O3 S1,14,30,3,-9999,-9999,1,-9999,N/A,-9999,-9999
72,278.056629,278.05659917845924,278.0565316502791,1342750.1,-9999,536758.3,20.75,-1,0.24285773732494736,0.989137545188656,0.9743514846166192,0.9832231209598412,4,1.6666666666666667,0.6666666666666666,N1 15N1 P1 O6,de-protonated,1,67,C9 H15 O6 N1 P1 15N1,9,15,6,1,1,-9999,-9999,TRUE,-9999,-9999
73,278.062942,278.0629121796049,278.06285159089913,18438942,-9999,523466.4,310.08,-1,0.21789572184087283,0.989654256050825,0.9743514846166192,0.9835331474771428,4,1.875,0.75,13C1 N2 P1 O6,de-protonated,1,67,C8 H15 O6 N2 P1 13C1,8,15,6,2,1,-9999,1,N/A,-9999,-9999
