Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S
12,166.993768,166.99377318503247,166.99372586927907,961024.2,-9999,1075236.2,16.28,-1,0.2833385095486994,0.9855387534241896,0,0.5913232520545139,1,2.25,0.75,S1 P1 O3,de-protonated,0,-9999,C4 H9 O3 P1 S1,4,9,3,-9999,1,1,-9999,-9999,N/A,-9999,-9999,-9999
13,166.993862,166.9938671850574,166.99372586927907,779648.2,-9999,878410.1,12.83,-1,0.8462340581987702,0.8781502289502169,0,0.5268901373701301,1,2.25,0.75,S1 P1 O3,de-protonated,0,-9999,C4 H9 O3 P1 S1,4,9,3,-9999,1,1,-9999,-9999,N/A,-9999,-9999,-9999
42,190.957267,190.9572785361536,190.95734035992908,1475208.5,-9999,1008736.7,25.9,-1,-0.3237569990836641,0.9811605274445367,0,0.588696316466722,4,1,0.8,S1 P1 O4,de-protonated,0,-9999,C5 H5 O4 P1 S1,5,5,4,-9999,1,1,-9999,-9999,N/A,-9999,-9999,-9999
45,209.154484,209.15450035901893,209.15470349587903,1094723.9,-9999,980424,18.28,-1,-0.9712277885278948,0.842688808455276,0,0.5056132850731656,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
51,219.087231,219.08724999152597,219.0874117807791,838878.7,-9999,882181.6,13.35,-1,-0.7384689600014148,0.90578747612956,0,0.5434724856777361,2,1.7777777777777777,0.6666666666666666,O6,de-protonated,0,-9999,C9 H16 O6,9,16,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
58,223.133757,223.1337770639894,223.13396805098907,768583.1,-9999,973089.7,12.02,-1,-0.8559297417756158,0.8755244852520049,0,0.5253146911512029,4,1.5384615384615383,0.2307692307692308,O3,de-protonated,0,-9999,C13 H20 O3,13,20,3,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
76,227.128723,227.12874412278777,227.12888267055905,881854.3,-9999,774203.2,14.02,-1,-0.6099962703344816,0.934712549591626,0,0.5608275297549755,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
149,232.089581,232.08960343757943,232.0896746857791,1610274.9,-9999,618583.9,27.05,-1,-0.30698565001799605,0.9830456125390108,0,0.5898273675234065,7,1.2307692307692308,0.07692307692307693,N1 P1 O1,de-protonated,0,-9999,C13 H16 O1 N1 P1,13,16,1,1,1,-9999,-9999,-9999,N/A,-9999,-9999,-9999
150,232.089766,232.08978843762847,232.0896746857791,1615074.9,-9999,927874.4,27.14,-1,0.4901202499561555,0.9573490552330414,0,0.5744094331398248,7,1.2307692307692308,0.07692307692307693,N1 P1 O1,de-protonated,0,-9999,C13 H16 O1 N1 P1,13,16,1,1,1,-9999,-9999,-9999,N/A,-9999,-9999,-9999
161,232.092823,232.0928454384387,232.0930459890991,1074339.4,-9999,927862.4,17.39,-1,-0.864095947124833,0.8732959267411462,0,0.5239775560446877,2,2,0.1,N1 S1 P1 O1,de-protonated,0,-9999,C10 H20 O1 N1 P1 S1,10,20,1,1,1,1,-9999,-9999,N/A,-9999,-9999,-9999
162,232.093002,232.09302443848617,232.0930459890991,1051203.5,-9999,618574.1,16.97,-1,-0.09285333330237452,0.9984368193716958,0,0.5990620916230175,2,2,0.1,N1 S1 P1 O1,de-protonated,0,-9999,C10 H20 O1 N1 P1 S1,10,20,1,1,1,1,-9999,-9999,N/A,-9999,-9999,-9999
164,232.093739,232.09376143868147,232.09389414226908,1131235.6,-9999,605182.6,18.41,-1,-0.5717668192031359,0.9424063633666372,0,0.5654438180199822,3,1.875,0.625,N3 O5,de-protonated,0,-9999,C8 H15 O5 N3,8,15,5,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
165,232.094061,232.0940834387668,232.09389414226908,963299.6,-9999,616682.3,15.38,-1,0.8156030921132281,0.8862987540697301,0,0.5317792524418381,3,1.875,0.625,N3 O5,de-protonated,0,-9999,C8 H15 O5 N3,8,15,5,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
170,239.128725,239.1287493031858,239.12888267055905,4204776,-9999,849408.9,73.28,-1,-0.5577217263022742,0.9451229507852456,0,0.5670737704711473,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
174,241.136308,241.1363328352618,241.13629052652908,790320.7,-9999,1029786.9,12.1,-1,0.17545568374717388,0.9944297289908814,0,0.5966578373945288,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999,-9999
175,241.144379,241.1444038374009,241.14453273501908,1521714,-9999,845206.3,25.15,-1,-0.5345243233792366,0.9494780763883208,0,0.56968684583299245,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
177,242.176027,242.1760521108218,242.1761672165691,2867930.3,-9999,872034.7,49.16,-1,-0.4752975845446947,0.9598380828668164,0,0.5759028497200898,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
