Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
7,163.039919,163.04001336788474,163.04006766422907,882287.3,-9999,771882.3,14.83,-1,-0.33302454487856814,0.980077499220236,0,0.5880464995321416,6,0.8888888888888888,0.3333333333333333,O3,de-protonated,0,-9999,C9 H8 O3,9,8,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,187.09745,187.0975261465298,187.0975825416391,1336905,-9999,752822.9,23.47,-1,-0.3014208336912837,0.98364970799853,0,0.590189824799118,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15,199.061098,199.06116508517275,199.06119703228907,2108963.3,-9999,985156.3,37.59,-1,-0.16048891885738983,0.9953373857703216,0,0.597202431462193,4,1.3333333333333333,0.5555555555555556,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
16,199.097475,199.0975420576206,199.0975825416391,881206.9,-9999,854584.6,14.56,-1,-0.20333756942617004,0.992525863605862,0,0.5955155181635172,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17,201.113141,201.11320653094,201.11323260609907,929848.4,-9999,913766.3,15.42,-1,-0.1296541193847304,0.996954460080035,0,0.5981726760480209,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
18,207.012061,207.0121220630536,207.01213883862903,977947.1,-9999,793184.3,16.14,-1,-0.08103667521348545,0.9988091464980848,0,0.5992854878988509,7,0.8,0.3,S1 O3,de-protonated,0,-9999,C10 H8 O3 S1,10,8,3,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
19,209.081878,209.08193749535863,209.08193247717907,778288.8,-9999,750345.8,12.4,-1,0.02400101962362948,0.9998954821384186,0,0.5999372892830511,5,1.2727272727272727,0.3636363636363637,O4,de-protonated,0,-9999,C11 H14 O4,11,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20,209.154663,209.15472244023076,209.15470349587903,1080762.9,-9999,746367.9,17.98,-1,0.09057578614217164,0.99851250728582,0,0.5991075043714921,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21,211.097472,211.0975299687326,211.0975825416391,937776.5,-9999,558688.2,15.28,-1,-0.2490455166020039,0.988808977313264,0,0.5932853863879584,4,1.4545454545454546,0.3636363636363637,O4,de-protonated,0,-9999,C11 H16 O4,11,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
22,211.133824,211.13388194119932,211.13396805098907,899889.7,-9999,693959,14.58,-1,-0.4078443205673025,0.9702692891939378,0,0.5821615735163627,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
