Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S
6,163.018171,163.01821701380342,163.0182868474891,1126170.4,-9999,1023528.1,19.43,-1,-0.4283794598873175,0.967250798352157,0,0.5803504790112942,2,2,0.75,N2 S1 O3,de-protonated,0,-9999,C4 H8 O3 N2 S1,4,8,3,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
7,163.018332,163.0183780137588,163.0182868474891,775169.3,-9999,1981528.6,12.75,-1,0.5592395274227188,0.9448322619719264,0,0.5668993571831558,2,2,0.75,N2 S1 O3,de-protonated,0,-9999,C4 H8 O3 N2 S1,4,8,3,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
10,163.018774,163.01882001363634,163.0189382961691,1322704.4,-9999,880334,23.17,-1,-0.7255754085354335,0.9088952607442174,0,0.5453371564465305,11,0.3333333333333333,0.08333333333333333,O1,de-protonated,0,-9999,C12 H4 O1,12,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30,187.097527,187.09756634135712,187.0975825416391,1074443,-9999,1028446.4,18.43,-1,-0.08658733991256945,0.9986405374360408,0,0.5991843224616245,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33,193.086962,193.08699968167053,193.08701785760908,1026790.8,-9999,748163,17.37,-1,-0.09413340550531646,0.9983934572763912,0,0.5990360743658347,5,1.2727272727272727,0.2727272727272727,O3,de-protonated,0,-9999,C11 H14 O3,11,14,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
34,195.10261,195.1026471231297,195.1026679220691,1078873.4,-9999,987420.3,18.29,-1,-0.1066050997449838,0.9979400243467292,0,0.5987640146080375,4,1.4545454545454546,0.2727272727272727,O3,de-protonated,0,-9999,C11 H16 O3,11,16,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
41,199.061146,199.06118202621008,199.06119703228907,2838639.3,-9999,708556.6,51.19,-1,-0.07538424976847444,0.998969397542504,0,0.5993816385255024,4,1.3333333333333333,0.5555555555555556,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
42,199.09756,199.09759601611964,199.0975825416391,923218.8,-9999,692642.2,15.31,-1,0.06767777070585886,0.9991692593497736,0,0.5995015556098642,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
45,201.113202,201.1132374575805,201.11323260609907,919738.9,-9999,815042.3,15.19,-1,0.02412313388028057,0.999894415940878,0,0.5999366495645269,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,204.066559,204.06659363919837,204.0666167653491,788429.1,-9999,778815.8,12.65,-1,-0.11332647699762104,0.9976723875113268,0,0.5986034325067962,7,1,0.2727272727272727,N1 O3,de-protonated,0,-9999,C11 H11 O3 N1,11,11,3,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
55,209.081843,209.08187624945128,209.08193247717907,923495.6,-9999,911732.2,15.04,-1,-0.2689267652927415,0.9869630664729612,0,0.5921778398837767,5,1.2727272727272727,0.3636363636363637,O4,de-protonated,0,-9999,C11 H14 O4,11,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
58,211.133891,211.133923680824,211.13396805098907,945275.8,-9999,721249.9,15.38,-1,-0.21015171312684325,0.992018569057302,0,0.5952111414343811,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
63,213.076805,213.0768371424379,213.07684709674908,798476.4,-9999,909262.1,12.68,-1,-0.04671700047649252,0.9996040706105046,0,0.5997624423663027,4,1.4,0.5,O5,de-protonated,0,-9999,C10 H14 O5,10,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
64,213.113173,213.11320513236024,213.11323260609907,1143505.5,-9999,802604.6,19.02,-1,-0.12891615646537474,0.996988978412409,0,0.5981933870474454,3,1.6363636363636365,0.3636363636363637,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
66,215.092457,215.092488583896,215.09249716120908,1037681.7,-9999,760288.7,17.01,-1,-0.03987732345487525,0.9997115017546442,0,0.5998269010527865,3,1.6,0.5,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
67,215.128824,215.1288555738186,215.12888267055905,1439607,-9999,713281,24.36,-1,-0.12595584610778246,0.9971254786131168,0,0.59827528716787,2,1.818181818181818,0.3636363636363637,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
68,218.103339,218.1033697495735,218.10339619786907,1102745.8,-9999,679544.6,18.12,-1,-0.12126494152172304,0.9973353198902108,0,0.5984011919341264,2,1.8888888888888888,0.5555555555555556,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81,220.020347,220.02037721836604,220.02027497039907,1077606.1,-9999,928384.2,17.59,-1,0.46472065803071033,0.961571245745238,0,0.5769427474471428,3,1.7142857142857142,0.42857142857142855,N1 S1 P1 O3,de-protonated,0,-9999,C7 H12 O3 N1 P1 S1,7,12,3,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999
84,220.021754,220.02178421797615,220.0219925034391,1009766.4,-9999,578655.5,16.36,-1,-0.9466574706830766,0.8499250402903035,0,0.509955024174182,3,1.8333333333333333,0.3333333333333333,N3 S2 O2,de-protonated,0,-9999,C6 H11 O2 N3 S2,6,11,2,3,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999
96,223.133949,223.1339783555796,223.13396805098907,1089948.4,-9999,866654,17.74,-1,0.04618118257730979,0.9996130989575068,0,0.599767859374504,4,1.5384615384615383,0.2307692307692308,O3,de-protonated,0,-9999,C13 H20 O3,13,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
97,225.113189,225.1132178071275,225.11323260609907,1162339.4,-9999,817296.9,18.97,-1,-0.06574012270678743,0.9992161290354968,0,0.599529677421298,4,1.5,0.3333333333333333,O4,de-protonated,0,-9999,C12 H18 O4,12,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
98,227.09247,227.09249825866408,227.09249716120908,1206639.5,-9999,819447,19.76,-1,0.00483263433053943,0.9999957623920218,0,0.599997457435213,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
100,227.128812,227.1288402485937,227.12888267055905,2251957.8,-9999,635877.9,38.59,-1,-0.1867748605575872,0.9936901811057658,0,0.5962141086634595,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
103,227.14009,227.14011824546847,227.14011605984908,4754103.5,-9999,680277.3,83.67,-1,0.00962233986592241,0.999983199911682,0,0.5999899199470092,3,1.818181818181818,0.2727272727272727,N2 O3,de-protonated,0,-9999,C11 H20 O3 N2,11,20,3,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
104,229.108085,229.1081127001324,229.1081472256691,965382.1,-9999,762633.6,15.35,-1,-0.15069536851827126,0.99588794246677,0,0.597532765480062,3,1.6363636363636365,0.4545454545454546,O5,de-protonated,0,-9999,C11 H18 O5,11,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
105,229.144475,229.14450269004868,229.14453273501908,1898508.3,-9999,779659.9,32.09,-1,-0.13111798934396124,0.9968854078441286,0,0.5981312447064772,2,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,-9999,C12 H22 O4,12,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
106,229.155729,229.15575668693015,229.15576612430908,1155086.1,-9999,719402,18.75,-1,-0.04118324869764091,0.999692299495454,0,0.5998153796972725,2,2,0.2727272727272727,N2 O3,de-protonated,0,-9999,C11 H22 O3 N2,11,22,3,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
108,231.087362,231.08738915167012,231.0874117807791,2186457.8,-9999,715499.3,37.1,-1,-0.09792445548852652,0.9982615652730148,0,0.5989569391638089,3,1.6,0.6,O6,de-protonated,0,-9999,C10 H16 O6,10,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
110,233.154669,233.15469557881448,233.15470349587903,4521151,-9999,626597.4,78.82,-1,-0.03395627221036385,0.9997908063915062,0,0.5998744838349037,5,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,-9999,C15 H22 O2,15,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
113,237.113201,237.1132264818959,237.11323260609907,883375.5,-9999,862062.8,13.68,-1,-0.02582817964392088,0.9998789638388004,0,0.5999273783032802,5,1.3846153846153846,0.3076923076923077,O4,de-protonated,0,-9999,C13 H18 O4,13,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
114,239.092433,239.09245793344604,239.09249716120908,1190663.9,-9999,673474.3,19.12,-1,-0.16406940203235462,0.9951275339484223,0,0.5970765203690533,5,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H16 O5,12,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
116,239.128824,239.12884892336203,239.12888267055905,6129358,-9999,648797.7,106.63,-1,-0.14112555809137187,0.994605405999681,0.986447675620611,0.991342313848053,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
119,240.132165,240.13218964533385,240.13223750562904,971580.3,-9999,669174,15.17,-1,-0.19930808003360911,0.9928180988669812,0.986447675620611,0.9902699295684332,4,1.6666666666666667,0.3333333333333333,13C1 O4,de-protonated,1,116,C12 H20 O4 13C1,12,20,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
125,241.046547,241.0465713919565,241.0466095962591,4457499,-9999,696693.7,76.66,-1,-0.15849342453040444,0.995452350961788,0,0.5972714105770727,6,1.1111111111111112,0.6666666666666666,N2 O6,de-protonated,0,-9999,C9 H10 O6 N2,9,10,6,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
127,241.108143,241.10816737488807,241.1081472256691,3509413.5,-9999,632961.6,59.94,-1,0.08356921661473249,0.9987335986942816,0,0.5992401592165689,4,1.5,0.4166666666666667,O5,de-protonated,0,-9999,C12 H18 O5,12,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
128,241.119347,241.11937137178344,241.11938061495908,1174951.4,-9999,807739.5,18.75,-1,-0.03833443684552548,0.9997333914310786,0,0.5998400348586471,4,1.6363636363636365,0.3636363636363637,N2 O4,de-protonated,0,-9999,C11 H18 O4 N2,11,18,4,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
130,241.136414,241.1364383670541,241.13629052652908,1815210.3,-9999,720153.6,30.05,-1,0.6130994413740184,0.9340690496354264,0,0.5604414297812558,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
132,241.144501,241.1445253648132,241.14453273501908,2079659.8,-9999,586048.4,34.71,-1,-0.03056343771644993,0.9998305188407924,0,0.5998983113044754,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,241.180901,241.18092535472664,241.18091824436908,1276722,-9999,707622,20.55,-1,0.0294814266800523,0.9998423054893958,0,0.5999053832936374,2,1.8571428571428572,0.21428571428571427,O3,de-protonated,0,-9999,C14 H26 O3,14,26,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
139,242.176116,242.17614007895023,242.1761672165691,4815070,-9999,644244.1,82.97,-1,-0.11205734727731052,0.997724169867696,0,0.5986345019206176,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
142,243.06226,243.06228383339763,243.0622596607191,1972214.4,-9999,724279.6,32.66,-1,0.09945056287184342,0.9982070066265613,0,0.5989242039759367,5,1.3333333333333333,0.6666666666666666,N2 O6,de-protonated,0,-9999,C9 H12 O6 N2,9,12,6,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
144,243.123732,243.1237558163636,243.12379729012903,5469057,-9999,657657.1,94.08,-1,-0.17058702572917722,0.9947337707836637,0,0.5968402624701981,3,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,-9999,C12 H20 O5,12,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
146,243.160147,243.1601708062729,243.16018279947903,2701703.3,-9999,750632,45.48,-1,-0.04932224519611276,0.9995586901132288,0,0.5997352140679372,2,1.8461538461538465,0.3076923076923077,O4,de-protonated,0,-9999,C13 H24 O4,13,24,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
147,243.171355,243.17137880316716,243.1714161887691,1748617.1,-9999,806912.1,28.74,-1,-0.15374176173315796,0.9957203666518858,0,0.5974322199911315,2,2,0.25,N2 O3,de-protonated,0,-9999,C12 H24 O3 N2,12,24,3,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
149,243.196598,243.19662179617225,243.1965683088291,1323405.5,-9999,650995.2,21.27,-1,0.21993461313238247,0.9912615076454282,0,0.5947569045872569,1,2,0.21428571428571427,O3,de-protonated,0,-9999,C14 H28 O3,14,28,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
154,245.10303,245.10305326789543,245.1030618452391,1060627.5,-9999,729540.8,16.65,-1,-0.03499484502233412,0.9997778155165504,0,0.5998666893099303,3,1.6363636363636365,0.5454545454545454,O6,de-protonated,0,-9999,C11 H18 O6,11,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
156,245.114288,245.11431126477584,245.1142952345291,2685525.3,-9999,616057.6,45.19,-1,0.06539906913770846,0.9992242380882898,0,0.5995345428529738,3,1.8,0.5,N2 O5,de-protonated,0,-9999,C10 H18 O5 N2,10,18,5,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
