Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
5,227.03803,227.0380567552261,227.0379734645991,889561.4,-9999,913999.9,14.17,-1,0.366857692272321,0.9758755677391996,0,0.5855253406435197,10,0.75,0.08333333333333333,N2 P1 O1,de-protonated,0,-9999,C12 H9 O1 N2 P1,12,9,1,2,1,-9999,-9999,-9999,-9999,-9999
6,227.055882,227.05590873743552,227.05611165185908,927900.3,-9999,497056.4,14.87,-1,-0.8936752333666109,0.8650958427938822,0,0.5190575056763292,5,1.2,0.6,O6,de-protonated,0,-9999,C10 H12 O6,10,12,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,229.017331,229.01735578273343,229.01723801970908,1465276.1,-9999,539672.4,24.53,-1,0.5142103074671057,0.9531554676406082,0,0.571893280584365,10,0.6363636363636364,0.18181818181818185,N2 P1 O2,de-protonated,0,-9999,C11 H7 O2 N2 P1,11,7,2,2,1,-9999,-9999,-9999,-9999,-9999
9,229.071513,229.07153772873784,229.0717617163191,958245,-9999,579036.9,15.36,-1,-0.977805293731597,0.8407308816578408,0,0.5044385289947044,4,1.4,0.6,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,239.001753,239.00176783265564,239.00196807776905,1420064.8,-9999,734258.4,23.42,-1,-0.8378387634845936,0.8804059045601611,0,0.5282435427360966,7,0.8,0.5,S1 O5,de-protonated,0,-9999,C10 H8 O5 S1,10,8,5,-9999,-9999,1,-9999,-9999,-9999,-9999
14,239.001753,239.00176783265564,239.00158795524908,1420064.8,-9999,734258.4,23.42,-1,0.7526201315444838,0.9023261302013108,0,0.5413956781207865,12,0.4166666666666667,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H5 O2 N2 P1,12,5,2,2,1,-9999,-9999,-9999,-9999,-9999
17,241.017391,241.017403823951,241.01761814222908,1807412,-9999,513726.8,30.23,-1,-0.8892224549761014,0.8663429057917232,0,0.5198057434750339,6,1,0.5,S1 O5,de-protonated,0,-9999,C10 H10 O5 S1,10,10,5,-9999,-9999,1,-9999,-9999,-9999,-9999
17,241.017391,241.017403823951,241.01723801970908,1807412,-9999,513726.8,30.23,-1,0.6879352002565894,0.9177121781374616,0,0.5506273068824769,11,0.5833333333333334,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H7 O2 N2 P1,12,7,2,2,1,-9999,-9999,-9999,-9999,-9999
18,241.053803,241.0538157876642,241.05400365157908,1431354.1,-9999,633980.2,23.52,-1,-0.7793436824462866,0.8956481062610906,0,0.5373888637566543,5,1.2727272727272727,0.3636363636363637,S1 O4,de-protonated,0,-9999,C11 H14 O4 S1,11,14,4,-9999,-9999,1,-9999,-9999,-9999,-9999
18,241.053803,241.0538157876642,241.0536235290591,1431354.1,-9999,633980.2,23.52,-1,0.7975760840345274,0.8909878222358575,0,0.5345926933415145,10,0.8461538461538461,0.07692307692307693,N2 P1 O1,de-protonated,0,-9999,C13 H11 O1 N2 P1,13,11,1,2,1,-9999,-9999,-9999,-9999,-9999
