Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,33S,34S
6,239.066481,239.0664804535901,239.0664968879791,1013977.5,-9999,1020686.4,16.22,-1,-0.068744007313816,0.9991428884798854,0,0.5994857330879312,5,1.4166666666666667,0.08333333333333333,S1 P1 O1,de-protonated,0,-9999,C12 H17 O1 P1 S1,12,17,1,-9999,1,1,-9999,N/A,N/A,N/A
13,265.147542,265.1475422130396,265.1475239158191,2692644,-9999,655370.8,44.7,-1,0.06900769910703046,0.9991363032096776,0,0.5994817819258066,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,N/A,N/A
18,281.066355,281.06635567657656,281.06651414455905,1322740.4,-9999,771086.8,20.53,-1,-0.5638095415585701,0.9439527887644432,0,0.5663716732586659,2,2.375,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H19 O1 N4 P1 S2,8,19,1,4,1,2,-9999,N/A,N/A,N/A
19,281.102812,281.1028126776381,281.1030618452391,1336055.4,-9999,644570.5,20.76,-1,-0.8863923408109785,0.8671332101465984,0,0.520279926087959,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999,N/A,N/A,N/A
21,285.061335,285.0613357929056,285.06159095545905,1107383,-9999,656703.1,16.75,-1,-0.8951137633192779,0.8646920164071089,0,0.5188152098442653,6,1.1666666666666667,0.6666666666666666,O8,de-protonated,0,-9999,C12 H14 O8,12,14,8,-9999,-9999,-9999,-9999,N/A,N/A,N/A
22,285.097729,285.0977297939654,285.0979764648091,1034553.9,-9999,682932.1,15.52,-1,-0.8652142914264654,0.8729895276260535,0,0.5237937165756321,5,1.3846153846153846,0.5384615384615384,O7,de-protonated,0,-9999,C13 H18 O7,13,18,7,-9999,-9999,-9999,-9999,N/A,N/A,N/A
23,291.087167,291.08716796837075,291.08741178077906,1022863.4,-9999,723071.3,15.11,-1,-0.837591728280534,0.8804720253975453,0,0.5282832152385272,8,1.0666666666666669,0.4,O6,de-protonated,0,-9999,C15 H16 O6,15,16,6,-9999,-9999,-9999,-9999,N/A,N/A,N/A
24,293.066427,293.06642802600436,293.0666763358891,886697.8,-9999,665447.3,12.84,-1,-0.8472811984076822,0.8778677105574045,0,0.5267206263344427,8,1,0.5,O7,de-protonated,0,-9999,C14 H14 O7,14,14,7,-9999,-9999,-9999,-9999,N/A,N/A,N/A
24,293.066427,293.06642802600436,293.06651414455905,886697.8,-9999,665447.3,12.84,-1,-0.2938532740335683,0.9844540572216158,0,0.5906724343329695,3,2.111111111111111,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,-9999,C9 H19 O1 N4 P1 S2,9,19,1,4,1,2,-9999,N/A,N/A,N/A
25,293.102209,293.10221002704634,293.10203027403907,1334444.6,-9999,709268.1,20.31,-1,0.613277932962502,0.9340319503051656,0,0.5604191701830994,3,2.111111111111111,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H19 O5 N4 P1,9,19,5,4,1,-9999,-9999,N/A,N/A,N/A
26,293.102841,293.10284202706475,293.1030618452391,2051244.6,-9999,662281.5,32.27,-1,-0.7499688777044089,0.9029786081731392,0,0.5417871649038835,7,1.2,0.4,O6,de-protonated,0,-9999,C15 H18 O6,15,18,6,-9999,-9999,-9999,-9999,N/A,N/A,N/A
27,293.174931,293.1749320291639,293.17480129273906,3673010.3,-9999,624985.4,59.34,-1,0.44593336224031754,0.9645609432927698,0,0.5787365659756618,1,2.4545454545454546,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H27 O3 N4 P1,11,27,3,4,1,-9999,-9999,N/A,N/A,N/A
28,293.175596,293.1755970291833,293.1758328639391,5353906.5,-9999,562589.9,87.4,-1,-0.8044140388691311,0.8993853268994648,0.9888577493516212,0.9351742958803276,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A
