Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,33S,34S
63,261.135301,261.13538295020567,261.1352313540291,970731.8,-9999,893827.2,14.73,-1,0.5805274753351135,0.9406817394827262,0,0.5644090436896356,1,2,0.07692307692307693,S2 O1,de-protonated,0,-9999,C13 H26 O1 S2,13,26,1,-9999,-9999,2,-9999,N/A,-9999,-9999
64,261.135847,261.1359289494202,261.13569938467907,2203115.8,-9999,616712.1,35.95,-1,0.8791013318352195,0.8691608962490966,0,0.5214965377494579,7,1.3846153846153846,0.15384615384615383,N4 O2,de-protonated,0,-9999,C13 H18 O2 N4,13,18,2,4,-9999,-9999,-9999,N/A,-9999,-9999
78,265.14447,265.1445461826982,265.1445327350191,1790094.1,-9999,694137.1,28.61,-1,0.0507182968640947,0.9995333601737107,0,0.5997200161042264,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
91,267.14216,267.14223330886273,267.1424247347391,1188114.8,-9999,718610.9,18.32,-1,-0.7165686115580973,0.9110399212737048,0,0.5466239527642228,4,1.6,0.13333333333333333,S1 O2,de-protonated,0,-9999,C15 H24 O2 S1,15,24,2,-9999,-9999,1,-9999,N/A,-9999,-9999
93,268.980939,268.98100966363336,268.9808559662891,1309564.5,-9999,869079.3,20.23,-1,0.571406257600777,0.9424768488596206,0,0.5654861093157724,8,0.75,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H6 O3 N4 S2,8,6,3,4,-9999,2,-9999,N/A,-9999,-9999
100,269.129718,269.129788449603,269.1295513758191,2046095.1,-9999,822498.8,32.71,-1,0.8808909413799779,0.8686643051165602,0,0.5211985830699362,9,1.125,0.125,N2 O2,de-protonated,0,-9999,C16 H18 O2 N2,16,18,2,2,-9999,-9999,-9999,N/A,-9999,-9999
109,273.038974,273.0390388258283,273.03896198554907,871150.6,-9999,642094.7,12.68,-1,0.28142605976750384,0.9857319180401234,0,0.5914391508240741,0,2.375,0.5,S2 P1 O4,de-protonated,0,-9999,C8 H19 O4 P1 S2,8,19,4,-9999,1,2,-9999,N/A,-9999,-9999
113,275.018252,275.01831397847997,275.0182265406591,850393.9,-9999,722356.8,12.33,-1,0.3179346400645612,0.981825902438872,0,0.5890955414633232,0,2.4285714285714284,0.7142857142857143,S2 P1 O5,de-protonated,0,-9999,C7 H17 O5 P1 S2,7,17,5,-9999,1,2,-9999,N/A,-9999,-9999
114,275.054764,275.0548259259545,275.0550800806591,1341790.3,-9999,625089.8,20.59,-1,-0.9240138538924036,0.8564826835700935,0,0.513889610142056,5,1.625,0.625,N4 P1 O5,de-protonated,0,-9999,C8 H13 O5 N4 P1,8,13,5,4,1,-9999,-9999,N/A,-9999,-9999
115,275.091129,275.09119087364064,275.0914655900091,1584866.5,-9999,688595.7,24.68,-1,-0.9986364638697964,0.8344735767209465,0,0.5006841460325678,4,1.8888888888888888,0.4444444444444444,N4 P1 O4,de-protonated,0,-9999,C9 H17 O4 N4 P1,9,17,4,4,1,-9999,-9999,N/A,-9999,-9999
