Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,33S,34S
1,211.024579,211.02468018765583,211.0248115229391,788953,-9999,1010923.4,12.69,-1,-0.6223689163525273,0.9321300915324412,0,0.5592780549194646,6,0.8888888888888888,0.6666666666666666,O6,de-protonated,0,-9999,C9 H8 O6,9,8,6,-9999,-9999,-9999,-9999,N/A,N/A
2,227.103495,227.103583090953,227.1037305504991,777841.1,-9999,836676,12.23,-1,-0.6493048165330864,0.9263546044284056,0,0.5558127626570433,4,1.6,0.4,N2 O4,de-protonated,0,-9999,C10 H16 O4 N2,10,16,4,2,-9999,-9999,-9999,N/A,N/A
3,241.071561,241.0716377135934,241.0717617163191,802586.1,-9999,987489.6,12.44,-1,-0.5143809661301881,0.953125109034318,0,0.5718750654205907,5,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,-9999,C11 H14 O6,11,14,6,-9999,-9999,-9999,-9999,N/A,N/A
4,243.062079,243.0621540922638,243.0622596607191,974802.1,-9999,928905.5,15.48,-1,-0.43432680764176573,0.9663507267332266,0,0.579810436039936,5,1.3333333333333333,0.6666666666666666,N2 O6,de-protonated,0,-9999,C9 H12 O6 N2,9,12,6,2,-9999,-9999,-9999,N/A,N/A
5,249.040301,249.04037122284367,249.04046158739908,978146.4,-9999,972117.3,15.47,-1,-0.36285089912172086,0.9763934247512286,0,0.5858360548507371,8,0.8333333333333334,0.5,O6,de-protonated,0,-9999,C12 H10 O6,12,10,6,-9999,-9999,-9999,-9999,N/A,N/A
6,251.019579,251.01964761066932,251.01972614250903,962565.4,-9999,872920.2,15.13,-1,-0.31285126846486394,0.9823973133134102,0,0.589438387988046,8,0.7272727272727273,0.6363636363636364,O7,de-protonated,0,-9999,C11 H8 O7,11,8,7,-9999,-9999,-9999,-9999,N/A,N/A
6,251.019579,251.01964761066932,251.0195639511791,962565.4,-9999,872920.2,15.13,-1,0.33327876486098834,0.9800473768440584,0,0.5880284261064349,3,2.1666666666666665,0.16666666666666666,N4 S2 P1 O1,de-protonated,0,-9999,C6 H13 O1 N4 P1 S2,6,13,1,4,1,2,-9999,N/A,N/A
7,251.055926,251.05599458106377,251.05611165185908,975754.7,-9999,920208.8,15.37,-1,-0.4663132658684936,0.961312572668348,0,0.5767875436010088,7,1,0.5,O6,de-protonated,0,-9999,C12 H12 O6,12,12,6,-9999,-9999,-9999,-9999,N/A,N/A
8,253.035269,253.03533596883645,253.0353762069691,791846.6,-9999,809866.1,12.09,-1,-0.15902176701200443,0.9954220506054589,0,0.5972532303632753,7,0.9090909090909092,0.6363636363636364,O7,de-protonated,0,-9999,C11 H10 O7,11,10,7,-9999,-9999,-9999,-9999,N/A,N/A
8,253.035269,253.03533596883645,253.0352140156391,791846.6,-9999,809866.1,12.09,-1,0.48196136583141475,0.9587277564776632,0,0.575236653886598,2,2.5,0.16666666666666666,N4 S2 P1 O1,de-protonated,0,-9999,C6 H15 O1 N4 P1 S2,6,15,1,4,1,2,-9999,N/A,N/A
9,253.07162,253.0716869392276,253.0717617163191,860203.8,-9999,703445,13.31,-1,-0.2954778162180406,0.9842830549397192,0,0.5905698329638315,6,1.1666666666666667,0.5,O6,de-protonated,0,-9999,C12 H14 O6,12,14,6,-9999,-9999,-9999,-9999,N/A,N/A
