Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
0,265.147941,265.1479275187084,265.14790403833905,1162089.8,-9999,560547.8,18.44,-1,0.08855574188052633,0.998578069635672,0,0.5991468417814031,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999
2,281.066693,281.0666817586647,281.0666763358891,837265.9,-9999,661396.6,12.51,-1,0.01929355574089353,0.9999324595873276,0,0.5999594757523965,7,1.0769230769230769,0.5384615384615384,O7,de-protonated,0,-9999,C13 H14 O7,13,14,7,-9999,-9999,-9999,-9999
2,281.066693,281.0666817586647,281.06651414455905,837265.9,-9999,661396.6,12.51,-1,0.5963503199418164,0.937508674466528,0,0.5625052046799167,2,2.375,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H19 O1 N4 P1 S2,8,19,1,4,1,2,-9999
3,281.103018,281.1030067637761,281.1030618452391,872533.1,-9999,574821.1,13.12,-1,-0.19594757401712004,0.993057407638987,0,0.5958344445833922,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999
4,283.082296,283.08228504228384,283.0823264003491,1133889.8,-9999,658202.6,17.56,-1,-0.14609907216036588,0.9961344793139844,0,0.5976806875883905,6,1.2307692307692308,0.5384615384615384,O7,de-protonated,0,-9999,C13 H16 O7,13,16,7,-9999,-9999,-9999,-9999
5,285.098,285.0979893259172,285.0979764648091,812142.1,-9999,692868.1,12.01,-1,0.04511118680984442,0.9996308166089718,0,0.5997784899653831,5,1.3846153846153846,0.5384615384615384,O7,de-protonated,0,-9999,C13 H18 O7,13,18,7,-9999,-9999,-9999,-9999
6,285.126143,285.12613232987724,285.1261197656691,2408176.5,-9999,574629.1,39.55,-1,0.04406544074131714,0.9996477317032844,0,0.5997886390219707,4,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,-9999,C14 H23 O4 P1,14,23,4,-9999,1,-9999,-9999
8,291.087398,291.0873881686962,291.08741178077906,829534,-9999,687997.8,12.17,-1,-0.08111681209445686,0.9988067914783262,0,0.5992840748869956,8,1.0666666666666669,0.4,O6,de-protonated,0,-9999,C15 H16 O6,15,16,6,-9999,-9999,-9999,-9999
9,293.066642,293.06663244719914,293.0666763358891,951038.3,-9999,548829.1,14.24,-1,-0.1497566714423959,0.9959389079371748,0,0.5975633447623049,8,1,0.5,O7,de-protonated,0,-9999,C14 H14 O7,14,14,7,-9999,-9999,-9999,-9999
9,293.066642,293.06663244719914,293.06651414455905,951038.3,-9999,548829.1,14.24,-1,0.40367163896159625,0.970865626326746,0,0.5825193757960475,3,2.111111111111111,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,-9999,C9 H19 O1 N4 P1 S2,9,19,1,4,1,2,-9999
10,293.103107,293.10309745233025,293.1030618452391,1414529.3,-9999,624249.5,22.15,-1,0.1214831770271978,0.9973257330779676,0,0.5983954398467806,7,1.2,0.4,O6,de-protonated,0,-9999,C15 H18 O6,15,18,6,-9999,-9999,-9999,-9999
11,293.175805,293.1757954625597,293.1758328639391,3005447,-9999,580306.8,49.3,-1,-0.12757320086859536,0.9970512928615628,0,0.5982307757169377,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999
13,293.179197,293.17918746303695,293.17920416725906,1058183.4,-9999,539419.5,16.07,-1,-0.05697614928909083,0.9994111399166868,0,0.599646683950012,0,2.142857142857143,0.2857142857142857,S1 O4,de-protonated,0,-9999,C14 H30 O4 S1,14,30,4,-9999,-9999,1,-9999
14,295.082299,295.08228973082583,295.0823264003491,1204704.5,-9999,543506.1,18.56,-1,-0.12426878860361223,0.9972018587134772,0,0.5983211152280864,7,1.1428571428571428,0.5,O7,de-protonated,0,-9999,C14 H16 O7,14,16,7,-9999,-9999,-9999,-9999
14,295.082299,295.08228973082583,295.0821642090191,1204704.5,-9999,543506.1,18.56,-1,0.4253791722307616,0.96770046622382,0,0.5806202797342919,2,2.3333333333333335,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,-9999,C9 H21 O1 N4 P1 S2,9,21,1,4,1,2,-9999
15,295.118683,295.1186737359455,295.1187119096991,1311395.5,-9999,582741.6,20.39,-1,-0.12935050215343669,0.9969686855353688,0,0.5981812113212213,6,1.3333333333333333,0.4,O6,de-protonated,0,-9999,C15 H20 O6,15,20,6,-9999,-9999,-9999,-9999
16,297.061546,297.0615370093293,297.06159095545905,1010367.4,-9999,635213.7,15.16,-1,-0.1815991410400857,0.9940340078507784,0,0.5964204047104671,7,1.0769230769230769,0.6153846153846154,O8,de-protonated,0,-9999,C13 H14 O8,13,14,8,-9999,-9999,-9999,-9999
16,297.061546,297.0615370093293,297.06142876412906,1010367.4,-9999,635213.7,15.16,-1,0.3643865872732904,0.9761955848155344,0,0.5857173508893206,2,2.375,0.25,N4 S2 P1 O2,de-protonated,0,-9999,C8 H19 O2 N4 P1 S2,8,19,2,4,1,2,-9999
17,297.098003,297.09799401445923,297.0979764648091,1811778.4,-9999,552294.2,28.76,-1,0.05907024454714369,0.9993670726085916,0,0.5996202435651549,6,1.2857142857142858,0.5,O7,de-protonated,0,-9999,C14 H18 O7,14,18,7,-9999,-9999,-9999,-9999
18,297.152956,297.15294702219177,297.1529894187691,1225158.8,-9999,517974.9,18.8,-1,-0.14267592397737935,0.9963131675808106,0,0.5977879005484863,4,1.625,0.1875,S1 O3,de-protonated,0,-9999,C16 H26 O3 S1,16,26,3,-9999,-9999,1,-9999
19,299.077209,299.07720029295683,299.0772410199191,1283553.4,-9999,500384.5,19.79,-1,-0.13617539775117557,0.9966409173118967,0,0.597984550387138,6,1.2307692307692308,0.6153846153846154,O8,de-protonated,0,-9999,C13 H16 O8,13,16,8,-9999,-9999,-9999,-9999
20,305.066627,305.0666191357387,305.0666763358891,906311.8,-9999,551310.8,13.3,-1,-0.1875004871376131,0.9936412146657008,0,0.5961847287994205,9,0.9333333333333332,0.4666666666666667,O7,de-protonated,0,-9999,C15 H14 O7,15,14,7,-9999,-9999,-9999,-9999
20,305.066627,305.0666191357387,305.0665141445591,906311.8,-9999,551310.8,13.3,-1,0.34415832187736706,0.9787376198749332,0,0.5872425719249599,4,1.9,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H19 O1 N4 P1 S2,10,19,1,4,1,2,-9999
21,305.103076,305.1030681408675,305.1030618452391,1179082.9,-9999,658501.7,17.91,-1,0.02063443204213141,0.9999227458014858,0,0.5999536474808914,8,1.125,0.375,O6,de-protonated,0,-9999,C16 H18 O6,16,18,6,-9999,-9999,-9999,-9999
22,307.045876,307.0458684142424,307.0459408909991,887148.1,-9999,597619.7,12.9,-1,-0.2360453176692504,0.9899410851419276,0,0.5939646510851565,9,0.8571428571428571,0.5714285714285714,O8,de-protonated,0,-9999,C14 H12 O8,14,12,8,-9999,-9999,-9999,-9999
22,307.045876,307.0458684142424,307.0457786996691,887148.1,-9999,597619.7,12.9,-1,0.2921863108317933,0.9846285754268824,0,0.5907771452561295,4,1.8888888888888888,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H17 O2 N4 P1 S2,9,17,2,4,1,2,-9999
