Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
1,199.006646,199.00691988305775,199.0070534581991,766944.1,-9999,1323338.5,12.48,-1,-0.6712080754257101,0.9215057030114192,0,0.5529034218068515,5,1,0.5,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
2,199.006873,199.00714688259535,199.0070534581991,3875728,-9999,677397.2,71.08,-1,0.4694526885337237,0.9608002781199252,0,0.576480166871955,5,1,0.5,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
3,205.159639,205.15990034933205,205.15978887630908,975175.6,-9999,645246,16.25,-1,0.5433473273652749,0.9478410803002616,0,0.5687046481801569,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
4,209.085156,209.0854093530035,209.0853037804991,825141.8,-9999,848545.8,13.36,-1,0.5049255138617638,0.9547933955282214,0,0.5728760373169328,0,2.25,0.5,S1 O4,de-protonated,0,-9999,C8 H18 O4 S1,8,18,4,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
6,215.001796,215.0020373007319,215.00196807776908,2215636.8,-9999,625837.1,38.95,-1,0.32196432172367245,0.9813666316088548,0,0.5888199789653128,5,1,0.625,S1 O5,de-protonated,0,-9999,C8 H8 O5 S1,8,8,5,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
15,227.092324,227.0925406721711,227.09249716120908,807259.8,-9999,808468,12.73,-1,0.191600174387741,0.993361040905146,0,0.5960166245430877,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
16,233.15447,233.15467432350195,233.15470349587903,957538,-9999,850369.7,15.34,-1,-0.12512025995574216,0.997163437068044,0,0.5982980622408263,5,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,-9999,C15 H22 O2,15,22,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
17,235.061058,235.06125843975772,235.06119703228907,849896.9,-9999,572949.5,13.34,-1,0.2612403468750383,0.987693115636508,0,0.5926158693819048,7,1,0.4166666666666667,O5,de-protonated,0,-9999,C12 H12 O5,12,12,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
18,239.12874,239.12893215383724,239.12888267055905,4519649.5,-9999,609256,79.23,-1,0.20693141554893849,0.9922603628679636,0,0.5953562177207782,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
20,241.136323,241.13651106436492,241.13629052652908,5142582.5,-9999,554066,90.08,-1,0.9145775418640576,0.8591831805806539,0,0.5155099083483923,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
22,242.139728,242.13991402041603,242.13978170721907,825248.2,-9999,596841.1,12.78,-1,0.546433122323708,0.9472629004654788,0,0.5683577402792872,3,1.75,0.3333333333333333,N1 O4,de-protonated,0,-9999,C12 H21 O4 N1,12,21,4,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
24,242.176029,242.17621494647045,242.1761672165691,5100006.5,-9999,542838.3,89.32,-1,0.1970875247655944,0.9929766789399214,0,0.5957860073639528,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
27,243.160087,243.16027094193169,243.16018279947903,851019.8,-9999,796464.1,13.19,-1,0.3624871951105897,0.9764401635607538,0,0.5858640981364522,2,1.8461538461538465,0.3076923076923077,O4,de-protonated,0,-9999,C13 H24 O4,13,24,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
