Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
1,205.159756,205.15983018450476,205.15978887630908,1931866.3,-9999,676618.3,34.14,-1,0.20134645245417668,0.9926709879404004,0,0.5956025927642402,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,N/A,N/A,-9999
2,211.1339,211.13397410041347,211.13396805098907,1233767.1,-9999,679807.5,20.9,-1,0.02865206605776279,0.9998510524478712,0,0.5999106314687226,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,N/A,N/A,-9999
17,227.1288,227.12887387527124,227.12888267055905,913784.2,-9999,748912,14.7,-1,-0.03872377527869498,0.9997279491239196,0,0.5998367694743517,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
24,239.071462,239.07153570716775,239.07136779314908,890995.4,-9999,541975.3,14.06,-1,0.7023593843697947,0.9143789233844548,0,0.5486273540306729,10,0.8,0.2,O3,de-protonated,0,-9999,C15 H12 O3,15,12,3,-9999,-9999,-9999,-9999,N/A,N/A,-9999
26,239.074619,239.07469270712335,239.07473909646907,1300659.9,-9999,1013394.4,21.45,-1,-0.19403700229240128,0.9931916743401769,0,0.5959150046041061,5,1.3333333333333333,0.25,S1 O3,de-protonated,0,-9999,C12 H16 O3 S1,12,16,3,-9999,-9999,1,-9999,N/A,N/A,-9999
30,239.128832,239.12890570636023,239.12888267055905,4247228.5,-9999,694476.3,74.57,-1,0.09633215757479952,0.9983175939676684,0,0.598990556380601,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
32,241.136429,241.13650267810155,241.13629052652908,2205951,-9999,671351.3,37.63,-1,0.8797994362703577,0.8689672686040485,0,0.521380361162429,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,N/A,N/A,-9999
33,241.144515,241.14458867798777,241.14453273501908,1032448.3,-9999,584110.3,16.55,-1,0.23198937189844168,0.9902821273709744,0,0.5941692764225845,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
34,242.176118,242.17619166346705,242.1761672165691,3100069,-9999,692429.6,53.69,-1,0.10094675390270798,0.9981527014065243,0,0.5988916208439146,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,N/A,N/A,-9999
35,245.048884,245.04895762303033,245.0489182711491,927852.3,-9999,826838.3,14.61,-1,0.1605878594332632,0.9953316484879664,0,0.5971989890927798,4,1.4,0.5,S1 O5,de-protonated,0,-9999,C10 H14 O5 S1,10,14,5,-9999,-9999,1,-9999,N/A,N/A,-9999
36,249.149558,249.14963156530976,249.14961811544907,2859239.8,-9999,668921.8,48.99,-1,0.05398306764437755,0.9994713671684888,0,0.5996828203010932,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,N/A,N/A,-9999
