Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
2,199.006649,199.006571983594,199.0066733356791,1248832.9,-9999,745969.1,21.53,-1,-0.5092898815766739,0.95402684572933,0,0.572416107437598,10,0.5,0.1,N2 P1 O1,de-protonated,0,-9999,C10 H5 O1 N2 P1,10,5,1,2,1,-9999,-9999,-9999,-9999,-9999,-9999
3,199.007102,199.007024983939,199.0070534581991,10816801,-9999,646318.1,201.68,-1,-0.14308166266627734,0.980677840852914,0.9968656005775473,0.9871529447427672,5,1,0.5,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
4,200.010396,200.01031974804744,200.01040829326908,976094.6,-9999,1081854,16.35,-1,-0.4427030693016121,0.9650634740305538,0.9968656005775473,0.9777843246493512,5,1.1428571428571428,0.5714285714285714,13C1 S1 O4,de-protonated,1,3,C7 H8 O4 S1 13C1,7,8,4,-9999,-9999,1,1,-9999,-9999,-9999,-9999
7,205.159842,205.15976966986415,205.15978887630908,11816348,-9999,615562.9,218.66,-1,-0.09361700462369556,0.992956496751736,0.9995645881650146,0.9955997333170474,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,206.163161,206.16308943399167,206.1631437113791,1782416.1,-9999,721517.4,31.21,-1,-0.263273960820705,0.9875019720727656,0.9995645881650146,0.9923270185096652,4,1.6923076923076923,0.07692307692307693,13C1 O1,de-protonated,1,7,C13 H22 O1 13C1,13,22,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
9,211.13402,211.1339522197966,211.13396805098907,1183743.5,-9999,635761.5,19.94,-1,-0.07498174075283626,0.9989803682245666,0,0.59938822093474,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10,215.002003,215.00193816565147,215.00196807776908,3496596.3,-9999,658997.9,62.54,-1,-0.139124854896469,0.9964940891881702,0,0.5978964535129021,5,1,0.625,S1 O5,de-protonated,0,-9999,C8 H8 O5 S1,8,8,5,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
18,221.15483,221.1547698516429,221.15470349587903,829369.7,-9999,554185.2,13.22,-1,0.3000422906943604,0.983797706148798,0,0.5902786236892789,4,1.5714285714285714,0.14285714285714285,O2,de-protonated,0,-9999,C14 H22 O2,14,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
23,227.128961,227.12890540153953,227.12888267055905,886881.6,-9999,915012.1,14.17,-1,0.10007965613356974,0.9981842717181406,0,0.5989105630308843,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,227.20172,227.20166445695276,227.20165368925908,1081677.5,-9999,599985.5,17.71,-1,0.04739267301028506,0.9995925374092478,0,0.5997555224455486,1,2,0.14285714285714285,O2,de-protonated,0,-9999,C14 H28 O2,14,28,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
