Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S
70,244.997007,244.99686925525063,244.99689649798907,802218.8,-9999,711413.5,12.24,-1,-0.1111962592229742,0.9977589729688404,0,0.5986553837813041,6,1,0.8571428571428571,N2 P1 O6,de-protonated,0,-9999,C7 H7 O6 N2 P1,7,7,6,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
86,255.047637,255.04751438077847,255.0474927767791,873612.3,-9999,656690.7,13.31,-1,0.08470578997761377,0.9986989399325285,0,0.599219363959517,6,1.4444444444444444,0.1111111111111111,N4 S1 P1 O1,de-protonated,0,-9999,C9 H13 O1 N4 P1 S1,9,13,1,4,1,1,-9999,-9999,-9999,-9999,-9999,-9999
107,263.052875,263.0527644281277,263.0529582797291,830407.7,-9999,665807.2,12.4,-1,-0.7369299424610066,0.9061607457414852,0,0.5436964474448912,3,1.7777777777777777,0.3333333333333333,N2 S2 O3,de-protonated,0,-9999,C9 H16 O3 N2 S2,9,16,3,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999
111,265.068513,265.06840546152847,265.06860834418904,1310782.3,-9999,781324.2,20.6,-1,-0.765396784783872,0.8991562188650916,0,0.5394937313190549,2,2,0.3333333333333333,N2 S2 O3,de-protonated,0,-9999,C9 H18 O3 N2 S2,9,18,3,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999
112,265.104911,265.1048035163051,265.1049938535391,942594.6,-9999,509684.6,14.25,-1,-0.7179692515403112,0.910707835243935,0,0.546424701146361,1,2.2,0.2,N2 S2 O2,de-protonated,0,-9999,C10 H22 O2 N2 S2,10,22,2,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999
113,265.144675,265.1445675761472,265.1445327350191,10606407,-9999,616683,180.79,-1,0.13140428643645544,0.9975361942315296,0.9797188395084584,0.9904092523423011,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
114,266.14802,266.1479140861145,266.1478875700891,1436862.4,-9999,652862.9,22.77,-1,0.09962891549641371,0.9982005756186776,0.9797188395084584,0.99080788117459,5,1.5714285714285714,0.2857142857142857,13C1 O4,de-protonated,1,113,C14 H22 O4 13C1,14,22,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
118,267.047779,267.04767444019177,267.0478728992991,889127.3,-9999,647894.3,13.33,-1,-0.7431592888383806,0.9046460471371744,0,0.5427876282823045,2,2,0.5,N2 S2 O4,de-protonated,0,-9999,C8 H16 O4 N2 S2,8,16,4,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999
118,267.047779,267.04767444019177,267.04749277677905,889127.3,-9999,647894.3,13.33,-1,0.680266310794126,0.9194610434007356,0,0.5516766260404413,7,1.3,0.1,N4 S1 P1 O1,de-protonated,0,-9999,C10 H13 O1 N4 P1 S1,10,13,1,4,1,1,-9999,-9999,-9999,-9999,-9999,-9999
119,267.08419,267.0840854949879,267.0842584086491,1584555.5,-9999,580960.7,25.31,-1,-0.6474124016315846,0.9267671666152664,0,0.5560602999691598,1,2.2222222222222223,0.3333333333333333,N2 S2 O3,de-protonated,0,-9999,C9 H20 O3 N2 S2,9,20,3,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999
