# HeaderRows_10
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; Pipe_Kit_02; Eureka Manta+ 35B real time clock.
# Temperature; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Specific_Conductance; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Turbidity; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# pH; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# Chlorophyll_A; micrograms_per_liter; Pipe_Kit_03; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Battery; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.
"DateTime","Parent_ID","Site_ID","Temperature","Specific_Conductance","Turbidity","pH","Chlorophyll_A","Battery"
" 2022-08-08 11:06:00","SSS002","S30R",20.3,95.2,0,8.41,0.75,8.86
" 2022-08-08 11:07:00","SSS002","S30R",20.32,95.2,0,8.4,0.73,8.79
" 2022-08-08 11:08:00","SSS002","S30R",20.34,95.2,0,8.4,0.8,8.83
" 2022-08-08 11:09:00","SSS002","S30R",20.37,95.2,0,8.4,0.73,8.79
" 2022-08-08 11:10:00","SSS002","S30R",20.39,95.2,0,8.39,0.75,8.83
" 2022-08-08 11:11:00","SSS002","S30R",20.41,95.2,0,8.39,0.72,8.79
" 2022-08-08 11:12:00","SSS002","S30R",20.41,95.2,0,8.39,0.74,8.83
" 2022-08-08 11:13:00","SSS002","S30R",20.44,95.2,0,8.4,0.73,8.83
" 2022-08-08 11:14:00","SSS002","S30R",20.46,95.2,0,8.4,0.82,8.84
" 2022-08-08 11:15:00","SSS002","S30R",20.48,95.2,0,8.4,0.78,8.83
" 2022-08-08 11:16:00","SSS002","S30R",20.51,95.2,0.71,8.41,1.28,8.84
" 2022-08-08 11:17:00","SSS002","S30R",20.53,95.2,1.19,8.41,1.72,8.81
