# HeaderRows_9
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; Pipe_Kit_02; Eureka Manta+ 35B real time clock.
# Temperature; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Specific_Conductance; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Turbidity; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Chlorophyll_A; micrograms_per_liter; Pipe_Kit_03; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Battery; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.
"DateTime","Parent_ID","Site_ID","Temperature","Specific_Conductance","Turbidity","Chlorophyll_A","Battery"
" 2022-08-10 09:55:00","SSS032","C21",5.95,65.5,0,0.05,8.29
" 2022-08-10 09:56:00","SSS032","C21",5.97,65.5,0,0.04,8.28
" 2022-08-10 09:57:00","SSS032","C21",5.97,65.5,0,0.05,8.26
" 2022-08-10 09:58:00","SSS032","C21",5.98,65.5,0,0.05,8.33
" 2022-08-10 09:59:00","SSS032","C21",5.99,65.5,0,0.05,8.28
" 2022-08-10 10:00:00","SSS032","C21",6,65.5,0,0.04,8.26
" 2022-08-10 10:01:00","SSS032","C21",6,65.5,0,0.05,8.29
" 2022-08-10 10:02:00","SSS032","C21",6.01,65.5,0,0.05,8.29
" 2022-08-10 10:03:00","SSS032","C21",6.03,65.5,0,0.05,8.33
" 2022-08-10 10:04:00","SSS032","C21",6.03,65.5,0,0.07,8.24
" 2022-08-10 10:05:00","SSS032","C21",6.04,65.5,0,0.13,8.31
" 2022-08-10 10:06:00","SSS032","C21",6.05,65.5,0,0.15,8.31
" 2022-08-10 10:07:00","SSS032","C21",6.07,65.4,0,0.35,8.28
" 2022-08-10 10:08:00","SSS032","C21",6.08,65.5,0,0.59,8.26
" 2022-08-10 10:09:00","SSS032","C21",6.08,65.5,0,0.36,8.28
" 2022-08-10 10:10:00","SSS032","C21",6.1,65.4,0,0.17,8.26
" 2022-08-10 10:11:00","SSS032","C21",6.11,65.4,0,0.07,8.23
" 2022-08-10 10:12:00","SSS032","C21",6.11,65.5,0,0.06,8.28
" 2022-08-10 10:13:00","SSS032","C21",6.12,65.5,0,0.07,8.26
" 2022-08-10 10:14:00","SSS032","C21",6.13,65.4,0,0.08,8.26
" 2022-08-10 10:15:00","SSS032","C21",6.14,65.5,0,0.11,8.24
" 2022-08-10 10:16:00","SSS032","C21",6.15,65.4,0,0.16,8.23
" 2022-08-10 10:17:00","SSS032","C21",6.16,65.4,0,0.17,8.31
" 2022-08-10 10:18:00","SSS032","C21",6.17,65.4,0,0.1,8.24
" 2022-08-10 10:19:00","SSS032","C21",6.18,65.4,0,0.12,8.23
" 2022-08-10 10:20:00","SSS032","C21",6.19,65.5,0,0.07,8.23
" 2022-08-10 10:21:00","SSS032","C21",6.2,65.5,0,0.07,8.16
" 2022-08-10 10:22:00","SSS032","C21",6.21,65.4,0,0.07,8.24
" 2022-08-10 10:23:00","SSS032","C21",6.21,65.4,0,0.08,8.23
" 2022-08-10 10:24:00","SSS032","C21",6.22,65.4,0,0.07,8.24
" 2022-08-10 10:25:00","SSS032","C21",6.23,65.4,0,0.07,8.23
" 2022-08-10 10:26:00","SSS032","C21",6.24,65.4,0,0.05,8.23
" 2022-08-10 10:27:00","SSS032","C21",6.25,65.4,0,0.06,8.23
" 2022-08-10 10:28:00","SSS032","C21",6.26,65.4,0,0.06,8.21
" 2022-08-10 10:29:00","SSS032","C21",6.27,65.4,0,0.07,8.26
" 2022-08-10 10:30:00","SSS032","C21",6.29,65.4,0,0.1,8.21
" 2022-08-10 10:31:00","SSS032","C21",6.29,65.4,0,0.09,8.24
" 2022-08-10 10:32:00","SSS032","C21",6.3,65.4,0,0.09,8.26
" 2022-08-10 10:33:00","SSS032","C21",6.31,65.4,0,0.21,8.26
" 2022-08-10 10:34:00","SSS032","C21",6.33,65.4,0,0.55,8.23
" 2022-08-10 10:35:00","SSS032","C21",6.34,65.4,0,0.49,8.26
" 2022-08-10 10:36:00","SSS032","C21",6.35,65.4,0,0.53,8.26
" 2022-08-10 10:37:00","SSS032","C21",6.36,65.4,0,0.4,8.21
" 2022-08-10 10:38:00","SSS032","C21",6.37,65.3,0,0.38,8.26
" 2022-08-10 10:39:00","SSS032","C21",6.38,65.3,0,0.28,8.13
" 2022-08-10 10:40:00","SSS032","C21",6.39,65.4,0,0.41,8.23
" 2022-08-10 10:41:00","SSS032","C21",6.4,65.3,0,0.6,8.16
" 2022-08-10 10:42:00","SSS032","C21",6.41,65.3,0,0.55,8.21
" 2022-08-10 10:43:00","SSS032","C21",6.41,65.4,0,0.24,8.23
" 2022-08-10 10:44:00","SSS032","C21",6.43,65.4,0,0.64,8.18
" 2022-08-10 10:45:00","SSS032","C21",6.44,65.3,0,0.55,8.18
" 2022-08-10 10:46:00","SSS032","C21",6.44,65.4,0,0.07,8.23
" 2022-08-10 10:47:00","SSS032","C21",6.44,65.3,0,0.42,8.16
" 2022-08-10 10:48:00","SSS032","C21",6.45,65.3,0,0.45,8.13
" 2022-08-10 10:49:00","SSS032","C21",6.45,65.3,0,0.07,8.19
" 2022-08-10 10:50:00","SSS032","C21",6.45,65.4,0,0.07,8.19
" 2022-08-10 10:51:00","SSS032","C21",6.45,65.3,0,0.1,8.21
" 2022-08-10 10:52:00","SSS032","C21",6.47,65.3,0,0.41,8.21
" 2022-08-10 10:53:00","SSS032","C21",6.48,65.3,0,0.21,8.18
" 2022-08-10 10:54:00","SSS032","C21",6.48,65.4,0,0.06,8.16
" 2022-08-10 10:55:00","SSS032","C21",6.49,65.4,0,0.42,8.24
" 2022-08-10 10:56:00","SSS032","C21",6.5,65.3,0,0.36,8.19
" 2022-08-10 10:57:00","SSS032","C21",6.51,65.3,0,0.33,8.19
" 2022-08-10 10:58:00","SSS032","C21",6.51,65.3,0,0.35,8.19
" 2022-08-10 10:59:00","SSS032","C21",6.52,65.2,0,0.18,8.23
" 2022-08-10 11:00:00","SSS032","C21",6.53,65.3,0,0.3,8.19
" 2022-08-10 11:01:00","SSS032","C21",6.54,65.3,0,0.3,8.14
" 2022-08-10 11:02:00","SSS032","C21",6.55,65.3,0,0.29,8.18
" 2022-08-10 11:03:00","SSS032","C21",6.56,65.3,0,0.28,8.18
" 2022-08-10 11:04:00","SSS032","C21",6.57,65.3,0,0.27,8.13
" 2022-08-10 11:05:00","SSS032","C21",6.58,65.3,0,0.27,8.19
" 2022-08-10 11:06:00","SSS032","C21",6.58,65.3,0,0.27,8.18
" 2022-08-10 11:07:00","SSS032","C21",6.59,65.3,0,0.26,8.19
" 2022-08-10 11:08:00","SSS032","C21",6.6,65.3,0,0.26,8.19
" 2022-08-10 11:09:00","SSS032","C21",6.61,65.3,0,0.25,8.13
" 2022-08-10 11:10:00","SSS032","C21",6.61,65.3,0,0.26,8.23
" 2022-08-10 11:11:00","SSS032","C21",6.62,65.1,2.71,2.41,8.21
" 2022-08-10 11:12:00","SSS032","C21",6.63,65.3,0,0.15,8.14
" 2022-08-10 11:13:00","SSS032","C21",6.64,65.3,0,0.18,8.19
" 2022-08-10 11:14:00","SSS032","C21",6.65,65.3,0.97,0.15,8.19
" 2022-08-10 11:15:00","SSS032","C21",6.65,65.3,0,0.15,8.21
" 2022-08-10 11:16:00","SSS032","C21",6.65,65.3,0,0.18,8.18
" 2022-08-10 11:17:00","SSS032","C21",6.66,65.3,0,0.19,8.19
" 2022-08-10 11:18:00","SSS032","C21",6.66,65.3,0,0.19,8.18
" 2022-08-10 11:19:00","SSS032","C21",6.68,65.3,0,0.2,8.18
" 2022-08-10 11:20:00","SSS032","C21",6.68,65.3,0,0.21,8.13
" 2022-08-10 11:21:00","SSS032","C21",6.69,65.3,0,0.19,8.13
" 2022-08-10 11:22:00","SSS032","C21",6.69,65.3,0,0.19,8.13
" 2022-08-10 11:23:00","SSS032","C21",6.7,65.3,0,0.19,8.19
" 2022-08-10 11:24:00","SSS032","C21",6.71,65.3,0,0.22,8.16
" 2022-08-10 11:25:00","SSS032","C21",6.72,65.3,0,0.18,8.16
" 2022-08-10 11:26:00","SSS032","C21",6.72,65.3,0,0.2,8.09
" 2022-08-10 11:27:00","SSS032","C21",6.73,65.3,0,0.19,8.16
" 2022-08-10 11:28:00","SSS032","C21",6.74,65.3,0,0.15,8.16
" 2022-08-10 11:29:00","SSS032","C21",6.75,65.3,0,0.21,8.13
" 2022-08-10 11:30:00","SSS032","C21",6.76,65.3,0,0.22,8.19
" 2022-08-10 11:31:00","SSS032","C21",6.76,65.3,0,0.19,8.13
" 2022-08-10 11:32:00","SSS032","C21",6.77,65.3,0,0.21,8.09
" 2022-08-10 11:33:00","SSS032","C21",6.78,65.3,0,0.23,8.11
" 2022-08-10 11:34:00","SSS032","C21",6.79,65.2,0,0.21,8.18
" 2022-08-10 11:35:00","SSS032","C21",6.8,65.3,0,0.18,8.14
" 2022-08-10 11:36:00","SSS032","C21",6.8,65.3,0,0.14,8.18
" 2022-08-10 11:37:00","SSS032","C21",6.81,65.3,0,0.11,8.11
" 2022-08-10 11:38:00","SSS032","C21",6.82,65.3,0,0.21,8.03
" 2022-08-10 11:39:00","SSS032","C21",6.83,65.3,0,0.12,8.13
" 2022-08-10 11:40:00","SSS032","C21",6.83,65.3,0,0.24,8.14
" 2022-08-10 11:41:00","SSS032","C21",6.84,65.3,0,0.24,8.18
" 2022-08-10 11:42:00","SSS032","C21",6.85,65.3,0,0.13,8.13
" 2022-08-10 11:43:00","SSS032","C21",6.85,65.3,0,0.1,8.09
" 2022-08-10 11:44:00","SSS032","C21",6.86,65.2,0,0.06,8.08
