# HeaderRows_8,,,,,,
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary,,,,,,
# DateTime; YYYY-MM-DDhh:mm:ss; Minidot_03; PME miniDOT Logger real time clock,,,,,,
# Battery; volts; Minidot_03; PME miniDOT Logger internal batteries,,,,,,
# Temperature; degree_celsius; Minidot_03; PME miniDOT Logger with temperature sensor,,,,,,
# Dissolved_Oxygen; milligrams_per_liter; Minidot_03; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching),,,,,,
# Dissolved_Oxygen_Saturation; percent_saturation; Minidot_03; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching),,,,,,
DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation
 2022-07-26 00:00:00,SSS001,S63,3.49,17.51,8.435,88.2
 2022-07-26 00:01:00,SSS001,S63,3.49,17.49,8.441,88.23
 2022-07-26 00:02:00,SSS001,S63,3.49,17.49,8.444,88.26
 2022-07-26 00:03:00,SSS001,S63,3.49,17.48,8.436,88.16
 2022-07-26 00:04:00,SSS001,S63,3.49,17.46,8.434,88.09
 2022-07-26 00:05:00,SSS001,S63,3.49,17.46,8.438,88.15
 2022-07-26 00:06:00,SSS001,S63,3.49,17.45,8.445,88.19
 2022-07-26 00:07:00,SSS001,S63,3.49,17.44,8.458,88.31
 2022-07-26 00:08:00,SSS001,S63,3.49,17.41,8.459,88.28
 2022-07-26 00:09:00,SSS001,S63,3.49,17.41,8.449,88.17
 2022-07-26 00:10:00,SSS001,S63,3.49,17.42,8.446,88.16
 2022-07-26 00:11:00,SSS001,S63,3.49,17.4,8.463,88.29
 2022-07-26 00:12:00,SSS001,S63,3.49,17.39,8.46,88.24
 2022-07-26 00:13:00,SSS001,S63,3.49,17.39,8.461,88.25
 2022-07-26 00:14:00,SSS001,S63,3.49,17.38,8.462,88.25
 2022-07-26 00:15:00,SSS001,S63,3.49,17.37,8.47,88.32
 2022-07-26 00:16:00,SSS001,S63,3.49,17.36,8.463,88.23
 2022-07-26 00:17:00,SSS001,S63,3.49,17.36,8.462,88.22
 2022-07-26 00:18:00,SSS001,S63,3.49,17.34,8.467,88.22
 2022-07-26 00:19:00,SSS001,S63,3.49,17.34,8.466,88.21
 2022-07-26 00:20:00,SSS001,S63,3.49,17.32,8.473,88.25
 2022-07-26 00:21:00,SSS001,S63,3.49,17.29,8.476,88.22
 2022-07-26 00:22:00,SSS001,S63,3.49,17.29,8.477,88.23
 2022-07-26 00:23:00,SSS001,S63,3.49,17.3,8.481,88.29
 2022-07-26 00:24:00,SSS001,S63,3.49,17.3,8.475,88.23
 2022-07-26 00:25:00,SSS001,S63,3.49,17.27,8.477,88.2
 2022-07-26 00:26:00,SSS001,S63,3.49,17.27,8.478,88.21
 2022-07-26 00:27:00,SSS001,S63,3.49,17.24,8.488,88.26
 2022-07-26 00:28:00,SSS001,S63,3.49,17.25,8.487,88.28
 2022-07-26 00:29:00,SSS001,S63,3.49,17.24,8.485,88.22
 2022-07-26 00:30:00,SSS001,S63,3.49,17.22,8.483,88.17
 2022-07-26 00:31:00,SSS001,S63,3.49,17.21,8.479,88.12
 2022-07-26 00:32:00,SSS001,S63,3.49,17.21,8.49,88.23
 2022-07-26 00:33:00,SSS001,S63,3.49,17.18,8.496,88.25
 2022-07-26 00:34:00,SSS001,S63,3.49,17.19,8.492,88.22
 2022-07-26 00:35:00,SSS001,S63,3.49,17.19,8.49,88.2
 2022-07-26 00:36:00,SSS001,S63,3.49,17.16,8.493,88.17
 2022-07-26 00:37:00,SSS001,S63,3.49,17.16,8.492,88.16
 2022-07-26 00:38:00,SSS001,S63,3.49,17.17,8.49,88.15
 2022-07-26 00:39:00,SSS001,S63,3.49,17.13,8.496,88.14
 2022-07-26 00:40:00,SSS001,S63,3.49,17.14,8.501,88.22
 2022-07-26 00:41:00,SSS001,S63,3.49,17.12,8.5,88.16
 2022-07-26 00:42:00,SSS001,S63,3.49,17.12,8.503,88.2
 2022-07-26 00:43:00,SSS001,S63,3.49,17.09,8.506,88.18
 2022-07-26 00:44:00,SSS001,S63,3.49,17.08,8.525,88.35
 2022-07-26 00:45:00,SSS001,S63,3.49,17.08,8.508,88.19
 2022-07-26 00:46:00,SSS001,S63,3.49,17.07,8.525,88.33
 2022-07-26 00:47:00,SSS001,S63,3.49,17.06,8.519,88.25
 2022-07-26 00:48:00,SSS001,S63,3.49,17.04,8.527,88.3
 2022-07-26 00:49:00,SSS001,S63,3.49,17.06,8.514,88.2
 2022-07-26 00:50:00,SSS001,S63,3.49,17.01,8.533,88.3
 2022-07-26 00:51:00,SSS001,S63,3.49,17.03,8.519,88.21
 2022-07-26 00:52:00,SSS001,S63,3.49,17.02,8.521,88.21
