# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DDhh:mm:ss; Minidot_03; PME miniDOT Logger real time clock
# Battery; volts; Minidot_03; PME miniDOT Logger internal batteries
# Temperature; degree_celsius; Minidot_03; PME miniDOT Logger with temperature sensor
# Dissolved_Oxygen; milligrams_per_liter; Minidot_03; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching)
# Dissolved_Oxygen_Saturation; percent_saturation; Minidot_03; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching)
DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation
 2022-07-29 00:00:00,SSS034,S18R,3.47,16.73,8.691,89.41
 2022-07-29 00:01:00,SSS034,S18R,3.47,16.74,8.683,89.34
 2022-07-29 00:02:00,SSS034,S18R,3.47,16.7,8.696,89.42
 2022-07-29 00:03:00,SSS034,S18R,3.47,16.71,8.698,89.45
 2022-07-29 00:04:00,SSS034,S18R,3.47,16.71,8.703,89.5
 2022-07-29 00:05:00,SSS034,S18R,3.47,16.71,8.699,89.46
 2022-07-29 00:06:00,SSS034,S18R,3.47,16.71,8.696,89.43
 2022-07-29 00:07:00,SSS034,S18R,3.47,16.69,8.693,89.37
 2022-07-29 00:08:00,SSS034,S18R,3.47,16.7,8.7,89.46
 2022-07-29 00:09:00,SSS034,S18R,3.47,16.68,8.709,89.5
 2022-07-29 00:10:00,SSS034,S18R,3.47,16.69,8.703,89.47
 2022-07-29 00:11:00,SSS034,S18R,3.47,16.7,8.692,89.37
 2022-07-29 00:12:00,SSS034,S18R,3.47,16.7,8.695,89.4
 2022-07-29 00:13:00,SSS034,S18R,3.47,16.68,8.712,89.54
 2022-07-29 00:14:00,SSS034,S18R,3.47,16.68,8.695,89.36
 2022-07-29 00:15:00,SSS034,S18R,3.47,16.68,8.701,89.42
 2022-07-29 00:16:00,SSS034,S18R,3.47,16.68,8.694,89.35
 2022-07-29 00:17:00,SSS034,S18R,3.47,16.67,8.711,89.51
 2022-07-29 00:18:00,SSS034,S18R,3.47,16.66,8.704,89.42
 2022-07-29 00:19:00,SSS034,S18R,3.47,16.66,8.702,89.4
 2022-07-29 00:20:00,SSS034,S18R,3.47,16.66,8.709,89.47
 2022-07-29 00:21:00,SSS034,S18R,3.47,16.66,8.711,89.49
 2022-07-29 00:22:00,SSS034,S18R,3.47,16.64,8.711,89.46
 2022-07-29 00:23:00,SSS034,S18R,3.47,16.64,8.718,89.53
 2022-07-29 00:24:00,SSS034,S18R,3.47,16.62,8.71,89.42
 2022-07-29 00:25:00,SSS034,S18R,3.47,16.63,8.706,89.39
