# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DDhh:mm:ss; Minidot_04; PME miniDOT Logger real time clock
# Battery; volts; Minidot_04; PME miniDOT Logger internal batteries
# Temperature; degree_celsius; Minidot_04; PME miniDOT Logger with temperature sensor
# Dissolved_Oxygen; milligrams_per_liter; Minidot_04; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching)
# Dissolved_Oxygen_Saturation; percent_saturation; Minidot_04; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching)
DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation
 2022-07-27,SSS006,S56N,3.51,22.24,7.428,85.34
 2022-07-27 00:01:00,SSS006,S56N,3.51,22.23,7.43,85.35
 2022-07-27 00:02:00,SSS006,S56N,3.51,22.22,7.438,85.42
 2022-07-27 00:03:00,SSS006,S56N,3.51,22.21,7.441,85.44
 2022-07-27 00:04:00,SSS006,S56N,3.51,22.2,7.437,85.38
 2022-07-27 00:05:00,SSS006,S56N,3.51,22.19,7.44,85.4
 2022-07-27 00:06:00,SSS006,S56N,3.51,22.17,7.451,85.49
 2022-07-27 00:07:00,SSS006,S56N,3.51,22.17,7.448,85.47
 2022-07-27 00:08:00,SSS006,S56N,3.51,22.16,7.459,85.56
 2022-07-27 00:09:00,SSS006,S56N,3.51,22.16,7.458,85.55
 2022-07-27 00:10:00,SSS006,S56N,3.51,22.13,7.465,85.59
 2022-07-27 00:11:00,SSS006,S56N,3.51,22.12,7.465,85.58
 2022-07-27 00:12:00,SSS006,S56N,3.51,22.12,7.468,85.6
 2022-07-27 00:13:00,SSS006,S56N,3.51,22.12,7.477,85.71
 2022-07-27 00:14:00,SSS006,S56N,3.51,22.11,7.475,85.67
 2022-07-27 00:15:00,SSS006,S56N,3.51,22.07,7.483,85.7
 2022-07-27 00:16:00,SSS006,S56N,3.51,22.09,7.478,85.68
 2022-07-27 00:17:00,SSS006,S56N,3.51,22.07,7.483,85.68
 2022-07-27 00:18:00,SSS006,S56N,3.51,22.06,7.483,85.67
 2022-07-27 00:19:00,SSS006,S56N,3.51,22.06,7.487,85.72
 2022-07-27 00:20:00,SSS006,S56N,3.51,22.06,7.487,85.72
 2022-07-27 00:21:00,SSS006,S56N,3.51,22.05,7.489,85.73
 2022-07-27 00:22:00,SSS006,S56N,3.51,22.02,7.5,85.8
 2022-07-27 00:23:00,SSS006,S56N,3.51,22.02,7.496,85.76
 2022-07-27 00:24:00,SSS006,S56N,3.51,22.01,7.503,85.83
 2022-07-27 00:25:00,SSS006,S56N,3.51,21.99,7.508,85.85
 2022-07-27 00:26:00,SSS006,S56N,3.51,22.01,7.5,85.79
 2022-07-27 00:27:00,SSS006,S56N,3.51,21.99,7.5,85.76
 2022-07-27 00:28:00,SSS006,S56N,3.51,21.98,7.509,85.84
 2022-07-27 00:29:00,SSS006,S56N,3.51,21.97,7.509,85.83
 2022-07-27 00:30:00,SSS006,S56N,3.51,21.96,7.511,85.84
 2022-07-27 00:31:00,SSS006,S56N,3.51,21.96,7.516,85.89
 2022-07-27 00:32:00,SSS006,S56N,3.51,21.95,7.517,85.88
 2022-07-27 00:33:00,SSS006,S56N,3.51,21.93,7.516,85.84
 2022-07-27 00:34:00,SSS006,S56N,3.51,21.93,7.527,85.97
 2022-07-27 00:35:00,SSS006,S56N,3.51,21.91,7.529,85.96
 2022-07-27 00:36:00,SSS006,S56N,3.51,21.91,7.515,85.79
 2022-07-27 00:37:00,SSS006,S56N,3.51,21.91,7.526,85.94
 2022-07-27 00:38:00,SSS006,S56N,3.51,21.89,7.523,85.86
 2022-07-27 00:39:00,SSS006,S56N,3.51,21.89,7.52,85.82
 2022-07-27 00:40:00,SSS006,S56N,3.51,21.88,7.528,85.9
 2022-07-27 00:41:00,SSS006,S56N,3.51,21.86,7.526,85.85
 2022-07-27 00:42:00,SSS006,S56N,3.51,21.86,7.535,85.95
 2022-07-27 00:43:00,SSS006,S56N,3.51,21.83,7.537,85.91
 2022-07-27 00:44:00,SSS006,S56N,3.51,21.82,7.537,85.9
 2022-07-27 00:45:00,SSS006,S56N,3.51,21.83,7.544,86
