# HeaderRows_6
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS real time clock.
# Pressure; millibars; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor.
# Air_Temperature; degree_celsius; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with silicon thermistor.
DateTime,Parent_ID,Site_ID,Pressure,Air_Temperature
 2022-07-28 00:00:00,SSS033,S48R,914.246,16.84
 2022-07-28 00:01:00,SSS033,S48R,914.234,16.79
 2022-07-28 00:02:00,SSS033,S48R,914.057,16.79
 2022-07-28 00:03:00,SSS033,S48R,914.45,16.68
 2022-07-28 00:04:00,SSS033,S48R,914.413,16.79
 2022-07-28 00:05:00,SSS033,S48R,914.045,16.73
 2022-07-28 00:06:00,SSS033,S48R,914.45,16.68
 2022-07-28 00:07:00,SSS033,S48R,913.845,16.63
 2022-07-28 00:08:00,SSS033,S48R,913.974,16.68
 2022-07-28 00:09:00,SSS033,S48R,913.964,16.63
 2022-07-28 00:10:00,SSS033,S48R,914.201,16.63
 2022-07-28 00:11:00,SSS033,S48R,914.189,16.58
 2022-07-28 00:12:00,SSS033,S48R,914.308,16.58
 2022-07-28 00:13:00,SSS033,S48R,914.237,16.52
 2022-07-28 00:14:00,SSS033,S48R,914.416,16.52
 2022-07-28 00:15:00,SSS033,S48R,913.881,16.52
 2022-07-28 00:16:00,SSS033,S48R,914.285,16.47
 2022-07-28 00:17:00,SSS033,S48R,914.333,16.42
 2022-07-28 00:18:00,SSS033,S48R,914.096,16.42
 2022-07-28 00:19:00,SSS033,S48R,914.214,16.42
 2022-07-28 00:20:00,SSS033,S48R,914.084,16.37
 2022-07-28 00:21:00,SSS033,S48R,914.429,16.31
 2022-07-28 00:22:00,SSS033,S48R,914.202,16.37
 2022-07-28 00:23:00,SSS033,S48R,914.321,16.37
 2022-07-28 00:24:00,SSS033,S48R,914.298,16.26
 2022-07-28 00:25:00,SSS033,S48R,914.18,16.26
 2022-07-28 00:26:00,SSS033,S48R,914.18,16.26
 2022-07-28 00:27:00,SSS033,S48R,913.93,16.21
