# HeaderRows_9
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; Pipe_Kit_02; Eureka Manta+ 35B real time clock..
# Temperature; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Specific_Conductance; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Turbidity; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Chlorophyll_A; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Battery; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.
DateTime,Parent_ID,Site_ID,Temperature,Specific_Conductance,Turbidity,Chlorophyll_A,Battery,Outlier
 2022-08-09 08:29:00,SSS040,S54,11.81,67.5,4.31,0,8.39,N/A
 2022-08-09 08:30:00,SSS040,S54,11.81,67.6,4.45,0.02,8.41,Chlorophyll_A
 2022-08-09 08:31:00,SSS040,S54,11.81,67.5,4.02,0.02,8.43,Turbidity; Chlorophyll_A
 2022-08-09 08:32:00,SSS040,S54,11.81,67.5,4.4,0,8.36,N/A
 2022-08-09 08:33:00,SSS040,S54,11.82,67.5,4.54,0,8.38,N/A
 2022-08-09 08:34:00,SSS040,S54,11.82,67.5,4.77,0,8.38,N/A
 2022-08-09 08:35:00,SSS040,S54,11.83,67.5,4.68,0,8.43,N/A
 2022-08-09 08:36:00,SSS040,S54,11.83,67.5,4.25,0.01,8.34,N/A
 2022-08-09 08:37:00,SSS040,S54,11.83,67.5,4.2,0.01,8.34,N/A
 2022-08-09 08:38:00,SSS040,S54,11.83,67.5,4.33,0,8.38,N/A
 2022-08-09 08:39:00,SSS040,S54,11.84,67.5,5.01,0,8.34,N/A
 2022-08-09 08:40:00,SSS040,S54,11.83,67.5,4.1,0,8.43,Turbidity
 2022-08-09 08:41:00,SSS040,S54,11.84,67.5,6.28,0,8.39,Turbidity
 2022-08-09 08:42:00,SSS040,S54,11.84,67.5,6.23,0,8.34,Turbidity
 2022-08-09 08:43:00,SSS040,S54,11.84,67.5,6.07,0.01,8.34,Turbidity
 2022-08-09 08:44:00,SSS040,S54,11.84,67.5,5.9,0,8.34,Turbidity
 2022-08-09 08:45:00,SSS040,S54,11.85,67.5,5.82,0.02,8.36,Chlorophyll_A
 2022-08-09 08:46:00,SSS040,S54,11.85,67.5,5.78,0.01,8.38,N/A
 2022-08-09 08:47:00,SSS040,S54,11.85,67.5,5.42,0,8.39,N/A
 2022-08-09 08:48:00,SSS040,S54,11.86,67.5,5.63,0.02,8.36,Chlorophyll_A
 2022-08-09 08:49:00,SSS040,S54,11.86,67.5,5.13,0.03,8.34,Chlorophyll_A
 2022-08-09 08:50:00,SSS040,S54,11.86,67.5,5.19,0.03,8.39,Chlorophyll_A
 2022-08-09 08:51:00,SSS040,S54,11.86,67.5,4.93,0.04,8.36,Chlorophyll_A
 2022-08-09 08:52:00,SSS040,S54,11.86,67.5,4.95,0.01,8.36,N/A
 2022-08-09 08:53:00,SSS040,S54,11.86,67.5,5.22,0.05,8.36,Chlorophyll_A
 2022-08-09 08:54:00,SSS040,S54,11.87,67.5,4.82,0.02,8.36,Chlorophyll_A
 2022-08-09 08:55:00,SSS040,S54,11.87,67.5,5.01,0,8.36,N/A
 2022-08-09 08:56:00,SSS040,S54,11.87,67.5,4.9,0.01,8.34,N/A
 2022-08-09 08:57:00,SSS040,S54,11.88,67.5,4.81,0.01,8.34,N/A
 2022-08-09 08:58:00,SSS040,S54,11.88,67.5,4.81,0.01,8.33,N/A
 2022-08-09 08:59:00,SSS040,S54,11.88,67.5,5.14,0.05,8.33,Chlorophyll_A
 2022-08-09 09:00:00,SSS040,S54,11.88,67.5,4.89,0,8.36,N/A
 2022-08-09 09:01:00,SSS040,S54,11.88,67.5,5.25,0.01,8.36,N/A
 2022-08-09 09:02:00,SSS040,S54,11.88,67.5,5.41,0.02,8.29,Chlorophyll_A
 2022-08-09 09:03:00,SSS040,S54,11.89,67.5,5.31,0,8.34,N/A
 2022-08-09 09:04:00,SSS040,S54,11.89,67.5,5.17,0,8.38,N/A
 2022-08-09 09:05:00,SSS040,S54,11.9,67.5,5.2,0,8.31,N/A
 2022-08-09 09:06:00,SSS040,S54,11.9,67.4,5.4,0.02,8.33,Chlorophyll_A
 2022-08-09 09:07:00,SSS040,S54,11.9,67.4,5.5,0,8.26,N/A
