# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DDhh:mm:ss; Minidot_03; PME miniDOT Logger real time clock.
# Battery; volts; Minidot_03; PME miniDOT Logger internal batteries.
# Temperature; degree_celsius; Minidot_03; PME miniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; Minidot_03; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; Minidot_03; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation
 2022-07-28 00:00:00,SSS009,S45,3.47,13.943,9.235,99.458
 2022-07-28 00:01:00,SSS009,S45,3.47,13.951,9.242,99.544
 2022-07-28 00:02:00,SSS009,S45,3.47,13.943,9.238,99.481
 2022-07-28 00:03:00,SSS009,S45,3.47,13.925,9.244,99.511
 2022-07-28 00:04:00,SSS009,S45,3.47,13.934,9.247,99.565
 2022-07-28 00:05:00,SSS009,S45,3.47,13.925,9.246,99.534
 2022-07-28 00:06:00,SSS009,S45,3.47,13.934,9.242,99.508
 2022-07-28 00:07:00,SSS009,S45,3.47,13.925,9.251,99.592
 2022-07-28 00:08:00,SSS009,S45,3.47,13.908,9.252,99.566
 2022-07-28 00:09:00,SSS009,S45,3.47,13.925,9.232,99.386
 2022-07-28 00:10:00,SSS009,S45,3.47,13.925,9.245,99.524
 2022-07-28 00:11:00,SSS009,S45,3.47,13.917,9.25,99.564
 2022-07-28 00:12:00,SSS009,S45,3.47,13.89,9.255,99.551
 2022-07-28 00:13:00,SSS009,S45,3.47,13.899,9.243,99.445
 2022-07-28 00:14:00,SSS009,S45,3.47,13.899,9.238,99.388
 2022-07-28 00:15:00,SSS009,S45,3.47,13.908,9.238,99.408
 2022-07-28 00:16:00,SSS009,S45,3.47,13.882,9.249,99.475
 2022-07-28 00:17:00,SSS009,S45,3.47,13.864,9.264,99.595
