# HeaderRows_16
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_02; PME MiniDOT Logger real time clock.
# Temperature_1; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_3; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_3; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_3; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Battery_1; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_3; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
DateTime,Parent_ID,Site_ID,Temperature_1,Temperature_2,Temperature_3,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_3,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Dissolved_Oxygen_Saturation_3,Battery_1,Battery_2,Battery_3
 2022-08-10 09:45:00,SSS008,S52,13.42,13.354,13.336,9.282,9.357,9.572,97.754,98.398,100.622,3.47,3.49,3.48
 2022-08-10 09:46:00,SSS008,S52,13.402,13.371,13.336,9.287,9.345,9.583,97.769,98.303,100.736,3.47,3.49,3.48
 2022-08-10 09:47:00,SSS008,S52,13.402,13.362,13.328,9.276,9.359,9.585,97.648,98.437,100.74,3.47,3.49,3.48
 2022-08-10 09:48:00,SSS008,S52,13.376,13.371,13.345,9.292,9.353,9.575,97.756,98.39,100.664,3.47,3.49,3.48
 2022-08-10 09:49:00,SSS008,S52,13.376,13.38,13.345,9.299,9.35,9.577,97.833,98.377,100.687,3.47,3.49,3.48
 2022-08-10 09:50:00,SSS008,S52,13.341,13.354,13.345,9.306,9.36,9.578,97.833,98.429,100.698,3.47,3.49,3.48
 2022-08-10 09:51:00,SSS008,S52,13.358,13.389,13.336,9.299,9.346,9.582,97.793,98.352,100.723,3.47,3.49,3.48
 2022-08-10 09:52:00,SSS008,S52,13.341,13.38,13.336,9.306,9.352,9.592,97.832,98.398,100.825,3.47,3.49,3.48
 2022-08-10 09:53:00,SSS008,S52,13.332,13.389,13.336,9.315,9.348,9.595,97.901,98.374,100.859,3.47,3.49,3.48
 2022-08-10 09:54:00,SSS008,S52,13.367,13.38,13.328,9.303,9.364,9.596,97.856,98.529,100.852,3.47,3.49,3.48
 2022-08-10 09:55:00,SSS008,S52,13.341,13.389,13.328,9.314,9.357,9.596,97.909,98.472,100.851,3.47,3.49,3.48
 2022-08-10 09:56:00,SSS008,S52,13.376,13.38,13.354,9.303,9.365,9.589,97.875,98.539,100.83,3.47,3.49,3.48
 2022-08-10 09:57:00,SSS008,S52,13.367,13.406,13.354,9.298,9.35,9.596,97.8,98.432,100.909,3.47,3.49,3.48
 2022-08-10 09:58:00,SSS008,S52,13.358,13.406,13.363,9.315,9.358,9.591,97.956,98.519,100.872,3.47,3.49,3.48
