Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
24,251.077894,251.0779047201364,251.07811039978907,1050226.3,-9999,688614,16.61,-1,-0.8191859191716196,0.8853573181508317,0,0.531214390890499,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,N/A,-9999,N/A,-9999
44,263.043573,263.0435841777249,263.0438466913691,1118742.4,-9999,677050.2,17.47,-1,-0.997984356996017,0.834670742751489,0,0.5008024456508934,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,N/A,-9999,N/A,-9999
48,265.147495,265.14750625818255,265.1475239158191,1327250.4,-9999,531859.5,20.94,-1,-0.06659551736561524,0.9991956055007862,0,0.5995173633004717,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,-9999,N/A,-9999
51,266.08899,266.08900129418697,266.0890094364491,1314639.3,-9999,431905.9,20.72,-1,-0.03059976860794157,0.9998301157095764,0,0.5998980694257458,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,N/A,-9999,N/A,-9999
65,271.082112,271.0821234851327,271.0823264003491,1259856.9,-9999,631433.9,19.61,-1,-0.7485372399073291,0.9033301746823656,0,0.5419981048094193,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
72,275.113341,275.1133526392939,275.1136265292691,954145.8,-9999,516472,14.25,-1,-0.9955521964923476,0.8354053860274869,0,0.5012432316164921,3,1.6666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H20 O7,12,20,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
74,277.059383,277.059394713714,277.0594967558291,7878828.5,-9999,393668.5,132.02,-1,-0.3683039790485192,0.9756873139821444,0,0.5854123883892866,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,N/A,-9999,N/A,-9999
75,277.071507,277.0715187141776,277.0717617163191,1026861.8,-9999,470611.9,15.49,-1,-0.8770368368418539,0.8697328611535233,0,0.5218397166921139,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
77,277.144318,277.14432971696203,277.1445327350191,2638902.5,-9999,445989.9,42.9,-1,-0.7325349522378578,0.9072232500259688,0,0.5443339500155813,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
78,277.180699,277.18071071835334,277.1809182443691,842554.8,-9999,417671.3,12.35,-1,-0.7487023892446579,0.9032896463483052,0,0.5419737878089831,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
79,279.038655,279.03866678940483,279.0387613109391,1023223.9,-9999,442005.6,15.3,-1,-0.33873980023886646,0.9793949789219184,0,0.5876369873531511,4,1.625,0.875,N2 P1 O7,de-protonated,0,-9999,C8 H13 O7 N2 P1,8,13,7,2,1,-9999,-9999,N/A,-9999,N/A,-9999
80,279.056421,279.0564327900842,279.05638643394906,2387482,-9999,543909.8,38.32,-1,0.16611744941731793,0.9950054367490524,0,0.5970032620494313,17,0.42105263157894735,0.05263157894736842,N2 O1,de-protonated,0,-9999,C19 H8 O1 N2,19,8,1,2,-9999,-9999,-9999,N/A,-9999,N/A,-9999
82,279.087388,279.0873997912684,279.08741178077906,1101341.6,-9999,654751.3,16.62,-1,-0.04295969702509619,0.9996651860582584,0,0.599799111634955,7,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,-9999,C14 H16 O6,14,16,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
83,279.123602,279.1236137926533,279.12379729012906,1172770,-9999,377521.2,17.82,-1,-0.657405343174737,0.9245771166637872,0,0.5547462699982723,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
84,279.15908,279.15909179401007,279.1591512282791,2122406.3,-9999,661217.1,33.85,-1,-0.21290460569791245,0.9918089575152752,0,0.5950853745091652,1,2.5,0.3,N4 P1 O3,de-protonated,0,-9999,C10 H25 O3 N4 P1,10,25,3,4,1,-9999,-9999,N/A,-9999,N/A,-9999
85,279.159946,279.1599577940432,279.16018279947906,18845734,-9999,371657.3,316.04,-1,-0.8060083412443084,0.904852482859993,0.9645424324839402,0.928728462709572,5,1.5,0.25,O4,de-protonated,0,-9999,C16 H24 O4,16,24,4,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
86,280.163337,280.1633488324146,280.1635376345491,4220700.5,-9999,441086.7,69.25,-1,-0.6738997374672552,0.9209005198523248,0.9645424324839402,0.938357284904971,5,1.6,0.26666666666666666,13C1 O4,de-protonated,1,85,C15 H24 O4 13C1,15,24,4,-9999,-9999,-9999,1,N/A,-9999,N/A,-9999
87,281.066461,281.06647286695164,281.0666763358891,986438.8,-9999,628255.2,14.67,-1,-0.7239169726889394,0.9092917916113504,0,0.5455750749668102,7,1.0769230769230769,0.5384615384615384,O7,de-protonated,0,-9999,C13 H14 O7,13,14,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
87,281.066461,281.06647286695164,281.06651414455905,986438.8,-9999,628255.2,14.67,-1,-0.14686063736267096,0.9960941539776352,0,0.5976564923865811,2,2.375,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H19 O1 N4 P1 S2,8,19,1,4,1,2,-9999,N/A,-9999,N/A,-9999
88,281.0666,281.066611866957,281.0666763358891,994662.9,-9999,430175.8,14.81,-1,-0.22937237869627247,0.9904990997860303,0,0.5942994598716183,7,1.0769230769230769,0.5384615384615384,O7,de-protonated,0,-9999,C13 H14 O7,13,14,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
88,281.0666,281.066611866957,281.06651414455905,994662.9,-9999,430175.8,14.81,-1,0.3476842420102937,0.9783045043539108,0,0.5869827026123465,2,2.375,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H19 O1 N4 P1 S2,8,19,1,4,1,2,-9999,N/A,-9999,N/A,-9999
89,281.102965,281.10297686834764,281.1030618452391,1377515.1,-9999,387340.3,21.27,-1,-0.3022979931271035,0.9835551960559584,0,0.590133117633575,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
90,281.139209,281.13922086973366,281.1394473545891,1517807.4,-9999,379669.3,23.64,-1,-0.8055961465493231,0.8889115847439167,0,0.53334695084635,5,1.4666666666666666,0.3333333333333333,O5,de-protonated,0,-9999,C15 H22 O5,15,22,5,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
91,281.175665,281.1756768711278,281.1758328639391,9730068,-9999,321259.6,162.21,-1,-0.5547874072682499,0.9238228321433424,0.9889470396244802,0.9498725151357974,4,1.625,0.25,O4,de-protonated,0,-9999,C16 H26 O4,16,26,4,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
92,282.178963,282.1789749094957,282.1791876990091,1833737.1,-9999,333962.4,28.73,-1,-0.7540935783863271,0.901962721681502,0.9889470396244802,0.9367564488586932,4,1.7333333333333334,0.26666666666666666,13C1 O4,de-protonated,1,91,C15 H26 O4 13C1,15,26,4,-9999,-9999,-9999,1,N/A,-9999,N/A,-9999
94,283.082308,283.08231994404116,283.0823264003491,1613170.5,-9999,524590.3,25.04,-1,-0.02280717414279157,0.9999056208002772,0,0.5999433724801664,6,1.2307692307692308,0.5384615384615384,O7,de-protonated,0,-9999,C13 H16 O7,13,16,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
95,283.118522,283.11853394542607,283.1187119096991,2058486.6,-9999,363773.8,32.49,-1,-0.6285853443125782,0.930815755763439,0,0.5584894534580633,5,1.4285714285714286,0.42857142857142855,O6,de-protonated,0,-9999,C14 H20 O6,14,20,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
97,283.155078,283.15508994682403,283.15509741904907,2906107,-9999,375518.2,46.68,-1,-0.02638915952480757,0.9998736493422532,0,0.5999241896053519,4,1.6,0.3333333333333333,O5,de-protonated,0,-9999,C15 H24 O5,15,24,5,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
100,283.191458,283.1914699482153,283.19148292839907,8749183,-9999,372262.6,144.48,-1,-0.04583536075557379,0.996807121127937,0.9829816147509826,0.9912769185771552,3,1.75,0.25,O4,de-protonated,0,-9999,C16 H28 O4,16,28,4,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
