Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
21,218.985087,218.98533337340655,218.9852691855291,1136297.9,-9999,933782.1,18.77,-1,0.29311504693723345,0.9845314625752614,0,0.5907188775451568,9,0.5,0.4,P1 O4,de-protonated,0,-9999,C10 H5 O4 P1,10,5,4,-9999,1,-9999,-9999,N/A,-9999
40,251.077931,251.07809884213813,251.07811039978907,1042886.1,-9999,897963.6,16.33,-1,-0.04603209303054344,0.9996155925584428,0,0.5997693555350656,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,N/A,-9999
43,253.144252,253.14441478584553,253.14453273501908,1121933.6,-9999,1861675.5,17.71,-1,-0.4659360890897547,0.9613739078059091,0,0.5768243446835455,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,N/A,-9999
45,255.061194,255.06135209508375,255.0614115075491,8582457,-9999,457691.5,148.03,-1,-0.23293396288570337,0.992465913520973,0.984282185461171,0.9891924222970522,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,N/A,-9999
47,255.06206,255.06221809296463,255.06225966071912,5292345.5,-9999,420763.2,90.52,-1,-0.16297101166159111,0.9951923981184044,0,0.5971154388710426,6,1.2,0.6,N2 O6,de-protonated,0,-9999,C10 H12 O6 N2,10,12,6,2,-9999,-9999,-9999,N/A,-9999
48,255.062893,255.06305109092628,255.0631290405891,3515321.5,-9999,281432.9,59.46,-1,-0.3056092941274749,0.98319601843908,0,0.5899176110634481,5,1.4545454545454546,0.09090909090909093,N2 S2 O1,de-protonated,0,-9999,C11 H16 O1 N2 S2,11,16,1,2,-9999,2,-9999,N/A,-9999
51,255.063967,255.0641250882982,255.0639134309991,2711065.8,-9999,347031.7,45.4,-1,0.8298206369419482,0.8825445756313144,0,0.5295267453787886,1,2.125,0.875,P1 O7,de-protonated,0,-9999,C8 H17 O7 P1,8,17,7,-9999,1,-9999,-9999,N/A,-9999
52,255.064427,255.0645850871726,255.06478281086908,2601657.8,-9999,226857.2,43.49,-1,-0.7751901078175922,0.8966980544224565,0,0.5380188326534739,0,2.3333333333333335,0.2222222222222222,S2 P1 O2,de-protonated,0,-9999,C9 H21 O2 P1 S2,9,21,2,-9999,1,2,-9999,N/A,-9999
53,255.065055,255.06521308563583,255.06525084151912,2132058,-9999,460522.4,35.28,-1,-0.14802440995322003,0.99603212972017,0,0.597619277832102,6,1.4444444444444444,0.3333333333333333,N4 P1 O3,de-protonated,0,-9999,C9 H13 O3 N4 P1,9,13,3,4,1,-9999,-9999,N/A,-9999
54,255.065489,255.06564708457387,255.0656309640391,1925882,-9999,562859.9,31.68,-1,0.06320151687983343,0.9992754782017196,0,0.5995652869210318,1,2.2857142857142856,0.8571428571428571,N2 S1 O6,de-protonated,0,-9999,C7 H16 O6 N2 S1,7,16,6,2,-9999,1,-9999,N/A,-9999
55,255.066375,255.0665330824058,255.0662824127191,1139802.1,-9999,566834.4,17.94,-1,0.982762928719403,0.8392494404456885,0,0.5035496642674131,10,0.8,0.26666666666666666,O4,de-protonated,0,-9999,C15 H12 O4,15,12,4,-9999,-9999,-9999,-9999,N/A,-9999
62,256.064567,256.0647226398275,256.0647663426191,944724.4,-9999,680628.5,14.53,-1,-0.1706708511808877,0.994728607593147,0.984282185461171,0.9905500387403566,5,1.5454545454545454,0.18181818181818185,13C1 S1 P1 O2,de-protonated,1,45,C11 H17 O2 P1 S1 13C1,11,17,2,-9999,1,1,1,N/A,-9999
62,256.064567,256.0647226398275,256.06490268823904,944724.4,-9999,680628.5,14.53,-1,-0.7031358443129766,0.9141978788291372,0,0.5485187272974822,5,1.3636363636363635,0.3636363636363637,N1 S1 O4,de-protonated,0,-9999,C11 H15 O4 N1 S1,11,15,4,1,-9999,1,-9999,N/A,-9999
62,256.064567,256.0647226398275,256.0645225657191,944724.4,-9999,680628.5,14.53,-1,0.7813425554448613,0.8951412683035728,0,0.5370847609821436,10,0.9230769230769232,0.07692307692307693,N3 P1 O1,de-protonated,0,-9999,C13 H12 O1 N3 P1,13,12,1,3,1,-9999,-9999,N/A,-9999
69,257.17566,257.1758129209802,257.1758328639391,901374.6,-9999,833305.4,13.67,-1,-0.07754600680783115,0.9989094745786838,0,0.5993456847472103,2,1.8571428571428572,0.2857142857142857,O4,de-protonated,0,-9999,C14 H26 O4,14,26,4,-9999,-9999,-9999,-9999,N/A,-9999
74,262.975583,262.9757217285543,262.9759678045391,2007768.5,-9999,873538.7,32.64,-1,-0.9357356372654236,0.8531015532463998,0,0.5118609319478399,9,0.75,0.08333333333333333,S2 P1 O1,de-protonated,0,-9999,C12 H9 O1 P1 S2,12,9,1,-9999,1,2,-9999,N/A,-9999
75,263.043598,263.0437365621214,263.0438466913691,2005986.4,-9999,805934.6,32.61,-1,-0.4186725865612071,0.9686949286786968,0,0.581216957207218,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,N/A,-9999
77,265.057455,265.0575886342084,265.0573749548991,1535488.6,-9999,835009.6,24.32,-1,0.8061624745722894,0.8887643723130889,0,0.5332586233878533,2,1.8,0.4,S2 O4,de-protonated,0,-9999,C10 H18 O4 S2,10,18,4,-9999,-9999,2,-9999,N/A,-9999
77,265.057455,265.0575886342084,265.05784298554903,1535488.6,-9999,835009.6,24.32,-1,-0.959606921132767,0.8461266755064102,0,0.507676005303846,8,1,0.5,N4 O5,de-protonated,0,-9999,C10 H10 O5 N4,10,10,5,4,-9999,-9999,-9999,N/A,-9999
80,265.147498,265.14763141387294,265.1475239158191,2023949.3,-9999,790949.2,32.68,-1,0.4054273344781579,0.9706154144995914,0,0.5823692486997548,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,-9999
81,265.180528,265.1806613330484,265.1809182443691,970001.9,-9999,778598.2,14.64,-1,-0.9688152615306516,0.84340476890095,0,0.50604286134057,4,1.625,0.1875,O3,de-protonated,0,-9999,C16 H26 O3,16,26,3,-9999,-9999,-9999,-9999,N/A,-9999
82,266.089106,266.08923710975586,266.0890094364491,1194641.1,-9999,854034.2,18.48,-1,0.8556283750674961,0.8756064315564154,0,0.5253638589338492,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,N/A,-9999
84,267.073119,267.07324770187364,267.0730250193591,1817625.6,-9999,850407.2,29.14,-1,0.8337888655925291,0.8814880537999737,0,0.5288928322799842,1,2,0.4,S2 O4,de-protonated,0,-9999,C10 H20 O4 S2,10,20,4,-9999,-9999,2,-9999,N/A,-9999
84,267.073119,267.07324770187364,267.07349305000906,1817625.6,-9999,850407.2,29.14,-1,-0.9186540102516936,0.8580189296823014,0,0.5148113578093808,7,1.2,0.5,N4 O5,de-protonated,0,-9999,C10 H12 O5 N4,10,12,5,4,-9999,-9999,-9999,N/A,-9999
85,267.15985,267.15997848964264,267.16018279947906,1599781.6,-9999,839366.3,25.41,-1,-0.7647465811665228,0.8993185529385463,0,0.5395911317631278,4,1.6,0.26666666666666666,O4,de-protonated,0,-9999,C15 H24 O4,15,24,4,-9999,-9999,-9999,-9999,N/A,-9999
86,267.196213,267.1963414006623,267.19656830882906,1131690.6,-9999,864826.6,17.4,-1,-0.8492181176452862,0.8773444492280711,0,0.5264066695368427,3,1.75,0.1875,O3,de-protonated,0,-9999,C16 H28 O3,16,28,3,-9999,-9999,-9999,-9999,N/A,-9999
88,269.139121,269.1392446463616,269.1394473545891,3490612.5,-9999,825524.2,57.36,-1,-0.7531717460868277,0.9021901469900492,0,0.5413140881940296,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,N/A,-9999
91,269.175529,269.1756525572711,269.1758328639391,4289849.5,-9999,822955.7,70.94,-1,-0.669847162922863,0.921810914331846,0,0.5530865485991076,3,1.7333333333333334,0.26666666666666666,O4,de-protonated,0,-9999,C15 H26 O4,15,26,4,-9999,-9999,-9999,-9999,N/A,-9999
94,269.211905,269.212028468259,269.2122183732891,5304638.5,-9999,780920.7,88.19,-1,-0.7054101453159718,0.4568333218424919,0.8524773804394659,0.6150909452812815,2,1.875,0.1875,O3,de-protonated,0,-9999,C16 H30 O3,16,30,3,-9999,-9999,-9999,-9999,N/A,-9999
98,271.154813,271.1549317139583,271.15509741904907,1918787.6,-9999,820785.5,30.64,-1,-0.6111081529660679,0.9344823046181128,0,0.5606893827708677,3,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,-9999,C14 H24 O5,14,24,5,-9999,-9999,-9999,-9999,N/A,-9999
100,271.191211,271.1913296248923,271.19148292839907,4290632.5,-9999,823630.3,70.95,-1,-0.5652961704186558,0.943665330280574,0,0.5661991981683443,2,1.8666666666666667,0.26666666666666666,O4,de-protonated,0,-9999,C15 H28 O4,15,28,4,-9999,-9999,-9999,-9999,N/A,-9999
