Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
65,218.985307,218.98536795015207,218.9852691855291,2284827.8,-9999,668581.9,39.64,-1,0.4510103503459952,0.963764278865392,0,0.5782585673192352,9,0.5,0.4,P1 O4,de-protonated,0,-9999,C10 H5 O4 P1,10,5,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
109,245.048409,245.0484489342124,245.0485381486291,1351178.1,-9999,701382.5,21.83,-1,-0.36406834886491096,0.9762366482325598,0,0.5857419889395359,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,-9999,-9999,-9999,-9999
118,251.078164,251.07819907212937,251.07811039978907,3328826.8,-9999,681629.3,56.17,-1,0.35316635180767614,0.977622715839316,0,0.5865736295035895,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
125,255.061478,255.06150986019065,255.0614115075491,10252008,-9999,905763.3,176.2,-1,0.38560376865382734,0.9681948567481864,0.9867043557240822,0.9755986563385448,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,-9999,-9999,-9999,-9999
133,256.064852,256.0648830511216,256.0647663426191,1159184.6,-9999,1342063.7,18.16,-1,0.45577727920192496,0.9630086672815036,0.9867043557240822,0.9724869426585352,5,1.5454545454545454,0.18181818181818185,13C1 S1 P1 O2,de-protonated,1,125,C11 H17 O2 P1 S1 13C1,11,17,2,-9999,1,1,1,-9999,-9999,-9999,-9999
133,256.064852,256.0648830511216,256.06490268823904,1159184.6,-9999,1342063.7,18.16,-1,-0.0766880474919202,0.9989334591601088,0,0.5993600754960653,5,1.3636363636363635,0.3636363636363637,N1 S1 O4,de-protonated,0,-9999,C11 H15 O4 N1 S1,11,15,4,1,-9999,1,-9999,-9999,-9999,-9999,-9999
148,259.082066,259.0820946181961,259.0823264003491,1258496.9,-9999,684893.6,19.71,-1,-0.8946274190153287,0.8648285953160476,0,0.5188971571896286,4,1.4545454545454546,0.6363636363636364,O7,de-protonated,0,-9999,C11 H16 O7,11,16,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
149,259.118426,259.1184545888772,259.1187119096991,3936902.8,-9999,588569.9,65.88,-1,-0.9930615197512874,0.8361565142199218,0,0.5016939085319531,3,1.6666666666666667,0.5,O6,de-protonated,0,-9999,C12 H20 O6,12,20,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,259.129227,259.1292555801679,259.1290971458191,930184.4,-9999,1415388.4,14.05,-1,0.6114108780136259,0.9344195545338846,0,0.5606517327203308,2,1.9230769230769231,0.07692307692307693,S1 P1 O1,de-protonated,0,-9999,C13 H25 O1 P1 S1,13,25,1,-9999,1,1,-9999,-9999,-9999,-9999,-9999
151,259.129662,259.1296905798171,259.12994529898907,5160072.5,-9999,603356.6,86.96,-1,-0.9829785270657798,0.8391849047475872,0,0.5035109428485524,3,1.818181818181818,0.4545454545454546,N2 O5,de-protonated,0,-9999,C11 H20 O5 N2,11,20,5,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
159,261.134128,261.1341549635192,261.13436197415905,1913416,-9999,565895.1,30.73,-1,-0.792736115850225,0.8922330643546099,0,0.5353398386127659,2,1.8333333333333333,0.5,O6,de-protonated,0,-9999,C12 H22 O6,12,22,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
