Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S
22,241.136015,241.1360750922542,241.13629052652908,941969.7,-9999,679802.5,14.76,-1,-0.8934129093871632,0.8651694330797082,0,0.5191016598478249,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,N/A,-9999,-9999,-9999,-9999
35,251.055872,251.05592382956496,251.05611165185908,1091394.3,-9999,564977.2,17.17,-1,-0.7481287465465354,0.9034303900505288,0,0.5420582340303173,7,1,0.5,O6,de-protonated,0,-9999,C12 H12 O6,12,12,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
36,251.078237,251.07828881093616,251.07811039978907,2557382,-9999,569463.1,42.91,-1,0.7105802525183756,0.9124537770799688,0,0.5474722662479813,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,N/A,-9999,-9999,-9999,-9999
38,251.113341,251.1133927816965,251.11362652926908,990283.9,-9999,676925,15.39,-1,-0.9308438409053572,0.854516138854486,0,0.5127096833126915,1,2,0.7,O7,de-protonated,0,-9999,C10 H20 O7,10,20,7,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
41,253.071537,253.0715871506281,253.0717617163191,1704850.5,-9999,563903.2,27.94,-1,-0.6897873149244378,0.9172873733385004,0,0.5503724240031002,6,1.1666666666666667,0.5,O6,de-protonated,0,-9999,C12 H14 O6,12,14,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
42,253.107873,253.10792312036224,253.1081472256691,1816088.5,-9999,603918.6,29.89,-1,-0.8854132484399357,0.8674062007729554,0,0.5204437204637732,5,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,-9999,C13 H18 O5,13,18,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
45,253.144235,253.1442850900747,253.14453273501908,10986655,-9999,574341.7,190.9,-1,-0.9782749076381524,0.8709536098521988,0.9902023764580716,0.918653116494548,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
46,254.147646,254.14769525428915,254.14788757008907,1807939.6,-9999,694742,29.6,-1,-0.7567082369255553,0.9013164587282269,0.9902023764580716,0.9368708258201646,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,45,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,N/A,-9999,-9999,-9999,-9999
47,255.05077,255.05081850203703,255.05102627142907,1494487,-9999,471424,24.12,-1,-0.8146189217236033,0.8865568102307075,0,0.5319340861384245,6,1.0909090909090908,0.6363636363636364,O7,de-protonated,0,-9999,C11 H12 O7,11,12,7,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
48,255.06134,255.06138849323284,255.0614115075491,1892056.6,-9999,755927.4,31.07,-1,-0.09023049050651208,0.9985238186344814,0,0.5991142911806888,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,N/A,-9999,-9999,-9999,-9999
49,255.062009,255.0620574926756,255.06225966071912,7683033,-9999,546362,132.26,-1,-0.7926223338491901,0.8991469238209934,0.9973155663599992,0.9384143808365956,6,1.2,0.6,N2 O6,de-protonated,0,-9999,C10 H12 O6 N2,10,12,6,2,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
51,255.087202,255.0872504716912,255.08741178077904,2624220.8,-9999,560937.5,43.86,-1,-0.6323678880016546,0.9300105394368744,0,0.5580063236621247,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
52,255.123527,255.12357544143453,255.12379729012903,2114402.8,-9999,437103.3,34.95,-1,-0.8695727207461817,0.871792673679186,0,0.5230756042075115,4,1.5384615384615383,0.38461538461538464,O5,de-protonated,0,-9999,C13 H20 O5,13,20,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999,-9999
