Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
21,227.128901,227.1288765827063,227.12888267055905,1423397.4,-9999,893026.2,23.87,-1,-0.0268035164338224,0.9998696505899196,0,0.5999217903539517,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
22,227.140144,227.14011958373595,227.14011605984908,1460903.3,-9999,896397.1,24.56,-1,0.01551415459265274,0.999956328252099,0,0.5999737969512594,3,1.818181818181818,0.2727272727272727,N2 O3,de-protonated,0,-9999,C11 H20 O3 N2,11,20,3,2,-9999,-9999,-9999,N/A,-9999,-9999,-9999
23,229.144547,229.14452276730404,229.14453273501908,1093363.6,-9999,870435.1,17.81,-1,-0.04349968522266373,0.9996567176272768,0,0.5997940305763662,2,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,-9999,C12 H22 O4,12,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
25,239.128902,239.12887868169565,239.12888267055905,1704711.5,-9999,703023.4,28.53,-1,-0.01668080975104692,0.9999495132838688,0,0.5999697079703212,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
29,241.144573,241.1445498662957,241.14453273501908,1413978.8,-9999,827180.1,23.23,-1,0.07104153026811372,0.999084665976356,0,0.5994507995858137,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
30,241.180966,241.18094286962867,241.18091824436908,864544.9,-9999,906603.8,13.43,-1,0.10210285193210672,0.998110186779126,0,0.5988661120674755,2,1.8571428571428572,0.21428571428571427,O3,de-protonated,0,-9999,C14 H26 O3,14,26,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
32,242.176214,242.17619096077587,242.1761672165691,1047559.6,-9999,887630.8,16.69,-1,0.0980451835716434,0.9982572798436194,0,0.5989543679061716,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,N/A,-9999,-9999,-9999
34,243.123815,243.1237920475595,243.12379729012903,942885.7,-9999,803147.3,14.76,-1,-0.02156337477274561,0.9999156337064466,0,0.599949380223868,3,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,-9999,C12 H20 O5,12,20,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
35,243.160208,243.1601850508925,243.16018279947903,1154987.8,-9999,820496.9,18.53,-1,0.00925897233670813,0.999984444784808,0,0.5999906668708846,2,1.8461538461538465,0.3076923076923077,O4,de-protonated,0,-9999,C13 H24 O4,13,24,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
36,251.078595,251.0785727760777,251.07857843043905,979887.2,-9999,812290.2,15.27,-1,-0.02252028597319472,0.99990798012313,0,0.5999447880738781,7,1.2,0.4,N4 O4,de-protonated,0,-9999,C10 H12 O4 N4,10,12,4,4,-9999,-9999,-9999,N/A,-9999,-9999,-9999
37,251.128904,251.12888178068508,251.12888267055905,1200951.1,-9999,916491.8,19.17,-1,-0.00354349513348087,0.9999977216679748,0,0.5999986330007849,5,1.4285714285714286,0.2857142857142857,O4,de-protonated,0,-9999,C14 H20 O4,14,20,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
38,253.144546,253.14452396528247,253.14453273501908,7063023,-9999,776705.9,122.48,-1,-0.03464319973669955,0.9969933479547322,0.9867582073198908,0.9928992917007956,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
39,254.147955,254.1479330571771,254.14788757008907,1195399.4,-9999,809362.6,18.98,-1,0.17897881615125918,0.9942044380747797,0.9867582073198908,0.991225945772824,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,38,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,N/A,-9999,-9999,-9999
41,255.062271,255.0622491409124,255.06225966071912,8734992,-9999,747989.6,151.27,-1,-0.04124407403794238,0.9989300234656238,0.9998795271583804,0.9993098249427264,6,1.2,0.6,N2 O6,de-protonated,0,-9999,C10 H12 O6 N2,10,12,6,2,-9999,-9999,-9999,N/A,-9999,-9999,-9999
42,255.1602,255.16017814988095,255.16018279947903,3987743,-9999,737002.2,67.97,-1,-0.01822227132595022,0.999939751566012,0,0.5999638509396071,3,1.7142857142857142,0.2857142857142857,O4,de-protonated,0,-9999,C14 H24 O4,14,24,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
43,255.196613,255.1965911532158,255.19656830882903,802468.4,-9999,947944,12.08,-1,0.08951682573815875,0.9985470606605352,0,0.5991282363963211,2,1.8666666666666667,0.2,O3,de-protonated,0,-9999,C15 H28 O3,15,28,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
44,256.065662,256.0656402328054,256.0656144957891,943460.9,-9999,768713.5,14.55,-1,0.10050945868675792,0.9981686568792842,0.9998795271583804,0.9988530049909228,6,1.3333333333333333,0.6666666666666666,13C1 N2 O6,de-protonated,1,41,C9 H12 O6 N2 13C1,9,12,6,2,-9999,-9999,1,N/A,-9999,-9999,-9999
45,257.139489,257.13946733114915,257.1394473545891,901185.2,-9999,934427,13.73,-1,0.07768765259341806,0.9989054892086854,0,0.5993432935252112,3,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,-9999,C13 H22 O5,13,22,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
46,257.175862,257.17584033448026,257.1758328639391,3805254.5,-9999,776456.2,64.38,-1,0.02904837939188924,0.9998469038046662,0,0.5999081422827998,2,1.8571428571428572,0.2857142857142857,O4,de-protonated,0,-9999,C14 H26 O4,14,26,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
48,259.118755,259.11873351241513,259.1187119096991,1064666.1,-9999,707201.2,16.57,-1,0.08336995773570764,0.9987396267983768,0,0.5992437760790261,3,1.6666666666666667,0.5,O6,de-protonated,0,-9999,C12 H20 O6,12,20,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
