Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S
2,163.01633,163.01643440904533,163.0165693144491,762021.8,-9999,792620.1,12.5,-1,-0.827556390962328,0.8831457262075437,0,0.5298874357245262,2,1.8,0.8,P1 O4,de-protonated,0,-9999,C5 H9 O4 P1,5,9,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,163.018143,163.0182474074673,163.0182868474891,1281949.3,-9999,1044415.9,22.38,-1,-0.2419361812526756,0.989435444129772,0,0.5936612664778632,2,2,0.75,N2 S1 O3,de-protonated,0,-9999,C4 H8 O3 N2 S1,4,8,3,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
11,163.018679,163.01878340700077,163.0189382961691,1177968.3,-9999,990760.9,20.4,-1,-0.9501299048280516,0.8489098963346732,0,0.5093459378008038,11,0.3333333333333333,0.08333333333333333,O1,de-protonated,0,-9999,C12 H4 O1,12,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
12,163.018804,163.01890840689197,163.0189382961691,1236818.3,-9999,781637.2,21.52,-1,-0.18334849583835827,0.9939188646300752,0,0.596351318778045,11,0.3333333333333333,0.08333333333333333,O1,de-protonated,0,-9999,C12 H4 O1,12,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
26,187.09748,187.09756344908556,187.0975825416391,1086309,-9999,751627.2,18.64,-1,-0.10204596598268742,0.99811228999889,0,0.5988673739993341,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,193.086958,193.08703623591188,193.08701785760908,1250355.8,-9999,726985.1,21.57,-1,0.09518145239252128,0.9983575143735268,0,0.5990145086241161,5,1.2727272727272727,0.2727272727272727,O3,de-protonated,0,-9999,C11 H14 O3,11,14,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
29,195.139002,195.1390784498361,195.13905343141903,877226.7,-9999,909212.9,14.5,-1,0.12820814985880127,0.9970219114508896,0,0.5982131468705338,3,1.6666666666666667,0.16666666666666666,O2,de-protonated,0,-9999,C12 H20 O2,12,20,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33,197.081869,197.08194375878668,197.08193247717907,1000187.8,-9999,803059.2,16.75,-1,0.05724323620508353,0.999405607826584,0,0.5996433646959504,4,1.4,0.4,O4,de-protonated,0,-9999,C10 H14 O4,10,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
37,199.061127,199.06120003606296,199.06119703228907,3157121.3,-9999,797459.6,57.14,-1,0.01508970069822338,0.9999586851568708,0,0.5999752110941224,4,1.3333333333333333,0.5555555555555556,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
38,199.097531,199.09760400437733,199.0975825416391,4874820.5,-9999,763433.5,89.3,-1,0.10780009459690187,0.9978936316613876,0,0.5987361789968326,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
51,209.081846,209.08191031414285,209.08193247717907,1058245.6,-9999,777346.8,17.53,-1,-0.10600168057519556,0.9979632548991773,0,0.5987779529395063,5,1.2727272727272727,0.3636363636363637,O4,de-protonated,0,-9999,C11 H14 O4,11,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
