Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,33S,34S
1,241.071366,241.07154474428407,241.0717617163191,1128648.3,-9999,741233.6,18.15,-1,-0.9000309014827788,0.8633081970679702,0,0.5179849182407821,5,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,-9999,C11 H14 O6,11,14,6,-9999,-9999,-9999,-9999,N/A,-9999
2,243.087053,243.0872272437084,243.0874117807791,922515.1,-9999,729259.3,14.41,-1,-0.7591387367897763,0.9007141253417457,0,0.5404284752050473,4,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,-9999,C11 H16 O6,11,16,6,-9999,-9999,-9999,-9999,N/A,-9999
7,251.055811,251.05596745126417,251.05611165185908,891650.8,-9999,822123.6,13.73,-1,-0.5743759592104685,0.941895140438956,0,0.5651370842633735,7,1,0.5,O6,de-protonated,0,-9999,C12 H12 O6,12,12,6,-9999,-9999,-9999,-9999,N/A,-9999
9,253.071483,253.07163495072191,253.0717617163191,1073842.6,-9999,537866.3,16.93,-1,-0.5009077120454796,0.9554937807306404,0,0.5732962684383841,6,1.1666666666666667,0.5,O6,de-protonated,0,-9999,C12 H14 O6,12,14,6,-9999,-9999,-9999,-9999,N/A,-9999
10,253.107893,253.1080448694266,253.1081472256691,1122744,-9999,828083.9,17.8,-1,-0.4043972649677612,0.9707623380374863,0,0.5824574028224918,5,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,-9999,C13 H18 O5,13,18,5,-9999,-9999,-9999,-9999,N/A,-9999
11,255.050699,255.0508465315778,255.05102627142907,948116.9,-9999,455921.4,14.65,-1,-0.7047211449794448,0.9138277300804276,0,0.5482966380482566,6,1.0909090909090908,0.6363636363636364,O7,de-protonated,0,-9999,C11 H12 O7,11,12,7,-9999,-9999,-9999,-9999,N/A,-9999
13,255.087152,255.08729945018644,255.08741178077904,1369946.3,-9999,623242.2,22.06,-1,-0.4403611759761475,0.965425675828832,0,0.5792554054972993,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,N/A,-9999
14,257.06634,257.0664830311048,257.0666763358891,1283059.5,-9999,518440.1,20.53,-1,-0.7519636036587618,0.902487873323952,0,0.5414927239943712,5,1.2727272727272727,0.6363636363636364,O7,de-protonated,0,-9999,C11 H14 O7,11,14,7,-9999,-9999,-9999,-9999,N/A,-9999
16,257.102775,257.10291794975365,257.1030618452391,1005752.6,-9999,568822.3,15.66,-1,-0.5596801703485789,0.9447477389846668,0,0.5668486433908001,4,1.5,0.5,O6,de-protonated,0,-9999,C12 H18 O6,12,18,6,-9999,-9999,-9999,-9999,N/A,-9999
17,259.081963,259.082101530672,259.0823264003491,956552.1,-9999,783858.1,14.69,-1,-0.8679468036579986,0.8722396725720136,0,0.5233438035432082,4,1.4545454545454546,0.6363636363636364,O7,de-protonated,0,-9999,C11 H16 O7,11,16,7,-9999,-9999,-9999,-9999,N/A,-9999
18,263.055914,263.0560436577332,263.0561116518591,975691,-9999,604919.9,14.92,-1,-0.2584776513522528,0.987950470991887,0,0.5927702825951322,8,0.9230769230769232,0.4615384615384616,O6,de-protonated,0,-9999,C13 H12 O6,13,12,6,-9999,-9999,-9999,-9999,N/A,-9999
20,265.035098,265.03522323866054,265.0353762069691,883965.7,-9999,354730.6,13.24,-1,-0.5771618519166712,0.9413470243141354,0,0.5648082145884812,8,0.8333333333333334,0.5833333333333334,O7,de-protonated,0,-9999,C12 H10 O7,12,10,7,-9999,-9999,-9999,-9999,N/A,-9999
20,265.035098,265.03522323866054,265.0352140156391,883965.7,-9999,354730.6,13.24,-1,0.03479923024798927,0.999780292243173,0,0.5998681753459038,3,2.142857142857143,0.14285714285714285,N4 S2 P1 O1,de-protonated,0,-9999,C7 H15 O1 N4 P1 S2,7,15,1,4,1,2,-9999,N/A,-9999
21,265.071529,265.07165415731833,265.0717617163191,1111650,-9999,374719.2,17.16,-1,-0.4057731387782045,0.9705660120430804,0,0.5823396072258482,7,1.0769230769230769,0.4615384615384616,O6,de-protonated,0,-9999,C13 H14 O6,13,14,6,-9999,-9999,-9999,-9999,N/A,-9999
22,265.107935,265.1080600760319,265.1081472256691,953734.4,-9999,482699.8,14.44,-1,-0.32873239880967553,0.9805827408940024,0,0.5883496445364014,6,1.2857142857142858,0.35714285714285715,O5,de-protonated,0,-9999,C14 H18 O5,14,18,5,-9999,-9999,-9999,-9999,N/A,-9999
