Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,33S,34S
0,227.063219,227.06328058190607,227.06312558465908,918409.2,-9999,765582.8,14.84,-1,0.6826174289437245,0.9189266092784404,0,0.5513559655670642,9,0.9285714285714286,0.07142857142857142,P1 O1,de-protonated,0,-9999,C14 H13 O1 P1,14,13,1,-9999,1,-9999,-9999,N/A,N/A,N/A
37,275.027523,275.02754025126893,275.02780615966907,879227.4,-9999,572908.9,13.2,-1,-0.9668418762849924,0.843989533002519,0,0.5063937198015114,5,1.5,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H12 O3 N4 S2,8,12,3,4,-9999,2,-9999,N/A,N/A,N/A
38,275.063958,275.0639752175942,275.06419166901907,1306047.3,-9999,650625.2,20.58,-1,-0.7869124060197326,0.8937236428527596,0,0.5362341857116557,4,1.7777777777777777,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H16 O2 N4 S2,9,16,2,4,-9999,2,-9999,N/A,N/A,N/A
40,277.043221,277.04323638827566,277.0434562241291,1543184.4,-9999,622236.3,24.67,-1,-0.7935067531969624,0.8920351835294942,0,0.5352211101176965,4,1.75,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H14 O3 N4 S2,8,14,3,4,-9999,2,-9999,N/A,N/A,N/A
41,277.079645,277.07966035461106,277.0798417334791,1424148.1,-9999,660761.1,22.61,-1,-0.6546086748873651,0.9251928901465948,0,0.5551157340879569,3,2,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H18 O2 N4 S2,9,18,2,4,-9999,2,-9999,N/A,N/A,N/A
42,277.115998,277.1160133210121,277.11622724282904,1292311.9,-9999,706122.6,20.34,-1,-0.7719570199586464,0.8975122828844414,0,0.5385073697306648,2,2.2,0.1,N4 S2 O1,de-protonated,0,-9999,C10 H22 O1 N4 S2,10,22,1,4,-9999,2,-9999,N/A,N/A,N/A
43,279.022535,279.02254855891,279.0227207792391,1698909.5,-9999,719850.1,27.2,-1,-0.6172269004117857,0.9332087775388844,0,0.5599252665233306,4,1.7142857142857142,0.5714285714285714,N4 S2 O4,de-protonated,0,-9999,C7 H12 O4 N4 S2,7,12,4,4,-9999,2,-9999,N/A,N/A,N/A
44,279.058918,279.0589315252833,279.0591062885891,2222433.3,-9999,573375.3,36.19,-1,-0.626259103683192,0.9313089035679204,0,0.5587853421407523,3,2,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H16 O3 N4 S2,8,16,3,4,-9999,2,-9999,N/A,N/A,N/A
45,279.095298,279.09531149165934,279.0954917979391,1644901,-9999,629890.5,26.27,-1,-0.6460379512733103,0.9270661680955824,0,0.5562397008573493,2,2.2222222222222223,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H20 O2 N4 S2,9,20,2,4,-9999,2,-9999,N/A,N/A,N/A
46,279.13165299999997,279.1316664580585,279.1318773072891,1605224.8,-9999,671868.1,25.59,-1,-0.7553749597928172,0.9016462253412691,0,0.5409877352047615,1,2.4,0.1,N4 S2 O1,de-protonated,0,-9999,C10 H24 O1 N4 S2,10,24,1,4,-9999,2,-9999,N/A,N/A,N/A
47,281.038206,281.0382176959416,281.03837084369906,2035499.1,-9999,653518.4,32.98,-1,-0.5449354014208071,0.9475438906031874,0,0.5685263343619125,3,2,0.5714285714285714,N4 S2 O4,de-protonated,0,-9999,C7 H14 O4 N4 S2,7,14,4,4,-9999,2,-9999,N/A,N/A,N/A
48,281.0746,281.07461166230473,281.07475635304905,2501678.8,-9999,550423.4,40.98,-1,-0.5147767312808951,0.9530546710098649,0,0.5718328026059188,2,2.25,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H18 O3 N4 S2,8,18,3,4,-9999,2,-9999,N/A,N/A,N/A
