Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
23,242.176186,242.17618142102393,242.1761672165691,1814739.1,-9999,877747.1,30.74,-1,0.05865339678803649,0.9993759712141368,0,0.5996255827284821,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,N/A,-9999,N/A
28,265.147898,265.1478929183915,265.14790403833905,803014.5,-9999,792554.4,12.09,-1,-0.04193865904553681,0.999680909694542,0,0.5998085458167252,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,N/A,-9999,N/A
36,274.97214,274.9721347034323,274.97194505253907,815156.7,-9999,789687.3,12.17,-1,0.6897099745316153,0.9173051312003278,0,0.5503830787201967,6,1.125,0.375,N2 S2 P1 O3,de-protonated,0,-9999,C8 H9 O3 N2 P1 S2,8,9,3,2,1,2,-9999,N/A,-9999,N/A
37,288.987324,288.9873183967731,288.9875951169991,2091528,-9999,662686.7,33.83,-1,-0.9575505339093136,0.8467321658756096,0,0.5080392995253658,6,1.2222222222222223,0.3333333333333333,N2 S2 P1 O3,de-protonated,0,-9999,C9 H11 O3 N2 P1 S2,9,11,3,2,1,2,-9999,N/A,-9999,N/A
38,288.987808,288.9878023967625,288.9875951169991,2013192,-9999,881626.7,32.49,-1,0.7172618025956558,0.910875634423706,0,0.5465253806542235,6,1.2222222222222223,0.3333333333333333,N2 S2 P1 O3,de-protonated,0,-9999,C9 H11 O3 N2 P1 S2,9,11,3,2,1,2,-9999,N/A,-9999,N/A
39,293.103068,293.1030623067186,293.1030618452391,986379.1,-9999,711943.8,14.81,-1,0.00157446150376986,0.9999995502016856,0,0.5999997301210114,7,1.2,0.4,O6,de-protonated,0,-9999,C15 H18 O6,15,18,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A
41,293.175818,293.1758123051268,293.1758328639391,7449871.5,-9999,645011.9,124.94,-1,-0.07012451233996149,0.9979141203426288,0.9858547864162648,0.9930903867720832,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999,N/A,-9999,N/A
44,294.179233,294.1792272831716,294.1791876990091,1224526.4,-9999,691476.6,18.87,-1,0.13455799780816516,0.9967201070758552,0.9858547864162648,0.992373978812019,5,1.625,0.25,13C1 O4,de-protonated,1,41,C16 H26 O4 13C1,16,26,4,-9999,-9999,-9999,1,N/A,-9999,N/A
46,295.118692,295.11868626261577,295.1187119096991,908169.2,-9999,743165.1,13.48,-1,-0.08690429400135803,0.998630573389471,0,0.5991783440336826,6,1.3333333333333333,0.4,O6,de-protonated,0,-9999,C15 H20 O6,15,20,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A
47,297.097974,297.0979682193081,297.0979764648091,1220613.5,-9999,710494.6,18.7,-1,-0.0277534741893355,0.9998602479485514,0,0.5999161487691308,6,1.2857142857142858,0.5,O7,de-protonated,0,-9999,C14 H18 O7,14,18,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A
