Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
0,265.14792,265.1478946594593,265.14790403833905,4068210.3,-9999,657493.3,69.46,-1,-0.03537225669735116,0.9997729977996976,0,0.5998637986798186,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999
2,279.163566,279.16354222144673,279.1635541027991,916027.3,-9999,671273.7,13.89,-1,-0.04256054264733536,0.9996713778957168,0,0.59980282673743,0,2.1538461538461537,0.3076923076923077,S1 O4,de-protonated,0,-9999,C13 H28 O4 S1,13,28,4,-9999,-9999,1,-9999
3,293.175844,293.1758217830588,293.1758328639391,5555044,-9999,562641,93.2,-1,-0.03779602228679387,0.9993996551475756,0.9969255918808656,0.9984100298408918,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999
5,293.17923,293.17920778343614,293.17920416725906,1737316.3,-9999,531298.1,27.77,-1,0.01233435738559003,0.9999723954361524,0,0.5999834372616915,0,2.142857142857143,0.2857142857142857,S1 O4,de-protonated,0,-9999,C14 H30 O4 S1,14,30,4,-9999,-9999,1,-9999
7,294.179231,294.17920889488227,294.1791876990091,997542,-9999,635730.8,15.09,-1,0.07205089294565341,0.9990584832834856,0.9969255918808656,0.9982053267224376,5,1.625,0.25,13C1 O4,de-protonated,1,3,C16 H26 O4 13C1,16,26,4,-9999,-9999,-9999,1
8,297.152978,297.1529562262944,297.1529894187691,1799143.5,-9999,499439.7,28.69,-1,-0.11170163474958784,0.9977385793074576,0,0.5986431475844745,4,1.625,0.1875,S1 O3,de-protonated,0,-9999,C16 H26 O3 S1,16,26,3,-9999,-9999,1,-9999
10,307.082343,307.0823223328822,307.0823264003491,909678.7,-9999,688265,13.38,-1,-0.01324552579431041,0.9999681664318026,0,0.5999808998590815,8,1.0666666666666669,0.4666666666666667,O7,de-protonated,0,-9999,C15 H16 O7,15,16,7,-9999,-9999,-9999,-9999
10,307.082343,307.0823223328822,307.0821642090191,909678.7,-9999,688265,13.38,-1,0.5149236313459734,0.953028513371189,0,0.5718171080227133,3,2.1,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H21 O1 N4 P1 S2,10,21,1,4,1,2,-9999
11,309.097938,309.0979175575122,309.0979764648091,892278.6,-9999,554435.2,13.08,-1,-0.19057807367634788,0.9934314511733132,0,0.5960588707039879,7,1.2,0.4666666666666667,O7,de-protonated,0,-9999,C15 H18 O7,15,18,7,-9999,-9999,-9999,-9999
11,309.097938,309.0979175575122,309.09781427347906,892278.6,-9999,554435.2,13.08,-1,0.3341467598504017,0.9799443624047908,0,0.5879666174428745,2,2.3,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H23 O1 N4 P1 S2,10,23,1,4,1,2,-9999
12,309.174175,309.1741545660085,309.17411878682907,2498683.8,-9999,623592.6,40.23,-1,0.11572501465388854,0.9975729386534322,0,0.5985437631920593,0,2.142857142857143,0.35714285714285715,S1 O5,de-protonated,0,-9999,C14 H30 O5 S1,14,30,5,-9999,-9999,1,-9999
15,311.168669,311.1686487882868,311.16863948322913,7896581.5,-9999,578267.1,131.44,-1,0.02990358444661487,0.9979028732660036,0.9851409573394748,0.992798106895392,4,1.6470588235294117,0.17647058823529413,S1 O3,de-protonated,0,-9999,C17 H28 O3 S1,17,28,3,-9999,-9999,1,-9999
19,312.172061,312.1720409001108,312.17199431829914,1290315.8,-9999,643422.3,19.71,-1,0.14921841967672242,0.9959679892051304,0.9851409573394748,0.9916371764588684,4,1.75,0.1875,13C1 S1 O3,de-protonated,1,15,C16 H28 O3 S1 13C1,16,28,3,-9999,-9999,1,1
19,312.172061,312.1720409001108,312.1717505413991,1290315.8,-9999,643422.3,19.71,-1,0.9301248790300076,0.8547236167102118,0,0.5128341700261271,9,1.2777777777777777,0.1111111111111111,N3 O2,de-protonated,0,-9999,C18 H23 O2 N3,18,23,2,3,-9999,-9999,-9999
20,319.118726,319.1187066742887,319.1187119096991,919889.4,-9999,668104.9,13.4,-1,-0.01640583945885851,0.9999511639940208,0,0.5999706983964125,8,1.1764705882352942,0.35294117647058826,O6,de-protonated,0,-9999,C17 H20 O6,17,20,6,-9999,-9999,-9999,-9999
21,321.097999,321.0979798948708,321.0979764648091,1182192.6,-9999,640168.4,17.78,-1,0.01068228988967899,0.9999792948657392,0,0.5999875769194435,8,1.125,0.4375,O7,de-protonated,0,-9999,C16 H18 O7,16,18,7,-9999,-9999,-9999,-9999
21,321.097999,321.0979798948708,321.09781427347906,1182192.6,-9999,640168.4,17.78,-1,0.5157973189277811,0.9528728015774092,0,0.5717236809464455,3,2.090909090909091,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H23 O1 N4 P1 S2,11,23,1,4,1,2,-9999
22,323.077237,323.0772181154489,323.0772410199191,953494.2,-9999,515338.8,13.81,-1,-0.0708947189448717,0.9990884435228669,0,0.5994530661137201,8,1.0666666666666669,0.5333333333333333,O8,de-protonated,0,-9999,C15 H16 O8,15,16,8,-9999,-9999,-9999,-9999
22,323.077237,323.0772181154489,323.0770788285891,953494.2,-9999,515338.8,13.81,-1,0.4311257867529167,0.9668366073307256,0,0.5801019643984354,3,2.1,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H21 O2 N4 P1 S2,10,21,2,4,1,2,-9999
23,323.113674,323.11365511950964,323.1136265292691,1245081.3,-9999,632354,18.64,-1,0.08848354948038281,0.9985803854167402,0,0.5991482312500441,7,1.25,0.4375,O7,de-protonated,0,-9999,C16 H20 O7,16,20,7,-9999,-9999,-9999,-9999
23,323.113674,323.11365511950964,323.1134643379391,1245081.3,-9999,632354,18.64,-1,0.5904476031139776,0.9387011072204788,0,0.5632206643322872,2,2.272727272727273,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H25 O1 N4 P1 S2,11,25,1,4,1,2,-9999
24,325.092947,325.09292834009165,325.0928910843791,1297221.8,-9999,617265.2,19.5,-1,0.11460020673835618,0.9976198338711684,0,0.5985719003227009,7,1.2,0.5333333333333333,O8,de-protonated,0,-9999,C15 H18 O8,15,18,8,-9999,-9999,-9999,-9999
24,325.092947,325.09292834009165,325.09272889304907,1297221.8,-9999,617265.2,19.5,-1,0.6135081619783005,0.93398408362211,0,0.560390450173266,2,2.3,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H23 O2 N4 P1 S2,10,23,2,4,1,2,-9999
25,325.129311,325.12929234414423,325.12927659372906,1363529,-9999,587589.4,20.59,-1,0.04844354632717172,0.999574271011801,0,0.5997445626070805,6,1.375,0.4375,O7,de-protonated,0,-9999,C16 H22 O7,16,22,7,-9999,-9999,-9999,-9999
25,325.129311,325.12929234414423,325.12911440239907,1363529,-9999,587589.4,20.59,-1,0.5472956351246914,0.9471007708440464,0,0.5682604625064278,1,2.4545454545454546,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H27 O1 N4 P1 S2,11,27,1,4,1,2,-9999
28,325.184327,325.18430835027556,325.18428954768905,8265294,-9999,538358.6,134.84,-1,0.05782132505892239,0.9996930860926267,0.980292151303022,0.9919327121767848,4,1.6666666666666667,0.16666666666666666,S1 O3,de-protonated,0,-9999,C18 H30 O3 S1,18,30,3,-9999,-9999,1,-9999
30,325.186889,325.1868703505611,325.1867914711391,927310.1,-9999,623078.8,13.37,-1,0.24256650046834705,0.9893806182017364,0,0.5936283709210417,0,2.142857142857143,0.5714285714285714,O8,de-protonated,0,-9999,C14 H30 O8,14,30,8,-9999,-9999,-9999,-9999
31,326.187665,326.18764646209354,326.1876443827591,1847208.3,-9999,579954.4,28.6,-1,0.00637465721889304,0.999992626632159,0.980292151303022,0.9921124365005044,4,1.7647058823529411,0.17647058823529413,13C1 S1 O3,de-protonated,1,28,C17 H30 O3 S1 13C1,17,30,3,-9999,-9999,1,1
