Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
7,199.006567,199.00660888678144,199.0066733356791,12256242,-9999,810353.9,227.93,-1,-0.32385294699795486,0.9586605397052078,0.997078870389378,0.974027871978876,10,0.5,0.1,N2 P1 O1,de-protonated,0,-9999,C10 H5 O1 N2 P1,10,5,1,2,1,-9999,-9999,N/A,N/A,N/A,-9999
8,199.006847,199.00688888669663,199.0070534581991,30880754,-9999,677614.5,577.29,-1,-0.8269631632562269,0.8847369779384779,0.9894014199480377,0.9266027547423016,5,1,0.5,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,N/A,N/A,N/A,-9999
11,199.133763,199.1338048482556,199.13396805098907,863421.8,-9999,756726.2,14.22,-1,-0.8195625040096325,0.8852581840180515,0,0.5311549104108308,2,1.818181818181818,0.2727272727272727,O3,de-protonated,0,-9999,C11 H20 O3,11,20,3,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
12,199.170135,199.17017683723904,199.17035356033907,1014881.3,-9999,858129.6,17.01,-1,-0.887296210840295,0.8668810015815668,0,0.5201286009489401,1,2,0.16666666666666666,O2,de-protonated,0,-9999,C12 H24 O2,12,24,2,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
13,200.009866,200.00990758289635,200.01002817074908,1281778.3,-9999,991562.2,22,-1,-0.6029090331561803,0.9361716141401664,0.997078870389378,0.9605345166398508,10,0.5555555555555556,0.1111111111111111,13C1 N2 P1 O1,de-protonated,1,7,C9 H5 O1 N2 P1 13C1,9,5,1,2,1,-9999,1,N/A,N/A,N/A,-9999
14,200.010192,200.01023358279764,200.01040829326908,2901394.3,-9999,686845.6,52.29,-1,-0.8735068986257862,0.8805388294076512,0.9894014199480377,0.9240838656238056,5,1.1428571428571428,0.5714285714285714,13C1 S1 O4,de-protonated,1,8,C7 H8 O4 S1 13C1,7,8,4,-9999,-9999,1,1,N/A,N/A,N/A,-9999
16,200.986132,200.9861732871992,200.98631801330907,1197011.9,-9999,892553.3,20.41,-1,-0.7200794129219428,0.9102065295962436,0,0.5461239177577462,5,0.8571428571428571,0.7142857142857143,S1 O5,de-protonated,0,-9999,C7 H6 O5 S1,7,6,5,-9999,-9999,1,-9999,N/A,N/A,N/A,-9999
17,201.002655,201.00269628219465,201.00284928779908,1576181.6,-9999,712559.4,27.5,-1,-0.7612111221418612,0.8903690820102602,0.9894014199480377,0.9299820171853712,5,1,0.5,34S1 O4,de-protonated,1,8,C8 H8 O4 34S1,8,8,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A,1
21,205.1596,205.1596400231147,205.15978887630908,28927104,-9999,653201.9,535.71,-1,-0.7255476095216662,0.902078133473904,0.9858814445628696,0.9355994579094902,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
23,206.162943,206.16298271921627,206.1631437113791,4930551,-9999,648270.3,89.39,-1,-0.7808969145528387,0.8952543534279687,0.9858814445628696,0.9315051898819292,4,1.6923076923076923,0.07692307692307693,13C1 O1,de-protonated,1,21,C13 H22 O1 13C1,13,22,1,-9999,-9999,-9999,1,N/A,N/A,N/A,-9999
