Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
25,217.053624,217.05392635141183,217.05400365157908,998784.1,-9999,917375.9,16.38,-1,-0.3561333398511253,0.97724947619801406,0,0.5863496857188083,3,1.5555555555555556,0.4444444444444444,S1 O4,de-protonated,0,-9999,C9 H14 O4 S1,9,14,4,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
26,217.053767,217.05406935129275,217.05400365157908,905376.1,-9999,819242.6,14.67,-1,0.3026883290227033,0.9835130528754747,0,0.5901078317252848,3,1.5555555555555556,0.4444444444444444,S1 O4,de-protonated,0,-9999,C9 H14 O4 S1,9,14,4,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
103,263.001796,263.00206009586276,263.00196807776905,910375.7,-9999,797889.8,13.82,-1,0.34987606512076447,0.9780331386849164,0,0.5868198832109499,9,0.6666666666666666,0.4166666666666667,S1 O5,de-protonated,0,-9999,C12 H8 O5 S1,12,8,5,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
126,269.072704,269.0729630413435,269.07303882000906,844989.2,-9999,698840.3,12.53,-1,-0.2816286087514309,0.9857115199838,0,0.59142691199028,1,2.375,0.5,N2 S1 P1 O4,de-protonated,0,-9999,C8 H19 O4 N2 P1 S1,8,19,4,2,1,1,-9999,-9999,-9999,-9999,-9999
127,269.073035,269.0732940410679,269.07303882000906,819005.3,-9999,579871.1,12.08,-1,0.9485196286625656,0.8493809615813346,0,0.5096285769488007,1,2.375,0.5,N2 S1 P1 O4,de-protonated,0,-9999,C8 H19 O4 N2 P1 S1,8,19,4,2,1,1,-9999,-9999,-9999,-9999,-9999
138,277.078077,277.0783293762266,277.07812420043905,1075664.4,-9999,375008.8,16.38,-1,0.7404979664849088,0.9052944115488692,0,0.5431766469293214,3,1.9,0.3,N2 S1 P1 O3,de-protonated,0,-9999,C10 H19 O3 N2 P1 S1,10,19,3,2,1,1,-9999,-9999,-9999,-9999,-9999
139,277.150745,277.15099731572457,277.1508952191391,1239127.6,-9999,471289.2,19.17,-1,0.36837905713520974,0.9756775223255668,0,0.5854065133953401,1,2.25,0.08333333333333333,N2 S1 P1 O1,de-protonated,0,-9999,C12 H27 O1 N2 P1 S1,12,27,1,2,1,1,-9999,-9999,-9999,-9999,-9999
142,279.093799,279.09404969797583,279.0937742648991,841944.3,-9999,648594.8,12.31,-1,0.9868836289059322,0.8380143906884386,0,0.5028086344130631,2,2.1,0.3,N2 S1 P1 O3,de-protonated,0,-9999,C10 H21 O3 N2 P1 S1,10,21,3,2,1,1,-9999,-9999,-9999,-9999,-9999
146,281.109605,281.1098540196552,281.11007577803906,827547.6,-9999,477777.4,12.06,-1,-0.7888667215469586,0.893224384006541,0,0.5359346304039246,10,1.0555555555555556,0.05555555555555555,P1 O1,de-protonated,0,-9999,C18 H19 O1 P1,18,19,1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
149,283.067751,283.06799838934114,283.0679396389291,938901.8,-9999,443772.9,13.86,-1,0.20754880304234455,0.9922142915087736,0,0.595328574905264,1,2,0.5,S2 O5,de-protonated,0,-9999,C10 H20 O5 S2,10,20,5,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
150,283.088585,283.0888323719952,283.0886888844691,1067735.8,-9999,498647.6,16.03,-1,0.5068642150762557,0.954453623910409,0,0.5726721743462454,1,2.3333333333333335,0.4444444444444444,N2 S1 P1 O4,de-protonated,0,-9999,C9 H21 O4 N2 P1 S1,9,21,4,2,1,1,-9999,-9999,-9999,-9999,-9999
154,285.10455,285.1047956935422,285.1049903976091,922644.2,-9999,673837.1,13.58,-1,-0.6829205851483652,0.9188575871097368,0,0.5513145522658421,9,1.1176470588235294,0.1176470588235294,P1 O2,de-protonated,0,-9999,C17 H19 O2 P1,17,19,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
168,291.124644,291.12488468132966,291.1251347006491,1086906.9,-9999,632779.8,16.13,-1,-0.8588036195527521,0.8747419699036931,0,0.5248451819422159,12,0.9411764705882352,0.0588235294117647,N4 O1,de-protonated,0,-9999,C17 H16 O1 N4,17,16,1,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
172,293.073007,293.0732460591608,293.07303882000906,1327723.4,-9999,599657.4,20.14,-1,0.7071245876757706,0.9132652521514454,0,0.5479591512908673,3,1.9,0.4,N2 S1 P1 O4,de-protonated,0,-9999,C10 H19 O4 N2 P1 S1,10,19,4,2,1,1,-9999,-9999,-9999,-9999,-9999
