#Columns,6
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,Fe_mg_per_kg,Fe_mg_per_L,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_kilogram,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_mg_Fe_per_kg_dry_weight,as_mg_Fe_per_L_water,N/A
MethodID_Analysis,N/A,N/A,N/A,Fe_T_AN_001,Fe_T_AN_001,N/A
MethodID_Inspection,N/A,N/A,N/A,Fe_T_IN_001,Fe_T_IN_001,N/A
MethodID_Storage,N/A,N/A,N/A,Fe_T_ST_001,Fe_T_ST_001,N/A
MethodID_Preservation,N/A,N/A,N/A,Fe_T_PRES_001,Fe_T_PRES_001,N/A
MethodID_Preparation,N/A,N/A,N/A,Fe_T_PREP_001,Fe_T_PREP_001,N/A
MethodID_DataProcessing,N/A,N/A,N/A,Fe_T_DP_001,Fe_T_DP_001,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,0-0.026,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_SFE-1,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001
N/A,CM_001_SFE-2,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001
N/A,CM_001_SFE-3,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001
N/A,CM_002_SFE-1,10.58052/IEWDR01Q6,Sediment,0.516,1.515,SFE_RERUN_002
N/A,CM_002_SFE-2,10.58052/IEWDR01Q6,Sediment,0.543,1.822,N/A
N/A,CM_002_SFE-3,10.58052/IEWDR01Q6,Sediment,0.548,1.315,N/A
N/A,CM_003_SFE-1,10.58052/IEWDR01Q7,Sediment,0.149,0.301,N/A
N/A,CM_003_SFE-2,10.58052/IEWDR01Q7,Sediment,0.12,0.232,SFE_RERUN_002
N/A,CM_003_SFE-3,10.58052/IEWDR01Q7,Sediment,0.114,0.249,N/A
N/A,CM_004_SFE-1,10.58052/IEWDR01Q8,Sediment,0.515,1.021,N/A
N/A,CM_004_SFE-2,10.58052/IEWDR01Q8,Sediment,0.416,0.8,N/A
N/A,CM_004_SFE-3,10.58052/IEWDR01Q8,Sediment,0.473,0.975,N/A
N/A,CM_005_SFE-1,10.58052/IEWDR01Q9,Sediment,0.651,1.169,N/A
N/A,CM_005_SFE-2,10.58052/IEWDR01Q9,Sediment,0.52,1.133,SFE_RERUN_002
N/A,CM_005_SFE-3,10.58052/IEWDR01Q9,Sediment,0.57,1.263,N/A
N/A,CM_006_SFE-1,10.58052/IEWDR01QA,Sediment,0.633,2.241,SFE_CV_040
N/A,CM_006_SFE-2,10.58052/IEWDR01QA,Sediment,0.639,2.036,SFE_CV_040
N/A,CM_006_SFE-3,10.58052/IEWDR01QA,Sediment,2.84,8.423,SFE_RERUN_001; SFE_CV_040
N/A,CM_007_SFE-1,10.58052/IEWDR01QB,Sediment,0.087,0.22,N/A
N/A,CM_007_SFE-2,10.58052/IEWDR01QB,Sediment,0.083,0.212,N/A
N/A,CM_007_SFE-3,10.58052/IEWDR01QB,Sediment,0.075,0.201,N/A
N/A,CM_008_SFE-1,10.58052/IEWDR01QC,Sediment,0.207,0.705,INC_QA_001; SFE_CV_040
N/A,CM_008_SFE-2,10.58052/IEWDR01QC,Sediment,0.628,1.716,INC_QA_001; SFE_CV_040
N/A,CM_008_SFE-3,10.58052/IEWDR01QC,Sediment,0.244,0.622,INC_QA_001; SFE_CV_040
N/A,CM_009_SFE-1,10.58052/IEWDR01UU,Sediment,0.238,0.521,N/A
N/A,CM_009_SFE-2,10.58052/IEWDR01UU,Sediment,0.253,0.538,N/A
N/A,CM_009_SFE-3,10.58052/IEWDR01UU,Sediment,0.347,0.678,N/A
N/A,CM_010_SFE-1,10.58052/IEWDR01QD,Sediment,0.04,0.105,SFE_RERUN_002
N/A,CM_010_SFE-2,10.58052/IEWDR01QD,Sediment,0.042,0.128,N/A
N/A,CM_010_SFE-3,10.58052/IEWDR01QD,Sediment,0.045,0.123,N/A
N/A,CM_011_SFE-1,10.58052/IEWDR01QE,Sediment,0.973,2.387,N/A
N/A,CM_011_SFE-2,10.58052/IEWDR01QE,Sediment,1.711,4.825,N/A
N/A,CM_011_SFE-3,10.58052/IEWDR01QE,Sediment,1.61,4.561,N/A
N/A,CM_012_SFE-1,10.58052/IEWDR01QF,Sediment,0.648,1.637,SFE_RERUN_002
N/A,CM_012_SFE-2,10.58052/IEWDR01QF,Sediment,1.025,2.534,N/A
N/A,CM_012_SFE-3,10.58052/IEWDR01QF,Sediment,0.651,2.087,N/A
N/A,CM_013_SFE-1,10.58052/IEWDR01QG,Sediment,0.366,0.768,SFE_CV_040
N/A,CM_013_SFE-2,10.58052/IEWDR01QG,Sediment,0.394,0.866,SFE_CV_040
N/A,CM_013_SFE-3,10.58052/IEWDR01QG,Sediment,0.87,1.836,SFE_CV_040
N/A,CM_014_SFE-1,10.58052/IEWDR01QH,Sediment,0.48,1.094,N/A
N/A,CM_014_SFE-2,10.58052/IEWDR01QH,Sediment,0.829,1.982,N/A
N/A,CM_014_SFE-3,10.58052/IEWDR01QH,Sediment,0.449,1.099,N/A
N/A,CM_015_SFE-1,10.58052/IEWDR01QI,Sediment,1.279,2.53,N/A
N/A,CM_015_SFE-2,10.58052/IEWDR01QI,Sediment,0.658,1.451,N/A
N/A,CM_015_SFE-3,10.58052/IEWDR01QI,Sediment,0.926,2.208,SFE_RERUN_002
N/A,CM_016_SFE-1,10.58052/IEWDR01QJ,Sediment,-9999,-9999,SFE_ACID_001
N/A,CM_016_SFE-2,10.58052/IEWDR01QJ,Sediment,2.898,9.53,SFE_RERUN_001
N/A,CM_016_SFE-3,10.58052/IEWDR01QJ,Sediment,-9999,-9999,SFE_ACID_001
N/A,CM_017_SFE-1,10.58052/IEWDR01QK,Sediment,0.142,0.387,N/A
N/A,CM_017_SFE-2,10.58052/IEWDR01QK,Sediment,0.15,0.381,N/A
N/A,CM_017_SFE-3,10.58052/IEWDR01QK,Sediment,0.197,0.436,N/A
N/A,CM_018_SFE-1,10.58052/IEWDR01QL,Sediment,0.073,0.115,N/A
N/A,CM_018_SFE-2,10.58052/IEWDR01QL,Sediment,0.086,0.143,N/A
N/A,CM_018_SFE-3,10.58052/IEWDR01QL,Sediment,0.089,0.151,N/A
