#Columns,6,,,,,
#Header_Rows,12,,,,,
Field_Name,Sample_Name,Wet_Sediment_Mass_g,Dry_Sediment_Mass_g,Water_Mass_g,Wet_Sediment_Volume_mL,Methods_Deviation
Unit,N/A,grams,grams,grams,milliliters,N/A
Unit_Basis,N/A,as_Wet_Sediment,as_Dry_Sediment,as_Water,as_Wet_Sediment,N/A
MethodID_Analysis,N/A,DWA_T_AN_000,DWA_T_AN_000,DWA_T_AN_000,DWA_T_AN_000,N/A
MethodID_Inspection,N/A,DWA_T_IN_000,DWA_T_IN_000,DWA_T_IN_000,DWA_T_IN_000,N/A
MethodID_Storage,N/A,DWA_T_ST_000,DWA_T_ST_000,DWA_T_ST_000,DWA_T_ST_000,N/A
MethodID_Preservation,N/A,DWA_T_PRES_000,DWA_T_PRES_000,DWA_T_PRES_000,DWA_T_PRES_000,N/A
MethodID_Preparation,N/A,DWA_T_PREP_000,DWA_T_PREP_000,DWA_T_PREP_000,DWA_T_PREP_000,N/A
MethodID_DataProcessing,N/A,DWA_T_DP_000,DWA_T_DP_000,DWA_T_DP_000,DWA_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_INC-1,22.17,16.405,32.525,10,INC_QA_000; INC_QA_001
N/A,CM_001_INC-2,22.58,16.865,35.795,10,INC_QA_000; INC_QA_001
N/A,CM_001_INC-3,23.55,17.305,34.015,10,INC_QA_000; INC_QA_001
N/A,CM_002_INC-1,18.93,12.61,36.98,10,N/A
N/A,CM_002_INC-2,17.88,11.56,38.76,10,N/A
N/A,CM_002_INC-3,23.29,15.12,36.3,10,N/A
N/A,CM_003_INC-1,22.93,17.73,35.88,10,N/A
N/A,CM_003_INC-2,23.34,18.27,35.29,10,N/A
N/A,CM_003_INC-3,21.4,16.56,36.3,10,N/A
N/A,CM_004_INC-1,24.02,18.22,36.11,10,N/A
N/A,CM_004_INC-2,24.98,18.72,36.02,10,N/A
N/A,CM_004_INC-3,23.09,17.5,36.06,10,N/A
N/A,CM_005_INC-1,24.77,19.04,34.23,10,N/A
N/A,CM_005_INC-2,22.39,16.53,35.98,10,N/A
N/A,CM_005_INC-3,22.01,16.28,36.05,10,N/A
N/A,CM_006_INC-1,18.44,10.82,38.32,10,N/A
N/A,CM_006_INC-2,18.81,11.79,37.58,10,N/A
N/A,CM_006_INC-3,21.58,12.58,37.31,10,N/A
N/A,CM_007_INC-1,18.39,14.43,36.66,10,N/A
N/A,CM_007_INC-2,18.4,14.44,37.03,10,N/A
N/A,CM_007_INC-3,17.69,13.86,36.94,10,N/A
N/A,CM_008_INC-1,20.37,11.12,37.87,10,INC_QA_001
N/A,CM_008_INC-2,23.14,13.92,38.05,10,INC_QA_001
N/A,CM_008_INC-3,24.59,15.17,38.74,10,INC_QA_001
N/A,CM_009_INC-1,23.01,16.41,35.94,10,N/A
