Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
00530_TSS_mg_per_L,milligrams per liter,Total suspended solids. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
Absolute_Pressure,millibars,Absolute pressure.,numeric,column_header
Absolute_Pressure_Max,millibars,Maximum absolute pressure in time series.,numeric,column_header
Absolute_Pressure_Mean,millibars,Mean absolute pressure in time series.,numeric,column_header
Absolute_Pressure_Median,millibars,Median absolute pressure in time series.,numeric,column_header
Absolute_Pressure_Min,millibars,Minimum absolute pressure in time series.,numeric,column_header
Air_Temperature,degree celsius,Air temperature.,numeric,column_header
Air_Temperature_Max,degree celsius,Maximum air temperature in time series.,numeric,column_header
Air_Temperature_Mean,degree celsius,Mean air temperature in time series.,numeric,column_header
Air_Temperature_Median,degree celsius,Median air temperature in time series.,numeric,column_header
Air_Temperature_Min,degree celsius,Minimum air temperature in time series.,numeric,column_header
Appearance_Notes,N/A,Notes about appearance of cotton strips taken upon measuring tensile strength.,text,column_header
Average_Depth,centimeters,Average depth.,numeric,column_header
Average_River_Width,meters,Average river width.,numeric,column_header
Battery,volts,Remaining sensor internal battery voltage.,numeric,column_header
Battery_1,volts,Remaining sensor internal battery voltage of miniDOT 1 of 3.,numeric,column_header
Battery_2,volts,Remaining sensor internal battery voltage of miniDOT 2 of 3.,numeric,column_header
Battery_3,volts,Remaining sensor internal battery voltage of miniDOT 3 of 3.,numeric,column_header
Chlorophyll_A,micrograms per liter,Chlorophyll A (measured with blue excitation).,numeric,column_header
Chlorophyll_A_Max,micrograms per liter,Maximum chlorophyll A (measured with blue excitation) in time series.,numeric,column_header
Chlorophyll_A_Mean,micrograms per liter,Mean chlorophyll A (measured with blue excitation) in time series.,numeric,column_header
Chlorophyll_A_Median,micrograms per liter,Median chlorophyll A (measured with blue excitation) in time series.,numeric,column_header
Chlorophyll_A_Min,micrograms per liter,Minimum chlorophyll A (measured with blue excitation) in time series.,numeric,column_header
Collection_Date,YYYY-MM-DD,Date of sample collection.,date,column_header
Collection_Method,N/A,Method of sample collection registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system. Controlled vocabulary from SESAR.,text,column_header
Collection_Method_Description,N/A,Description of how sample was collected.,text,column_header
Collector_Chief_Scientist,N/A,Name of person who collected the sample or primary contact.,text,column_header
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,text,column_header
Comment,N/A,Name of study associated with sample.,text,column_header
Country,N/A,Country where sample was collected.,text,column_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date,YYYY-MM-DD,Date.,date,column_header
DateTime,YYYY-MM-DD hh:mm:ss,Date and time of measurement.,DateTime,column_header
DateTime_End,YYYY-MM-DD hh:mm:ss,Last date and time in the time series.,DateTime,column_header
DateTime_Start,YYYY-MM-DD hh:mm:ss,First date and time in the time series.,DateTime,column_header
